level,median_uA_um,min_uA_um,max_uA_um,log10_range,log10_halfspread,log10_spacing_to_prev,overlaps_prev
1,8.323452e-04,1.761807e-04,6.820676e-03,1.587869e+00,7.939345e-01,,False
2,1.020067e-03,1.786035e-04,8.749312e-03,1.690084e+00,8.450420e-01,8.832512e-02,True
3,1.626569e-03,2.048295e-04,1.487877e-02,1.861175e+00,9.305873e-01,2.026440e-01,True
4,3.142801e-03,2.941748e-04,3.118411e-02,2.025328e+00,1.012664e+00,2.860443e-01,True
5,6.792683e-03,5.442179e-04,7.346036e-02,2.130280e+00,1.065140e+00,3.347244e-01,True
6,1.567367e-02,1.171843e-03,1.782685e-01,2.182205e+00,1.091103e+00,3.631294e-01,True
7,3.671037e-02,2.622018e-03,4.266348e-01,2.211421e+00,1.105710e+00,3.696181e-01,True
8,8.275786e-02,5.724081e-03,9.911908e-01,2.238451e+00,1.119226e+00,3.530204e-01,True
9,1.761711e-01,1.226955e-02,2.156417e+00,2.244904e+00,1.122452e+00,3.281255e-01,True
10,3.575554e-01,2.587417e-02,4.168895e+00,2.207155e+00,1.103577e+00,3.074086e-01,True
11,7.012346e-01,5.244425e-02,6.979338e+00,2.124116e+00,1.062058e+00,2.925200e-01,True
12,1.324903e+00,1.002797e-01,1.024452e+01,2.009278e+00,1.004639e+00,2.763206e-01,True
13,2.362320e+00,1.810280e-01,1.358373e+01,1.875273e+00,9.376366e-01,2.511548e-01,True
14,3.888729e+00,3.124817e-01,1.675319e+01,1.729273e+00,8.646365e-01,2.164689e-01,True
15,5.858478e+00,5.223546e-01,1.964806e+01,1.575354e+00,7.876771e-01,1.779771e-01,True
