pulse_n,G_250K_uA_um,G_300K_uA_um,G_350K_uA_um
1,1.039457e-04,1.007317e-03,5.180703e-04
2,1.242157e-04,1.113318e-03,5.043653e-04
3,2.074722e-04,1.528981e-03,4.945280e-04
4,4.975319e-04,2.689503e-03,5.043744e-04
5,1.486120e-03,5.850542e-03,5.694054e-04
6,4.851511e-03,1.441286e-02,8.062308e-04
7,1.570910e-02,3.726321e-02,1.587930e-03
8,4.716636e-02,9.644392e-02,3.985172e-03
9,1.302700e-01,2.381966e-01,1.068744e-02
10,3.477994e-01,5.526470e-01,2.862107e-02
11,9.160705e-01,1.224219e+00,7.661440e-02
12,2.271301e+00,2.579778e+00,1.981818e-01
13,4.949204e+00,4.996753e+00,4.784407e-01
14,9.152408e+00,8.607725e+00,1.072838e+00
15,1.448967e+01,1.312213e+01,2.230129e+00
