Vg_V,Id_erased_uA_um,Id_programmed_uA_um
-1.5000,1.174369e-01,3.432768e-01
-1.4849,7.068945e-02,2.056433e-01
-1.4698,2.394205e-02,6.800974e-02
-1.4548,1.159471e-03,7.464844e-04
-1.4397,1.172702e-03,4.208000e-04
-1.4246,1.186003e-03,1.033162e-04
-1.4095,1.202024e-03,1.056556e-04
-1.3945,1.218046e-03,1.079950e-04
-1.3794,1.234320e-03,1.428608e-04
-1.3643,1.250812e-03,2.057144e-04
-1.3492,1.267435e-03,2.681209e-04
-1.3342,1.286550e-03,3.220318e-04
-1.3191,1.305666e-03,3.759426e-04
-1.3040,1.327142e-03,4.266841e-04
-1.2889,1.350455e-03,4.749604e-04
-1.2739,1.374271e-03,5.230067e-04
-1.2588,1.404310e-03,5.682159e-04
-1.2437,1.434349e-03,6.134252e-04
-1.2286,1.470450e-03,6.583176e-04
-1.2136,1.510809e-03,7.029875e-04
-1.1985,1.552514e-03,7.478633e-04
-1.1834,1.606346e-03,7.945922e-04
-1.1683,1.660178e-03,8.413210e-04
-1.1533,1.725302e-03,8.910482e-04
-1.1382,1.797569e-03,9.426722e-04
-1.1231,1.873265e-03,9.953216e-04
-1.1080,1.972962e-03,1.055149e-03
-1.0930,2.072659e-03,1.114976e-03
-1.0779,2.195241e-03,1.182758e-03
-1.0628,2.330835e-03,1.255064e-03
-1.0477,2.471631e-03,1.330250e-03
-1.0327,2.641901e-03,1.421752e-03
-1.0176,2.812172e-03,1.513255e-03
-1.0025,2.995966e-03,1.622039e-03
-0.9874,3.186649e-03,1.739626e-03
-0.9724,3.377407e-03,1.861706e-03
-0.9573,3.568513e-03,2.004969e-03
-0.9422,3.759620e-03,2.148231e-03
-0.9271,3.939337e-03,2.303176e-03
-0.9121,4.113877e-03,2.463432e-03
-0.8970,4.284154e-03,2.624132e-03
-0.8819,4.437377e-03,2.786607e-03
-0.8668,4.590600e-03,2.949082e-03
-0.8518,4.726715e-03,3.104574e-03
-0.8367,4.855928e-03,3.257248e-03
-0.8216,4.978081e-03,3.407751e-03
-0.8065,5.075923e-03,3.550775e-03
-0.7915,5.173764e-03,3.693799e-03
