Vg_V,Id_erased_uA_um,Id_programmed_uA_um
-0.4,3.851183e-04,5.939274e-04
-0.35,1.736967e-04,3.103149e-03
-0.3,9.606841e-05,1.969613e-02
-0.25,2.468412e-05,1.225946e-01
-0.2,1.260382e-04,6.246238e-01
-0.15,6.430027e-04,2.770981e+00
-0.1,1.845861e-03,9.676530e+00
-0.05,3.981844e-03,2.118568e+01
-0.0,7.765877e-03,3.306028e+01
0.05,1.599212e-02,4.354130e+01
0.1,4.003544e-02,5.261771e+01
0.15,1.320263e-01,6.057324e+01
0.2,5.608913e-01,6.771636e+01
0.25,2.349419e+00,7.462735e+01
0.3,8.090544e+00,8.028637e+01
0.35,1.968228e+01,8.455735e+01
0.4,3.394686e+01,8.793496e+01
0.45,4.762330e+01,9.115545e+01
0.5,5.806132e+01,9.419355e+01
