node,v_pgm_V,t_p_ns,id_base_uA_um,id_last_uA_um,window,igain,E_over_Fc
g_v010_t0010,1.000000e+00,10,4.186269e-03,6.204132e-04,1.482019e-01,8.705244e-01,1.952927e-01
g_v010_t0030,1.000000e+00,30,4.186269e-03,6.318267e-04,1.509284e-01,8.906100e-01,1.947863e-01
g_v010_t0100,1.000000e+00,100,4.186269e-03,7.316216e-04,1.747670e-01,1.045827e+00,1.913987e-01
g_v010_t0300,1.000000e+00,300,4.186269e-03,2.469610e-03,5.899312e-01,3.613142e+00,1.603125e-01
g_v010_t1000,1.000000e+00,1000,4.186269e-03,1.062633e-01,2.538377e+01,1.411608e+02,6.226268e-02
g_v015_t0010,1.500000e+00,10,4.186269e-03,6.276624e-04,1.499336e-01,8.806146e-01,4.036561e-01
g_v015_t0030,1.500000e+00,30,4.186269e-03,6.574959e-04,1.570601e-01,9.261695e-01,4.026660e-01
g_v015_t0100,1.500000e+00,100,4.186269e-03,1.010819e-03,2.414606e-01,1.439600e+00,3.929105e-01
g_v015_t0300,1.500000e+00,300,4.186269e-03,1.658990e-02,3.962934e+00,2.375779e+01,3.209112e-01
g_v015_t1000,1.500000e+00,1000,4.186269e-03,1.193009e+01,2.849814e+03,1.119440e+04,1.204890e-01
g_v020_t0010,2.000000e+00,10,4.186269e-03,6.353596e-04,1.517723e-01,8.912523e-01,6.151097e-01
g_v020_t0030,2.000000e+00,30,4.186269e-03,6.865448e-04,1.639992e-01,9.663346e-01,6.135987e-01
g_v020_t0100,2.000000e+00,100,4.186269e-03,1.606908e-03,3.838522e-01,2.279453e+00,5.937463e-01
g_v020_t0300,2.000000e+00,300,4.186269e-03,1.723826e-01,4.117811e+01,2.410194e+02,4.733899e-01
g_v020_t1000,2.000000e+00,1000,4.186269e-03,3.777619e+01,9.023832e+03,2.169713e+04,1.521441e-01
g_v025_t0010,2.500000e+00,10,4.186269e-03,6.434209e-04,1.536979e-01,9.023626e-01,8.281636e-01
g_v025_t0030,2.500000e+00,30,4.186269e-03,7.211315e-04,1.722612e-01,1.014172e+00,8.260859e-01
g_v025_t0100,2.500000e+00,100,4.186269e-03,2.807761e-03,6.707073e-01,3.966239e+00,7.938796e-01
g_v025_t0300,2.500000e+00,300,4.186269e-03,2.228151e+00,5.322522e+02,3.017907e+03,6.170067e-01
g_v025_t1000,2.500000e+00,1000,4.186269e-03,5.268549e+01,1.258531e+04,1.651255e+04,1.454586e-01
g_v030_t0010,3.000000e+00,10,4.186269e-03,6.518240e-04,1.557052e-01,9.139290e-01,1.042248e+00
g_v030_t0030,3.000000e+00,30,4.186269e-03,7.723291e-04,1.844910e-01,1.085236e+00,1.039172e+00
g_v030_t0100,3.000000e+00,100,4.186269e-03,5.305169e-03,1.267279e+00,7.461318e+00,9.930378e-01
g_v030_t0300,3.000000e+00,300,4.186269e-03,1.427181e+01,3.409196e+03,1.837930e+04,7.510719e-01
g_v030_t1000,3.000000e+00,1000,4.186269e-03,6.228204e+01,1.487770e+04,9.625347e+03,1.151539e-01
