X,ConductionBandEnergy,ValenceBandEnergy,ElectrostaticPotential,eDensity,hDensity
-0.1,-0.03007391,-1.0104425,0.51918946,5e+19,329.09327
-0.096874997,-0.030074012,-1.0104427,0.51918956,5e+19,1.0869744e+08
-0.09375,-0.030074114,-1.0104428,0.51918966,5e+19,2.1740021e+08
-0.090625003,-0.030074217,-1.0104429,0.51918976,5e+19,3.2611471e+08
-0.087499999,-0.030074319,-1.010443,0.51918987,5e+19,4.3484691e+08
-0.084375001,-0.030074421,-1.0104431,0.51918997,5e+19,5.4360316e+08
-0.081249997,-0.030074522,-1.0104432,0.51919007,5e+19,6.5238938e+08
-0.078125,-0.03007462,-1.0104433,0.51919017,4.9999994e+19,7.6121081e+08
-0.075000003,-0.030074632,-1.0104433,0.51919018,4.9999885e+19,8.7006466e+08
-0.071874999,-0.030073035,-1.0104417,0.51918858,4.9997818e+19,9.7907526e+08
-0.0703125,-0.030060371,-1.010429,0.51917592,4.9982358e+19,1.034157e+09
-0.068750001,-0.029993114,-1.0103618,0.51910866,4.9900566e+19,1.0920143e+09
-0.067968749,-0.029840334,-1.010209,0.51895588,4.9715199e+19,1.1269806e+09
-0.067187503,-0.029494855,-1.0098635,0.5186104,4.9297715e+19,1.1720638e+09
-0.06640625,-0.028759649,-1.0091283,0.5178752,4.8416893e+19,1.2387262e+09
-0.065624997,-0.027473031,-1.0078417,0.51658858,4.6900294e+19,1.3405352e+09
-0.064062499,-0.02413687,-1.0045055,0.51325242,4.3114883e+19,1.6388926e+09
-0.0625,-0.022307219,-1.0026759,0.51142277,4.1128732e+19,1.9912314e+09
-0.059374999,-0.02238144,-1.0027501,0.51149699,4.1207793e+19,2.8822951e+09
-0.056249999,-0.0229678,-1.0033364,0.51208335,4.1837907e+19,4.2258065e+09
-0.053125001,-0.022870681,-1.0032393,0.51198623,4.1732794e+19,6.1623114e+09
-0.050000001,-0.0128881,-0.99325674,0.50200365,3.1900213e+19,1.2001738e+10
-0.050000001,-0.0128881,-0.99325674,0.50200365,3.1900213e+19,1.2001738e+10
-0.046875,0.20992236,-0.89732877,0.34263443,8.4961159e+15,5.117885e+11
-0.043749999,0.26773596,-0.83951518,0.28482084,9.0039682e+14,4.8065188e+12
-0.040624999,0.28647827,-0.82077286,0.26607852,4.2416974e+14,9.9422486e+12
-0.037500001,0.29185953,-0.8153916,0.26069726,3.297477e+14,1.226665e+13
-0.034375001,0.29286154,-0.81438959,0.25969525,3.0148101e+14,1.2781491e+13
-0.03125,0.29248172,-0.81476942,0.26007508,2.8991193e+14,1.2631767e+13
-0.028124999,0.29169319,-0.81555795,0.26086361,2.827986e+14,1.2295423e+13
-0.025,0.29079753,-0.81645361,0.26175927,2.7668756e+14,1.1925814e+13
-0.021875,0.2898783,-0.81737283,0.26267849,2.706532e+14,1.1563617e+13
-0.018750001,0.2889518,-0.81829934,0.263605,2.64513e+14,1.1215564e+13
-0.015625,0.28801601,-0.81923513,0.26454078,2.582795e+14,1.0879803e+13
-0.0125,0.28706562,-0.82018551,0.26549117,2.519979e+14,1.0553271e+13
-0.0093750004,0.28609595,-0.82115519,0.26646085,2.4570502e+14,1.0233452e+13
-0.0062500001,0.28510352,-0.82214762,0.26745328,2.394239e+14,9.9185533e+12
-0.003125,0.28408584,-0.82316529,0.26847095,2.3316683e+14,9.6073286e+12
0,0.28304108,-0.82421006,0.26951572,2.2693894e+14,9.2988931e+12
0.003125,0.28196779,-0.82528335,0.27058901,2.207406e+14,8.9926026e+12
0.0062500001,0.28086486,-0.82638627,0.27169193,2.1456838e+14,8.6879957e+12
0.0093750004,0.27973158,-0.82751956,0.27282521,2.0841484e+14,8.3847878e+12
0.0125,0.27856779,-0.82868335,0.27398901,2.0226701e+14,8.0829096e+12
0.015625,0.27737429,-0.82987685,0.27518251,1.9610371e+14,7.7825813e+12
0.018750001,0.2761533,-0.83109784,0.2764035,1.8989244e+14,7.4843891e+12
0.021875,0.27490854,-0.83234259,0.27764825,1.8358927e+14,7.1892246e+12
0.025,0.27364307,-0.83360806,0.27891372,1.7715508e+14,6.8976145e+12
0.028124999,0.27234821,-0.83490293,0.28020859,1.7063008e+14,6.6069468e+12
0.03125,0.27096237,-0.83628876,0.28159442,1.6439646e+14,6.3021206e+12
0.034375001,0.26923287,-0.83801826,0.28332392,1.6003565e+14,5.9271247e+12
0.037500001,0.26627226,-0.84097887,0.28628453,1.6327245e+14,5.3101991e+12
0.040624999,0.25916583,-0.84808531,0.29339097,1.9713894e+14,4.0485982e+12
0.043749999,0.23868176,-0.86856938,0.31387503,4.1140461e+14,1.8380381e+12
0.046875,0.17693486,-0.93031628,0.37562194,4.4079591e+15,1.6891136e+11
0.050000001,-0.060170402,-1.040539,0.54928595,2.9546143e+19,2.2661184e+09
0.050000001,-0.060170402,-1.040539,0.54928595,2.9546143e+19,2.2661184e+09
0.053125001,-0.071630333,-1.051999,0.56074588,4.0413672e+19,9.9670604e+08
0.056249999,-0.071800149,-1.0521688,0.5609157,4.0592898e+19,5.5656277e+08
0.059374999,-0.07115532,-1.051524,0.56027087,3.9913984e+19,2.7452491e+08
0.0625,-0.071137622,-1.0515063,0.56025317,3.9895198e+19,1.2626798e+08
0.064062499,-0.073310668,-1.0536793,0.56242622,4.2212802e+19,86854281
0.065624997,-0.077131907,-1.0575005,0.56624745,4.6506071e+19,64700541
0.06640625,-0.078589215,-1.0589579,0.56770476,4.8216732e+19,58512649
0.067187503,-0.079419351,-1.059788,0.5685349,4.9209298e+19,54788880
0.067968749,-0.07980883,-1.0601775,0.56892438,4.9679502e+19,52429510
0.068750001,-0.079980918,-1.0603496,0.56909647,4.9888163e+19,50692980
0.0703125,-0.080056689,-1.0604253,0.56917224,4.9980171e+19,47957498
0.071874999,-0.080071032,-1.0604397,0.56918658,4.9997553e+19,45393818
0.075000003,-0.080073037,-1.0604417,0.56918858,4.9999874e+19,40338333
0.078125,-0.080073232,-1.0604419,0.56918878,4.9999994e+19,35290772
0.081249997,-0.080073333,-1.060442,0.56918888,5e+19,30245524
0.084375001,-0.080073429,-1.0604421,0.56918898,5e+19,25202018
0.087499999,-0.080073526,-1.0604422,0.56918907,5e+19,20159946
0.090625003,-0.080073622,-1.0604423,0.56918917,5e+19,15119025
0.09375,-0.080073718,-1.0604424,0.56918927,5e+19,10078970
0.096874997,-0.080073814,-1.0604425,0.56918936,5e+19,5039498.7
0.1,-0.08007391,-1.0604425,0.56918946,5e+19,329.09327

