X,ConductionBandEnergy,ValenceBandEnergy,ElectrostaticPotential,eDensity,hDensity
-0.1,-0.03007391,-1.0104425,0.51918946,5e+19,329.09327
-0.096874997,-0.030427662,-1.0107963,0.51954321,5e+19,332.58689
-0.09375,-0.030781418,-1.0111501,0.51989697,5.0000001e+19,336.03483
-0.090625003,-0.031135183,-1.0115038,0.52025073,5.0000001e+19,339.43848
-0.087499999,-0.031488957,-1.0118576,0.5206045,5.0000001e+19,342.7994
-0.084375001,-0.031842746,-1.0122114,0.52095829,5.0000001e+19,346.11944
-0.081249997,-0.032196555,-1.0125652,0.5213121,5.0000002e+19,349.4008
-0.078125,-0.032550387,-1.012919,0.52166593,5.0000001e+19,352.64616
-0.075000003,-0.032904222,-1.0132729,0.52201977,4.9999974e+19,355.85917
-0.071874999,-0.033257764,-1.0136264,0.52237331,4.999948e+19,359.04936
-0.0703125,-0.033431741,-1.0138004,0.52254729,4.9995759e+19,360.67393
-0.068750001,-0.03359281,-1.0139614,0.52270836,4.9976018e+19,362.47882
-0.067968749,-0.033645023,-1.0140137,0.52276057,4.9931237e+19,363.78893
-0.067187503,-0.033651501,-1.0140201,0.52276705,4.9830073e+19,365.77365
-0.06640625,-0.033565728,-1.0139344,0.52268128,4.9615475e+19,369.14361
-0.065624997,-0.033350999,-1.0137196,0.52246655,4.9242706e+19,374.50541
-0.064062499,-0.032762439,-1.0131311,0.52187799,4.8300512e+19,388.01773
-0.0625,-0.032571797,-1.0129404,0.52168734,4.783425e+19,395.73834
-0.059374999,-0.033084925,-1.0134536,0.52220047,4.7972406e+19,397.83986
-0.056249999,-0.033706353,-1.014075,0.5228219,4.8251305e+19,399.41259
-0.053125001,-0.034199776,-1.0145684,0.52331532,4.8388945e+19,404.11338
-0.050000001,-0.032607892,-1.0129765,0.52172344,4.6078405e+19,443.42485
-0.050000001,-0.032607892,-1.0129765,0.52172344,4.6078405e+19,443.42485
-0.046875,0.071780955,-1.0354702,0.48077584,1.371237e+18,193.20637
-0.043749999,0.082259711,-1.0249914,0.47029708,8.8965559e+17,300.10829
-0.040624999,0.084068283,-1.0231829,0.46848851,7.9916709e+17,330.4549
-0.037500001,0.08372287,-1.0235283,0.46883393,7.7843002e+17,334.91546
-0.034375001,0.082972077,-1.0242791,0.46958472,7.696423e+17,334.71541
-0.03125,0.082211924,-1.0250392,0.47034487,7.6087018e+17,334.93964
-0.028124999,0.081493636,-1.0257575,0.47106316,7.5061196e+17,336.16819
-0.025,0.080800368,-1.0264508,0.47175643,7.3937257e+17,338.11318
-0.021875,0.080113415,-1.0271377,0.47244338,7.2769805e+17,340.47984
-0.018750001,0.079422303,-1.0278288,0.47313449,7.1588576e+17,343.08995
-0.015625,0.078722713,-1.0285284,0.47383408,7.0405192e+17,345.85033
-0.0125,0.078013457,-1.0292377,0.47454334,6.9222247e+17,348.71083
-0.0093750004,0.077294569,-1.0299566,0.47526223,6.8038878e+17,351.63794
-0.0062500001,0.076566368,-1.0306848,0.47599043,6.68534e+17,354.60167
-0.003125,0.075829096,-1.031422,0.4767277,6.5664325e+17,357.56991
0,0.075082795,-1.0321683,0.477474,6.4470655e+17,360.50635
0.003125,0.074327281,-1.0329239,0.47822951,6.3271924e+17,363.36957
0.0062500001,0.073562137,-1.033689,0.47899466,6.2068201e+17,366.11237
