Y,ConductionBandEnergy,ValenceBandEnergy,ElectrostaticPotential,ElectricField-Y,Polarization-Y,eDensity,hDensity,SpaceCharge
-0.0155,0,0,-0.034223773,3.9147092e-06,0,0,0,0
-0.011625,0,0,-0.034223773,3.9154259e-06,0,0,0,0
-0.0105,0,0,-0.034223773,14344.288,-1.0936932e-06,0,0,0
-0.0105,1.957395e-12,1.957395e-12,-0.034223773,14344.288,-1.0936932e-06,0,0,0
-0.0077499999,2.6426015,-2.5119177,-0.039565705,19473.085,-1.0936655e-06,0,0,0
-0.0058125001,2.6463667,-2.5081525,-0.043330852,19437.938,-1.0936603e-06,0,0,0
-0.0038749999,2.650134,-2.5043852,-0.047098188,19516.012,-1.0936837e-06,0,0,0
-0.0035000001,2.6508636,-2.5036557,-0.04782772,-1840569.4,-1.0936266e-06,0,0,0
-0.0035000001,2.6508636,-2.5036557,-0.04782772,-1840569.4,-1.0936266e-06,0,0,0
-0.0029062501,3.5953296,-5.4046704,0.13044664,-3002470.8,0,0,0,0
-0.0024999999,0.30013336,-0.80711778,0.25242344,-68212.623,0,0,0,0
-0.0024999999,0.30013336,-0.80711778,0.25242344,-68212.623,0,1.1714061e+14,1.8016367e+13,1.5437094e+21
-0.002421875,0.29960045,-0.80765068,0.25295634,-68245.287,0,1.1958127e+14,1.7648685e+13,-1.0101933e+16
-0.0019375,0.29629466,-0.81095648,0.25626214,-68280.157,0,1.3589894e+14,1.5529649e+13,-1.0120369e+16
-0.001453125,0.29298582,-0.81426532,0.25957098,-68342.979,0,1.5446031e+14,1.3663384e+13,-1.0140797e+16
-0.00096874998,0.28967394,-0.8175772,0.26288286,-68438.721,0,1.7557629e+14,1.2019936e+13,-1.0163556e+16
0,0.28304108,-0.82421006,0.26951572,-68530.816,0,2.2693894e+14,9.2988931e+12,-1.021764e+16
0.00096874998,0.27639613,-0.830855,0.27616066,-68622.433,0,2.9345846e+14,7.1902698e+12,-1.0286268e+16
0.001453125,0.27306913,-0.834182,0.27948766,-68717.6,0,3.3376326e+14,6.3214869e+12,-1.0327442e+16
0.0019375,0.26973912,-0.83751202,0.28281768,-68779.868,0,3.7964642e+14,5.5569563e+12,-1.0374089e+16
0.002421875,0.26640609,-0.84084505,0.28615071,-68813.828,0,4.3188596e+14,4.8842444e+12,-1.0427002e+16
0.0024999999,0.26586822,-0.84138292,0.28668857,-68846.418,0,4.4096516e+14,4.7835827e+12,1.309734e+21
0.0024999999,0.26586822,-0.84138292,0.28668857,-68846.418,0,0,0,0
0.0029062501,3.5271329,-5.4728671,0.19864335,2167313.7,0,0,0,0
0.0035000001,2.5330747,-2.6214445,0.06996113,1391088.8,3.1364177e-07,0,0,0
0.0035000001,2.5330747,-2.6214445,0.06996113,1391088.8,3.1364177e-07,0,0,0
0.0038749999,2.538655,-2.6158642,0.064380799,148883.1,3.135702e-07,0,0,0
0.0058125001,2.5674893,-2.5870299,0.035546529,148830.7,3.1360431e-07,0,0,0
0.0077499999,2.5963265,-2.5581927,0.0067093255,148887.57,3.1360026e-07,0,0,0
0.0105,1.717864e-12,1.717864e-12,-0.034223773,110540.77,3.135663e-07,0,0,0
0.0105,0,0,-0.034223773,110540.77,3.135663e-07,0,0,0
0.011625,0,0,-0.034223773,-3.4357724e-06,0,0,0,0
0.0155,0,0,-0.034223773,-3.4359661e-06,0,0,0,0

