Y,ConductionBandEnergy,ValenceBandEnergy,ElectrostaticPotential,ElectricField-Y,Polarization-Y,eDensity,hDensity,SpaceCharge
-0.0155,0,0,-0.034223773,2.4049407e-07,0,0,0,0
-0.011625,0,0,-0.034223773,2.4045733e-07,0,0,0,0
-0.0105,0,0,-0.034223773,-169649.32,-3.2732691e-07,0,0,0
-0.0105,1.205003e-13,1.205003e-13,-0.034223773,-169649.32,-3.2732691e-07,0,0,0
-0.0077499999,2.5745044,-2.5800148,0.028531397,-228176.03,-3.2727485e-07,0,0,0
-0.0058125001,2.5302921,-2.6242271,0.072743752,-228188.02,-3.2727103e-07,0,0,0
-0.0038749999,2.4860817,-2.6684375,0.11695414,-228147.52,-3.2732858e-07,0,0,0
-0.0035000001,2.4775251,-2.6769941,0.12551071,-1859425.3,-3.2721461e-07,0,0,0
-0.0035000001,2.4775251,-2.6769941,0.12551071,-1859425.3,-3.2721461e-07,0,0,0
-0.0029062501,3.4293553,-5.5706447,0.29642092,-2878463.6,0,0,0,0
-0.0024999999,0.13919744,-0.96805369,0.41335935,-253754.17,0,0,0,0
-0.0024999999,0.13919744,-0.96805369,0.41335935,-253754.17,0,5.4384935e+16,4304.7299,1.1681686e+21
-0.002421875,0.13721499,-0.97003614,0.4153418,-254017.21,0,5.8716342e+16,3986.9812,-6.8716342e+16
-0.0019375,0.12490943,-0.98234171,0.42764737,-254439.62,0,9.4468859e+16,2477.029,-1.0446886e+17
-0.001453125,0.11256615,-0.99468499,0.43999065,-255434.26,0,1.521709e+17,1536.6796,-1.621709e+17
-0.00096874998,0.10016423,-1.0070869,0.45239257,-257988.63,0,2.455654e+17,951.15078,-2.555654e+17
0,0.075082795,-1.0321683,0.477474,-263802.12,0,6.4470655e+17,360.50635,-6.5470655e+17
0.00096874998,0.049051974,-1.0581992,0.50350482,-275101.93,0,1.7408864e+18,131.71084,-1.7508864e+18
0.001453125,0.035083914,-1.0721672,0.51747288,-299434.38,0,2.9442277e+18,76.730764,-2.9542277e+18
0.0019375,0.02004411,-1.087207,0.53251269,-329739,0,5.1279372e+18,42.88537,-5.1379372e+18
0.002421875,0.0031401712,-1.104111,0.54941662,-354600.01,0,9.3612525e+18,22.301015,-9.3712525e+18
0.0024999999,9.5287264e-05,-1.1071558,0.55246151,-389745.46,0,1.0398416e+19,19.823014,1.0954514e+21
0.0024999999,9.5287264e-05,-1.1071558,0.55246151,-389745.46,0,0,0,0
0.0029062501,3.2064726,-5.7935274,0.51930363,816228.78,0,0,0,0
0.0035000001,2.132194,-3.0223253,0.47084189,779743.52,-1.82613e-06,0,0,0
0.0035000001,2.132194,-3.0223253,0.47084189,779743.52,-1.82613e-06,0,0,0
0.0038749999,2.1592505,-2.9952687,0.44378536,721551.01,-1.8264402e-06,0,0,0
0.0058125001,2.2990439,-2.8554753,0.30399196,721519.04,-1.8263206e-06,0,0,0
0.0077499999,2.438839,-2.7156803,0.16419687,721553.01,-1.8263562e-06,0,0,0
0.0105,7.1418468e-13,7.1418468e-13,-0.034223773,536207.18,-1.8265107e-06,0,0,0
0.0105,0,0,-0.034223773,536207.18,-1.8265107e-06,0,0,0
0.011625,0,0,-0.034223773,-1.4287373e-06,0,0,0,0
0.0155,0,0,-0.034223773,-1.4287369e-06,0,0,0,0

