Y,Polarization-Y,ElectricField-Y,ElectrostaticPotential,ConductionBandEnergy,eDensity,hDensity,SpaceCharge
-0.0155,0,2.7241002e-06,-0.034223773,0,0,0,0
-0.013330001,0,2.818729e-06,-0.034223773,0,0,0,0
-0.011625,0,2.8615085e-06,-0.034223773,0,0,0,0
-0.010995001,-6.4909248e-07,18694.914,-0.034223773,0,0,0,0
-0.0105,-1.1908229e-06,36405.06,-0.034223773,0,0,0,0
-0.0105,-1.1908229e-06,36405.06,-0.034223773,1.4302502e-12,0,0,0
-0.0089600012,-1.1969097e-06,42762.719,-0.041361739,1.4840024,0,0,0
-0.0077499999,-1.2068785e-06,48590.858,-0.048125113,2.651161,0,0,0
-0.0066650007,-1.2000841e-06,43939.248,-0.052501732,2.6555376,0,0,0
-0.0058125001,-1.1919377e-06,39120.586,-0.05661067,2.6596465,0,0,0
-0.004727501,-1.1736426e-06,36128.387,-0.06007616,2.663112,0,0,0
-0.0038749999,-1.1449962e-06,33002.37,-0.063182282,2.6662181,0,0,0
-0.0036650002,-1.1528897e-06,-1027999,-0.063711786,2.6667476,0,0,0
-0.0035000001,-1.1730698e-06,-1898519.7,-0.064127601,2.6671634,0,0,0
-0.0035000001,-1.1730698e-06,-1898519.7,-0.064127601,2.6671634,0,0,0
-0.0031675003,-5.3508635e-07,-2559944.3,0.037101169,3.1946689,0,0,0
-0.0029062501,0,-3101706,0.12004006,3.6057362,0,0,0
-0.0026787501,0,-1456116,0.18926285,1.7595117,0,0,0
-0.0024999999,0,-137117.45,0.24588815,0.30666864,0,0,0
-0.0024999999,0,-137117.45,0.24588815,0.30666864,1.9903269e+14,2.1932528e+13,1.4803256e+21
-0.0024562499,0,-136368.64,0.2463518,0.306205,2.0212924e+14,2.1495096e+13,6.3904954e+20
-0.002421875,0,-134320.09,0.246957,0.30559979,2.0780894e+14,2.1078044e+13,-1.0186731e+16
-0.0021506252,0,-132857.45,0.24978053,0.30277627,2.2898113e+14,1.8696312e+13,-1.0210285e+16
-0.0019375,0,-128842.31,0.2533904,0.2991664,2.6994029e+14,1.6620973e+13,-1.0253319e+16
-0.0016662502,0,-126190.28,0.25609796,0.29645884,2.9453765e+14,1.4734295e+13,-1.0279803e+16
-0.001453125,0,-119311.58,0.2594007,0.29315609,3.4531307e+14,1.333392e+13,-1.0331979e+16
-0.0011818752,0,-115146.95,0.26196898,0.29058781,3.7332414e+14,1.1842471e+13,-1.0361482e+16
-0.00096874998,0,-104886.94,0.2649183,0.28763849,4.3298865e+14,1.089301e+13,-1.0422096e+16
-0.00042625036,0,-99206.283,0.26958248,0.28297432,4.9853003e+14,8.7763838e+12,-1.0489754e+16
0,0,-85576.791,0.27432515,0.27823165,6.3370984e+14,7.6825256e+12,-1.0626027e+16
0.00054249965,0,-79044.695,0.27827875,0.27427805,7.084524e+14,6.3513919e+12,-1.0702101e+16
0.00096874998,0,-64097.842,0.28137628,0.27118051,8.3253247e+14,5.8470708e+12,-1.0826685e+16
0.0012399998,0,-59511.531,0.28308879,0.26946801,8.7180585e+14,5.3739922e+12,-1.0866432e+16
0.001453125,0,-49197.264,0.28403755,0.26851924,9.1704723e+14,5.2449443e+12,-1.0911802e+16
0.0017243748,0,-45850.387,0.28558228,0.26697452,9.5668097e+14,4.863551e+12,-1.0951817e+16
0.0019375,0,-38207.208,0.28614924,0.26640756,9.8551325e+14,4.7913333e+12,-1.0980722e+16
0.0022087498,0,-35686.069,0.28753951,0.26501729,1.0249787e+15,4.4810934e+12,-1.1020498e+16
0.002421875,0,-29893.798,0.2877513,0.26480549,1.0360806e+15,4.4549108e+12,-1.1031626e+16
0.0024656251,0,-29082.387,0.28796276,0.26459404,1.0424181e+15,4.4102741e+12,7.0788038e+20
0.0024999999,0,-27120.236,0.28796695,0.26458985,1.0426391e+15,4.4097371e+12,1.2509062e+21
0.0024999999,0,-27120.236,0.28796695,0.26458985,0,0,0
0.0027274999,0,1204467.7,0.23906903,2.0904895,0,0,0
0.0029062501,0,2193781.3,0.19897683,3.5267994,0,0,0
0.0032387499,1.7898565e-07,1763063.9,0.12738664,2.9696554,0,0,0
0.0035000001,3.2674304e-07,1411171.3,0.068517672,2.5345182,0,0,0
0.0035000001,3.2674304e-07,1411171.3,0.068517672,2.5345182,0,0,0
0.0037099998,3.3186184e-07,717726.67,0.065472066,2.5375638,0,0,0
0.0038749999,3.4422704e-07,145692.47,0.062991151,2.5400447,0,0,0
0.0049599991,3.5133726e-07,146138.88,0.047299796,2.555736,0,0,0
0.0058125001,3.583813e-07,147273.43,0.034492666,2.5685432,0,0,0
0.0068974993,3.6576572e-07,146825.56,0.018861303,2.5841745,0,0,0
0.0077499999,3.7434011e-07,146435.81,0.006062048,2.5969738,0,0,0
0.0092899986,3.8308086e-07,126215.27,-0.016063254,1.1422347,0,0,0
0.0105,3.9370852e-07,110182.98,-0.034223773,9.5880019e-13,0,0,0
0.0105,3.9370852e-07,110182.98,-0.034223773,0,0,0,0
0.01113,1.8636868e-07,49899.781,-0.034223773,0,0,0,0
0.011625,0,-1.9019003e-06,-0.034223773,0,0,0,0
0.013330001,0,-1.8950894e-06,-0.034223773,0,0,0,0
0.0155,0,-1.8532373e-06,-0.034223773,0,0,0,0

