Y,Polarization-Y,ElectricField-Y,ElectrostaticPotential,ConductionBandEnergy,eDensity,hDensity,SpaceCharge
-0.0155,0,5.811589e-07,-0.034223773,0,0,0,0
-0.012709999,0,5.6242608e-07,-0.034223773,0,0,0,0
-0.011625,0,5.5600868e-07,-0.034223773,0,0,0,0
-0.010815,-3.9545559e-07,-111144.38,-0.034223773,0,0,0,0
-0.0105,-5.1095491e-07,-156432.89,-0.034223773,0,0,0,0
-0.0105,-5.1095491e-07,-156432.89,-0.034223773,2.7471129e-13,0,0,0
-0.0085199997,-4.7874116e-07,-198021.49,0.0072986123,1.8573047,0,0,0
-0.0077499999,-4.7208261e-07,-214673.56,0.024191607,2.5788442,0,0,0
-0.0063549997,-4.6054026e-07,-218592.28,0.054086024,2.5489498,0,0,0
-0.0058125001,-4.5794246e-07,-219688.38,0.066175799,2.53686,0,0,0
-0.0044175,-4.7798579e-07,-223506.5,0.097011529,2.5060243,0,0,0
-0.0038749999,-4.7995466e-07,-224568.99,0.10935661,2.4936792,0,0,0
-0.003605,-4.1002919e-07,-1553994.5,0.11546234,2.4875735,0,0,0
-0.0035000001,-4.0203992e-07,-2035155.7,0.11789065,2.4851452,0,0,0
-0.0035000001,-4.0203992e-07,-2035155.7,0.11789065,2.4851452,0,0,0
-0.0030725,-1.0022257e-07,-2850908.3,0.25511597,3.156293,0,0,0
-0.0029062501,0,-3149915.9,0.30526972,3.4205065,0,0,0
-0.0026137501,0,-1100513.7,0.39871317,1.0423449,0,0,0
-0.0024999999,0,-338483.6,0.43299752,0.11955928,0,0,0
-0.0024999999,0,-338483.6,0.43299752,0.11955928,5.3681011e+16,3372.0214,1.1687467e+21
-0.0024437499,0,-332374.23,0.43499164,0.11756516,5.8546771e+16,3160.8778,3.2905502e+20
-0.002421875,0,-332010.51,0.43563353,0.11692327,5.9530551e+16,3051.0199,-6.9530551e+16
-0.002073125,0,-315520.77,0.44745556,0.10510124,1.0198457e+17,2173.4268,-1.1198457e+17
-0.0019375,0,-314263.59,0.45139671,0.10116009,1.1037093e+17,1676.0558,-1.2037093e+17
-0.0015887499,0,-294516.11,0.46223565,0.090321149,1.8163421e+17,1239.6701,-1.9163421e+17
-0.001453125,0,-292982.43,0.46610316,0.08645364,1.9573038e+17,955.24988,-2.0573038e+17
-0.001104375,0,-268940.72,0.47603351,0.076523281,3.0927277e+17,727.00253,-3.1927277e+17
-0.00096874998,0,-267123.01,0.47982813,0.072728668,3.3271159e+17,562.73103,-3.4271159e+17
-0.00027124994,0,-249531.54,0.497402,0.055154792,7.6051311e+17,364.89389,-7.7051311e+17
0,0,-248182.8,0.50480048,0.047756314,8.6222546e+17,212.33938,-8.7222546e+17
0.00069750007,0,-244708.38,0.52101396,0.031542834,1.8139017e+18,138.94961,-1.8239017e+18
0.00096874998,0,-245512.53,0.52836149,0.024195305,2.0890916e+18,84.276196,-2.0990916e+18
0.0013175,0,-258937.57,0.53685394,0.015702857,3.0065331e+18,64.861973,-3.0165331e+18
0.001453125,0,-263701.86,0.54069005,0.011866744,3.3008181e+18,52.075944,-3.3108181e+18
0.0018018751,0,-285238.39,0.54988852,0.0026682723,4.8369505e+18,38.943708,-4.8469505e+18
0.0019375,0,-291935.91,0.5539498,-0.0013930064,5.3566739e+18,31.085079,-5.3666739e+18
0.00228625,0,-310260.94,0.56451381,-0.011957015,8.1577128e+18,22.159573,-8.1677128e+18
0.002421875,0,-315860.93,0.56899768,-0.016440881,9.1318018e+18,17.335507,-9.1418018e+18
0.002478125,0,-341193.96,0.57093098,-0.018374185,9.8012329e+18,16.180976,7.8634088e+20
0.0024999999,0,-349337.84,0.57172747,-0.019170672,1.0034518e+19,15.594908,1.0960982e+21
0.0024999999,0,-349337.84,0.57172747,-0.019170672,0,0,0
0.0027925,0,586508.84,0.54379323,2.2934818,0,0,0
0.0029062501,0,940578.4,0.53356141,3.1922148,0,0,0
0.0033337502,-1.2905092e-06,875139.94,0.49268747,2.4247156,0,0,0
0.0035000001,-1.7913615e-06,855758.59,0.47771485,2.125321,0,0,0
0.0035000001,-1.7913615e-06,855758.59,0.47771485,2.125321,0,0,0
0.0037700001,-1.7865232e-06,757696.77,0.45824781,2.144788,0,0,0
0.0038749999,-1.7898105e-06,728214.74,0.45067916,2.1523567,0,0,0
0.0052700001,-1.8055368e-06,729656.07,0.34890769,2.2541282,0,0,0
0.0058125001,-1.8107043e-06,730494.76,0.30949314,2.2935427,0,0,0
0.0072075003,-1.8183568e-06,732033.85,0.20724047,2.3957954,0,0,0
0.0077499999,-1.8215407e-06,733095.03,0.1675642,2.4354716,0,0,0
0.00973,-1.8293528e-06,597839.33,0.022275482,0.68193326,0,0,0
0.0105,-1.8313578e-06,545302.02,-0.034223773,8.8461912e-13,0,0,0
0.0105,-1.8313578e-06,545302.02,-0.034223773,0,0,0,0
0.01131,-5.1449577e-07,152642.05,-0.034223773,0,0,0,0
0.011625,0,-1.7665017e-06,-0.034223773,0,0,0,0
0.012709999,0,-1.7746218e-06,-0.034223773,0,0,0,0
0.0155,0,-1.7959848e-06,-0.034223773,0,0,0,0

