V_G_V,I_D_A_per_um
-3.495475483599961741e+00,4.946741974480218759e-10
-3.145361213752250862e+00,3.160386034326011686e-10
-2.960194223143025383e+00,2.021764560202894895e-10
-2.857842613753674321e+00,8.836110398201193318e-11
-2.713115045885929000e+00,1.377626693137172240e-10
-2.672504752344132761e+00,6.841068151360225687e-11
-2.569014004286008124e+00,1.066931961184602046e-10
-2.549136034515901095e+00,4.666078744182336254e-11
-2.404351509714715895e+00,7.752585992844179813e-11
-2.343407590935302931e+00,2.800574951963005011e-11
-2.239575101276546576e+00,6.397417363000603355e-11
-2.158126686459200805e+00,2.034632002198966084e-11
-2.034814925564407240e+00,1.302236623547687478e-11
-2.034017528496265381e+00,3.172688855977704088e-11
-1.910477939867717190e+00,2.618954588328482055e-11
-1.787735748307309969e+00,8.873416661335122964e-12
-1.685156311184204725e+00,5.001702765539921833e-12
-1.663341805677181373e+00,1.901748359967727104e-11
-1.438134090860547332e+00,3.198119861076987651e-12
-1.416376542286962525e+00,1.141052940932179671e-11
-1.189972731868114586e+00,7.297159646343960424e-12
-1.170664331432395233e+00,1.689382764622853621e-12
-9.239268957759305678e-01,7.859308791657663475e-13
-7.389877329004610473e-01,3.898327729327023295e-13
-6.781007710544866285e-01,1.321462497022315175e-13
-6.581658443509397216e-01,6.158774367967196806e-14
-5.979054087727919686e-01,1.037063976923702406e-14
-5.563268473625373467e-01,1.518475653355372538e-14
-4.327303018005506097e-01,1.335772291811537887e-14
-4.320468185992858423e-01,2.865641006502859122e-14
-3.282143289405299313e-01,6.546049238310150684e-14
-2.850409733939915924e-01,5.689272133307148978e-13
-2.634542956207224229e-01,1.677240836378010187e-12
-1.800123881330222275e-01,4.942202764729183153e-12
-1.169041058829387580e-01,2.001877279852745850e-11
-9.571612664374073987e-02,3.781006131310319652e-11
-1.233117608947953414e-02,1.045462357582200591e-10
2.975999772172421842e-02,2.713486710106620614e-10
7.168030073261011381e-02,5.819352423797342583e-10
7.253465473419051790e-02,1.510902187290870645e-09
1.554639498209429149e-01,2.511565258429223951e-09
2.389058573086453308e-01,7.400645449828026541e-09
2.391336850423986249e-01,9.544782784834980875e-09
3.225755925300992644e-01,2.812491256164439665e-08
3.436496579024197473e-01,4.677490202598077242e-08
4.475960614280536376e-01,1.213440808745625009e-07
6.135116085349983095e-01,3.573213312192301628e-07
7.378485942316883595e-01,7.186162045994487171e-07
8.828609467666268529e-01,1.539883926012825769e-06
1.110119111187055196e+00,2.556805721944017081e-06
1.399004677588159495e+00,3.290011637058094621e-06
1.708736481627831871e+00,5.459116888239847779e-06
1.976775810390369870e+00,5.447495035899126140e-06
2.450828367400701424e+00,4.484220844979461466e-06
2.760218429839740750e+00,5.080041686667608798e-06
3.131349808126331347e+00,5.065073421307018150e-06
3.440682913631931683e+00,5.384457028041129637e-06
