V_G_V,I_D_A_per_um
-1.996999999999989894e+00,3.617856964963488847e-09
-1.993400000000000061e+00,3.632767610804744953e-09
-1.989079999999999959e+00,3.634186418724444499e-09
-1.983896000000000104e+00,3.635883040645189254e-09
-1.977675199999999966e+00,3.637911814179822115e-09
-1.970210240000010105e+00,3.640336070621355672e-09
-1.961252288000000066e+00,3.643230522072088967e-09
-1.950502745599989929e+00,3.646683054734444549e-09
-1.937603294719999925e+00,3.650796729092266843e-09
-1.922123953664010010e+00,3.655691958710311545e-09
-1.903548744396799997e+00,3.661508693098166790e-09
-1.881258493276170007e+00,3.668408001516444507e-09
-1.854510191931389995e+00,3.676571590007633328e-09
-1.822412230317669968e+00,3.686196945763066967e-09
-1.783894676381200028e+00,3.697486779522655519e-09
-1.737673611657440054e+00,3.710638348574522350e-09
-1.682208333988939986e+00,3.725858628435988913e-09
-1.622208333988929940e+00,3.742235653479911151e-09
-1.562208333988930109e+00,3.758489011417111608e-09
-1.502208333988920064e+00,3.774183982017988826e-09
-1.442208333988920010e+00,3.789310678454811052e-09
-1.382208333988919957e+00,3.803903391460355598e-09
-1.322208333988909912e+00,3.818024972911978532e-09
-1.262208333988910081e+00,3.831762318959377844e-09
-1.202208333988900035e+00,3.845193003356800007e-09
-1.142208333988899982e+00,3.858369951577655288e-09
-1.082208333988899929e+00,3.871331204860477793e-09
-1.022208333988890105e+00,3.884128699911499849e-09
-9.622083339888880538e-01,3.896855361386755199e-09
-9.022083339888840037e-01,3.909610284379500424e-09
-8.422083339888799536e-01,3.922477602159000484e-09
-7.822083339888760145e-01,3.935537061702699977e-09
-7.222083339888719644e-01,3.948881136814933428e-09
-6.622083339888680253e-01,3.962622294731689182e-09
-6.022083339888639753e-01,3.976898627853388644e-09
-5.422083339888600362e-01,3.991853936307245093e-09
-4.822083339888549869e-01,4.007411092044699914e-09
-4.222083339888509923e-01,4.020755687195855357e-09
-3.622083339888469977e-01,4.004701068299333664e-09
-3.022083339888430031e-01,3.725990642757621877e-09
-2.422083339888390086e-01,1.306295322677088952e-09
-1.822083339888349862e-01,1.481233227371688919e-08
-1.222083339888310055e-01,8.036877767494368032e-08
-6.220833398882710114e-02,2.876317573598744510e-07
-2.208333988823029791e-03,1.097435806809986630e-06
5.779166601118120028e-02,5.407408106966799664e-06
1.177916660111850006e-01,2.356627720571044402e-05
1.777916660111890090e-01,6.485336422788478834e-05
2.377916660111930036e-01,1.291502981755722273e-04
2.977916660111969982e-01,2.112200889168277856e-04
3.577916660112009928e-01,2.996687233243733295e-04
4.177916660112059866e-01,3.846230764334789107e-04
4.777916660112099811e-01,4.622684965063533920e-04
5.377916660112139757e-01,5.323853515992655640e-04
5.977916660112180258e-01,5.945129385225044524e-04
6.577916660112219649e-01,6.493012727206633498e-04
7.177916660112260150e-01,6.979452483371878903e-04
7.777916660112299541e-01,7.415828381847500844e-04
8.377916660112340042e-01,7.808915400241556301e-04
8.977916660112380542e-01,8.164402667694523226e-04
9.577916660112419933e-01,8.486682906292201392e-04
1.000000000000000000e+00,8.695673270031388860e-04
