V_G_V,I_D_A_per_um
-1.996999999999989894e+00,3.750677746672222435e-09
-1.993400000000000061e+00,3.765544246827844982e-09
-1.989079999999979975e+00,3.766576059214300282e-09
-1.983895999999979898e+00,3.767808740041178510e-09
-1.977675199999979982e+00,3.769281491702588600e-09
-1.970210239999989899e+00,3.771039681098700228e-09
-1.961252287999980082e+00,3.773136714027644649e-09
-1.950502745599959953e+00,3.775635258576099959e-09
-1.937603294719949965e+00,3.778608559911999811e-09
-1.922123953663930074e+00,3.782141786553111341e-09
-1.903548744396730052e+00,3.786333269652867020e-09
-1.881258493276060095e+00,3.791295477176622522e-09
-1.854510191931310059e+00,3.797155791903777902e-09
-1.822412230317600024e+00,3.804057956364133206e-09
-1.783894676381150068e+00,3.812165874690144768e-09
-1.737673611657410078e+00,3.821670782868755689e-09
-1.682208333988910010e+00,3.832799207158333332e-09
-1.622208333988929940e+00,3.845050333677100403e-09
-1.562208333988950093e+00,3.857443500109922530e-09
-1.502208333988980016e+00,3.869548216893055514e-09
-1.442208333988999946e+00,3.881341835305422550e-09
-1.382208333989020099e+00,3.892809012543933442e-09
-1.322208333989040030e+00,3.903964587253211330e-09
-1.262208333989059961e+00,3.914875051565077524e-09
-1.202208333989079891e+00,3.925617357313844451e-09
-1.142208333989100044e+00,3.936256432856277642e-09
-1.082208333989119975e+00,3.946853638027255670e-09
-1.022208333989149898e+00,3.957482463154711414e-09
-9.622083339891680520e-01,3.968242650912066669e-09
-9.022083339891889819e-01,3.979238130901178273e-09
-8.422083339892100229e-01,3.990151722546133610e-09
-7.822083339892319520e-01,3.995854859506466563e-09
-7.222083339892529930e-01,3.943978437132166823e-09
-6.622083339892740339e-01,3.330802358939255722e-09
-6.022083339892959630e-01,2.610446518545511278e-09
-5.422083339893170040e-01,5.820419249332466544e-08
-4.822083339893379894e-01,5.517579607241277490e-07
-4.222083339893599740e-01,4.072171890343299960e-06
-3.622083339893810150e-01,1.850615807185966729e-05
-3.022083339894020004e-01,5.089343737751678159e-05
-2.422083339894240128e-01,1.005128250092594382e-04
-1.822083339894449983e-01,1.610320698029622376e-04
-1.222083339894659976e-01,2.255577507177155671e-04
-6.220833398948769771e-02,2.904153348685777764e-04
-2.208333989509149789e-03,3.547580820203466716e-04
5.779166601046940160e-02,4.195413589964845039e-04
1.177916660104480068e-01,4.868731360286422606e-04
1.777916660104270075e-01,5.518497912986956031e-04
2.377916660104059943e-01,6.112873524453377432e-04
2.977916660103839819e-01,6.642302506835078349e-04
3.577916660103629964e-01,7.116264696851344607e-04
4.177916660103410118e-01,7.544835046891534445e-04
4.777916660103200264e-01,7.932777917255877604e-04
5.377916660102990409e-01,8.278779563915978365e-04
5.977916660102780000e-01,8.590968803703765908e-04
6.577916660102559598e-01,8.875798450124445594e-04
7.177916660102350299e-01,9.136480193931144789e-04
7.777916660102129898e-01,9.375443275198622585e-04
8.377916660101919488e-01,9.594939686111512035e-04
8.977916660101710189e-01,9.797000368705322502e-04
9.577916660101499780e-01,9.983428601018134920e-04
1.000000000000000000e+00,1.010607737095381214e-03
