grid,sigma_log10,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std
15_level,0.0,0.8303571428571429,0.0,0.7536269316593286,0.0
6_level_usable,0.0,0.35119047619047616,0.0,0.19779137537796332,0.0
15_level,0.0358,0.8283730158730159,0.007014948226057046,0.7417593807107551,0.013202837311794256
6_level_usable,0.0358,0.4077380952380953,0.03819122332325426,0.23886566413689683,0.027547585854408568
15_level,0.05,0.8174603174603176,0.018559808466140564,0.7296269947340687,0.031921079570718026
6_level_usable,0.05,0.3878968253968254,0.04934456395018211,0.23242391165809875,0.0334970241165795
15_level,0.1,0.7728174603174603,0.005058551104754729,0.6704310006045534,0.019372781454580275
6_level_usable,0.1,0.439484126984127,0.08383963729681188,0.2743676335154433,0.027075492222213896
15_level,0.2,0.39186507936507936,0.13134261240821715,0.282899465526989,0.07618481307755368
6_level_usable,0.2,0.44345238095238093,0.23634025828680738,0.26878815459003547,0.15307130554183018
15_level,0.3,0.16567460317460317,0.06594051332493599,0.06973995271867613,0.023403061315866818
6_level_usable,0.3,0.31646825396825395,0.18911238778276787,0.15133727238996061,0.10565665111489535
15_level,0.5,0.16567460317460317,0.06594051332493599,0.06998480243161094,0.023749331100642406
6_level_usable,0.5,0.16567460317460317,0.06594051332493599,0.06973995271867613,0.023403061315866818
