timestep,neuron_index
31,0
58,0
79,0
103,0
123,0
408,0
417,0
426,0
432,0
437,0
441,0
445,0
448,0
452,0
455,0
458,0
515,0
518,0
520,0
523,0
529,0
548,0
555,0
564,0
569,0
574,0
581,0
586,0
591,0
601,0
611,0
631,0
656,0
661,0
688,0
712,0
739,0
758,0
770,0
782,0
789,0
799,0
808,0
814,0
825,0
834,0
851,0
198,1
217,1
241,1
271,1
465,1
467,1
469,1
470,1
472,1
473,1
474,1
475,1
476,1
477,1
479,1
480,1
481,1
482,1
484,1
485,1
487,1
489,1
490,1
491,1
493,1
494,1
495,1
496,1
498,1
499,1
501,1
502,1
505,1
902,1
918,1
926,1
937,1
946,1
954,1
964,1
973,1
988,1
997,1
998,1
999,1
1000,2
1001,2
1002,2
1003,2
1004,2
1005,2
1006,2
1007,2
1008,2
1009,2
1010,2
1011,2
1012,2
1013,2
1014,2
1015,2
1016,2
1017,2
1018,2
1019,2
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1032,2
1033,2
1034,2
1035,2
1036,2
1037,2
1038,2
1039,2
1040,2
1041,2
1042,2
1043,2
1044,2
1045,2
1046,2
1047,2
1048,2
1049,2
1050,2
1051,2
1052,2
1053,2
1054,2
1055,2
1056,2
1057,2
1058,2
1059,2
1060,2
1061,2
1062,2
1063,2
1064,2
1065,2
1066,2
1067,2
1068,2
1069,2
1070,2
1071,2
1072,2
1073,2
1074,2
1075,2
1076,2
1077,2
1078,2
1079,2
1080,2
1081,2
1082,2
1083,2
1084,2
1085,2
1086,2
1087,2
1088,2
1089,2
1090,2
1091,2
1092,2
1093,2
1094,2
1095,2
1096,2
1097,2
1098,2
1099,2
1100,2
1101,2
1102,2
1103,2
1104,2
1105,2
1106,2
1107,2
1108,2
1109,2
1110,2
1111,2
1112,2
1113,2
1114,2
1115,2
