timestep,neuron_index
178,0
188,0
195,0
206,0
214,0
226,0
235,0
257,0
269,0
289,0
301,0
490,0
497,0
509,0
517,0
527,0
782,0
921,0
936,0
944,0
954,0
964,0
972,0
983,0
991,0
998,0
195,1
204,1
222,1
265,1
276,1
294,1
308,1
321,1
533,1
695,1
735,1
755,1
882,1
908,1
923,1
958,1
978,1
992,1
1001,1
1037,1
1055,1
1064,1
581,2
602,2
623,2
629,2
637,2
650,2
659,2
673,2
688,2
694,2
701,2
713,2
730,2
736,2
753,2
770,2
783,2
789,2
798,2
813,2
827,2
844,2
857,2
871,2
880,2
889,2
916,2
1044,2
1065,2
225,3
242,3
268,3
295,3
476,3
483,3
491,3
500,3
514,3
935,3
946,3
975,3
996,3
470,4
562,4
571,4
579,4
588,4
604,4
613,4
627,4
640,4
649,4
657,4
665,4
675,4
681,4
691,4
700,4
710,4
734,4
748,4
754,4
762,4
773,4
779,4
789,4
800,4
809,4
817,4
823,4
834,4
843,4
849,4
860,4
870,4
879,4
889,4
896,4
905,4
1046,4
1055,4
1064,4
1087,4
1096,4
1110,4
55,5
73,5
85,5
103,5
117,5
128,5
135,5
146,5
153,5
161,5
168,5
179,5
194,5
204,5
430,5
496,5
502,5
943,5
954,5
991,5
194,6
206,6
224,6
236,6
278,6
472,6
483,6
492,6
502,6
508,6
925,6
944,6
953,6
961,6
980,6
1004,6
1012,6
1023,6
1043,6
1060,6
1073,6
1082,6
1092,6
1107,6
470,7
477,7
484,7
490,7
498,7
633,7
652,7
666,7
679,7
693,7
708,7
720,7
745,7
760,7
868,7
891,7
905,7
921,7
991,7
1001,7
1047,7
1060,7
1077,7
1097,7
81,8
160,8
338,8
353,8
367,8
386,8
399,8
410,8
447,8
454,8
34,9
61,9
82,9
126,9
420,9
429,9
440,9
451,9
458,9
521,9
532,9
551,9
558,9
567,9
577,9
584,9
594,9
604,9
614,9
634,9
641,9
659,9
691,9
697,9
715,9
742,9
760,9
773,9
785,9
791,9
798,9
809,9
817,9
828,9
837,9
854,9
866,9
878,9
888,9
898,9
1068,9
1077,9
1086,9
1094,9
1102,9
1112,9
195,10
211,10
219,10
234,10
265,10
292,10
312,10
466,10
474,10
483,10
490,10
497,10
506,10
533,10
927,10
943,10
958,10
965,10
978,10
989,10
999,10
55,11
73,11
97,11
107,11
115,11
133,11
354,11
370,11
390,11
398,11
414,11
233,12
243,12
258,12
278,12
308,12
319,12
330,12
343,12
361,12
375,12
393,12
403,12
420,12
252,13
299,13
318,13
352,13
365,13
393,13
408,13
476,13
485,13
491,13
497,13
505,13
511,13
517,13
949,13
960,13
976,13
221,14
238,14
254,14
275,14
301,14
311,14
319,14
338,14
543,14
719,14
930,14
966,14
217,15
245,15
271,15
467,15
473,15
479,15
485,15
493,15
500,15
596,15
808,15
833,15
848,15
868,15
879,15
886,15
907,15
918,15
927,15
941,15
954,15
973,15
988,15
997,15
31,16
58,16
103,16
123,16
408,16
417,16
432,16
445,16
455,16
518,16
548,16
555,16
574,16
581,16
591,16
