timestep,neuron_index
37,0
50,0
128,0
414,0
422,0
435,0
446,0
456,0
463,0
540,0
554,0
561,0
570,0
577,0
587,0
600,0
619,0
627,0
644,0
669,0
679,0
739,0
747,0
764,0
778,0
804,0
831,0
857,0
867,0
901,0
568,1
580,1
588,1
597,1
611,1
622,1
628,1
642,1
649,1
658,1
669,1
676,1
683,1
690,1
700,1
711,1
719,1
735,1
743,1
753,1
782,1
790,1
809,1
818,1
828,1
855,1
869,1
879,1
891,1
897,1
1073,1
1109,1
122,2
330,2
347,2
354,2
361,2
367,2
376,2
384,2
392,2
399,2
408,2
282,3
577,3
587,3
596,3
606,3
615,3
624,3
636,3
646,3
654,3
660,3
669,3
679,3
687,3
694,3
704,3
716,3
722,3
732,3
745,3
771,3
812,3
827,3
847,3
859,3
884,3
897,3
923,3
1058,3
209,4
228,4
252,4
278,4
473,4
479,4
486,4
495,4
505,4
512,4
569,4
581,4
630,4
641,4
647,4
676,4
754,4
771,4
780,4
795,4
828,4
841,4
869,4
914,4
928,4
953,4
971,4
1006,4
33,5
41,5
50,5
60,5
67,5
81,5
104,5
125,5
410,5
418,5
427,5
434,5
442,5
450,5
457,5
465,5
525,5
532,5
550,5
557,5
565,5
571,5
583,5
603,5
613,5
760,5
772,5
784,5
791,5
810,5
816,5
836,5
65,6
80,6
110,6
118,6
124,6
142,6
152,6
160,6
167,6
176,6
191,6
213,6
225,6
249,6
257,6
297,6
532,6
667,6
933,6
941,6
961,6
968,6
471,7
477,7
498,7
567,7
577,7
583,7
599,7
615,7
625,7
635,7
644,7
660,7
671,7
687,7
701,7
712,7
728,7
743,7
753,7
768,7
774,7
786,7
795,7
812,7
818,7
838,7
855,7
865,7
875,7
1004,7
114,8
566,8
585,8
598,8
623,8
642,8
656,8
667,8
677,8
695,8
710,8
719,8
735,8
746,8
780,8
800,8
836,8
854,8
881,8
895,8
1027,8
1040,8
1051,8
216,9
235,9
251,9
259,9
281,9
288,9
496,9
648,9
676,9
698,9
705,9
720,9
727,9
761,9
768,9
832,9
845,9
878,9
894,9
908,9
915,9
921,9
928,9
936,9
944,9
951,9
964,9
971,9
989,9
1015,9
1024,9
1033,9
470,10
477,10
484,10
490,10
505,10
588,10
620,10
