timestep,N,F,SVEB,VEB
0,0.25,0.25,0.25,0.25
1,0.25,0.25,0.25,0.25
2,0.25,0.25,0.25,0.25
3,0.25,0.25,0.25,0.25
4,0.25,0.25,0.25,0.25
5,0.25,0.25,0.25,0.25
6,0.25,0.25,0.25,0.25
7,0.25,0.25,0.25,0.25
8,0.25,0.25,0.25,0.25
9,0.25,0.25,0.25,0.25
10,0.25,0.25,0.25,0.25
11,0.25,0.25,0.25,0.25
12,0.25,0.25,0.25,0.25
13,0.25,0.25,0.25,0.25
14,0.25,0.25,0.25,0.25
15,0.25,0.25,0.25,0.25
16,0.25,0.25,0.25,0.25
17,0.25,0.25,0.25,0.25
18,0.25,0.25,0.25,0.25
19,0.25,0.25,0.25,0.25
20,0.25,0.25,0.25,0.25
21,0.25,0.25,0.25,0.25
22,0.25,0.25,0.25,0.25
23,0.25,0.25,0.25,0.25
24,0.25,0.25,0.25,0.25
25,0.25,0.25,0.25,0.25
26,0.25,0.25,0.25,0.25
27,0.25,0.25,0.25,0.25
28,0.25,0.25,0.25,0.25
29,0.25,0.25,0.25,0.25
30,0.25,0.25,0.25,0.25
31,0.2092937,0.2514852,0.2846015,0.25461957
32,0.17221634,0.26371458,0.3080968,0.25597227
33,0.1454985,0.28882083,0.31931528,0.24636544
34,0.14391264,0.28660956,0.3173686,0.2521092
35,0.14253213,0.29354104,0.3180626,0.2458642
36,0.12139006,0.3019079,0.34031376,0.23638833
37,0.112557344,0.28391644,0.3615729,0.24195337
38,0.10963388,0.2957253,0.36021408,0.23442672
39,0.10805714,0.3005233,0.35250264,0.23891696
40,0.08606627,0.3394744,0.36206037,0.21239899
41,0.07824879,0.3529342,0.3726786,0.19613831
42,0.07543619,0.36690655,0.37315002,0.18450725
43,0.07580638,0.36813092,0.36820862,0.18785413
44,0.08088298,0.36364433,0.36371732,0.1917554
45,0.07954994,0.34250113,0.3713329,0.20661601
46,0.065794975,0.37583494,0.37497044,0.1833996
47,0.070754126,0.37122738,0.3704151,0.18760343
48,0.059183042,0.4111888,0.36523217,0.164396
49,0.056700397,0.39284486,0.39091727,0.1595375
50,0.049888864,0.4321738,0.37806243,0.139875
51,0.052810963,0.4316555,0.37149462,0.14403884
52,0.05694327,0.39542973,0.40170553,0.14592147
53,0.059576944,0.39470473,0.396151,0.14956732
54,0.0606359,0.39509162,0.39023829,0.15403424
55,0.05349344,0.42048815,0.38590276,0.14011566
56,0.05827952,0.41427606,0.38179672,0.14564763
57,0.060906198,0.4143825,0.37520868,0.14950266
58,0.03644226,0.44274583,0.40513593,0.11567587
59,0.028190095,0.42631435,0.4411899,0.10430561
60,0.024036305,0.43808168,0.4437133,0.09416872
61,0.023444021,0.4491985,0.42922312,0.09813435
62,0.019739525,0.4404488,0.43991628,0.0998955
63,0.020976232,0.40972945,0.464386,0.10490832
64,0.022948382,0.37406296,0.49148628,0.111502364
65,0.02015331,0.40279886,0.48228312,0.09476459
66,0.020127708,0.41693556,0.46809715,0.09483955
67,0.019658756,0.43045488,0.46238083,0.087505594
68,0.021826804,0.44619983,0.44634923,0.08562406
69,0.023170022,0.4530735,0.43321797,0.09053849
70,0.027789636,0.45230424,0.42248043,0.09742573
71,0.029361546,0.4500133,0.4225235,0.098101534
72,0.03495884,0.40699133,0.44574326,0.11230666
73,0.033291526,0.42439646,0.4364498,0.105862215
74,0.033758696,0.43328446,0.42813247,0.104824424
75,0.035176545,0.43356583,0.42891395,0.102343686
76,0.035002146,0.44295523,0.42339334,0.09864938
77,0.035184667,0.46597087,0.402129,0.09671547
78,0.03960625,0.42246133,0.4321034,0.105828986
79,0.040364303,0.42914277,0.4243395,0.10615342
80,0.040545743,0.40779296,0.42922193,0.122439295
81,0.024850223,0.4500573,0.42972144,0.09537104
82,0.027144566,0.44279847,0.4264943,0.103562675
83,0.027390243,0.45767102,0.41476488,0.10017392
84,0.02693559,0.4289803,0.44546047,0.09862364
85,0.030049404,0.42680442,0.43936574,0.10378046
86,0.03256958,0.4280626,0.43061545,0.108752385
87,0.033935793,0.4408861,0.419781,0.105397
88,0.0379585,0.43516484,0.41532618,0.11155054
89,0.033119123,0.423847,0.43554744,0.10748646
90,0.03596794,0.41129506,0.44036344,0.112373516
91,0.03880556,0.41305545,0.43082,0.11731897
92,0.03787742,0.42590612,0.41705862,0.11915782
93,0.03368249,0.4514093,0.4110916,0.10381662
94,0.036275275,0.45113814,0.4038863,0.10870031
95,0.041046776,0.44012937,0.40190217,0.11692162
96,0.031997714,0.47617692,0.3972572,0.09456816
97,0.03381197,0.47673997,0.39373168,0.09571629
98,0.036886983,0.4835433,0.37971297,0.099856675
99,0.044877358,0.39157137,0.45509145,0.108459815
100,0.038403604,0.41290158,0.45061722,0.098077565
101,0.041395698,0.41512924,0.4407583,0.10271682
102,0.042328887,0.42235175,0.42790267,0.10741671
103,0.023189163,0.45055065,0.44870514,0.07755502
104,0.021071272,0.45638388,0.44259468,0.079950154
105,0.019468624,0.39803556,0.4917345,0.09076132
106,0.018376267,0.41942725,0.47857648,0.08361999
107,0.018377617,0.43336844,0.4661896,0.082064375
108,0.016765486,0.44050628,0.4600509,0.08267733
109,0.018811414,0.35889155,0.53516924,0.087127805
110,0.019084949,0.3623365,0.5268451,0.091733545
111,0.018820196,0.38810968,0.50772,0.08535014
112,0.019136116,0.40058705,0.49943617,0.08084067
113,0.020151136,0.42063522,0.4842186,0.074995026
114,0.02159714,0.4236412,0.4773883,0.07737332
115,0.023313792,0.42748937,0.469943,0.07925393
116,0.027124723,0.4349245,0.45323586,0.084714934
117,0.030275997,0.43279868,0.44704038,0.08988495
