bin_center,count_FP,count_15level
-0.949497,2,2
-0.9167323,0,1
-0.8839677,1,1
-0.851203,3,0
-0.8184384,2,8
-0.78567374,2,0
-0.75290906,3,0
-0.7201444,3,5
-0.6873797,4,0
-0.6546151,15,19
-0.6218505,10,7
-0.5890858,12,12
-0.55632114,16,32
-0.5235565,18,0
-0.4907918,15,18
-0.45802718,22,26
-0.4252625,22,26
-0.39249787,19,22
-0.35973322,35,22
-0.32696855,39,45
-0.2942039,63,91
-0.26143926,104,94
-0.22867459,259,202
-0.19590995,564,675
-0.1631453,1289,1422
-0.13038063,2321,3626
-0.09761596,3703,2934
-0.064851314,4889,3282
-0.03208667,4788,6100
0.00067800283,238299,238059
0.033442646,1982,1987
0.06620729,1188,1371
0.09897196,723,363
0.13173664,399,346
0.16450131,234,236
0.19726592,119,136
0.23003054,61,49
0.2627952,37,53
0.29555988,24,18
0.32832456,19,24
0.36108923,19,11
0.39385384,15,28
0.42661846,13,0
0.45938313,12,23
0.4921478,13,5
0.5249125,8,1
0.55767715,7,17
0.59044176,9,4
0.6232064,8,10
0.65597105,9,18
0.6887357,6,0
0.7215004,4,0
0.75426507,2,0
0.78702974,2,5
0.81979436,1,0
0.852559,0,0
0.88532364,1,0
0.9180883,1,2
0.950853,0,0
0.98361766,2,2
