timestep,index
3,0
61,0
66,0
71,0
131,0
230,0
236,0
242,0
247,0
254,0
260,0
265,0
269,0
273,0
276,0
279,0
282,0
284,0
287,0
289,0
292,0
295,0
299,0
355,0
358,0
360,0
362,0
364,0
366,0
368,0
370,0
373,0
376,0
380,0
433,0
437,0
440,0
443,0
447,0
452,0
588,0
650,0
654,0
658,0
662,0
666,0
745,0
755,0
761,0
764,0
767,0
770,0
772,0
774,0
775,0
777,0
779,0
780,0
782,0
783,0
784,0
786,0
787,0
789,0
790,0
792,0
793,0
795,0
797,0
799,0
802,0
919,0
971,0
973,0
974,0
975,0
976,0
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,0
989,0
990,0
991,0
992,0
993,0
994,0
995,0
996,0
997,0
998,0
999,0
15,1
17,1
18,1
19,1
21,1
22,1
23,1
24,1
25,1
26,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
36,1
37,1
39,1
41,1
43,1
45,1
51,1
97,1
109,1
150,1
159,1
317,1
320,1
322,1
324,1
327,1
329,1
331,1
333,1
336,1
339,1
391,1
394,1
396,1
398,1
400,1
402,1
404,1
406,1
408,1
410,1
413,1
416,1
423,1
481,1
544,1
551,1
560,1
605,1
609,1
613,1
616,1
619,1
623,1
626,1
630,1
637,1
686,1
690,1
692,1
695,1
698,1
700,1
703,1
707,1
711,1
820,1
823,1
826,1
829,1
832,1
835,1
841,1
877,1
881,1
884,1
887,1
890,1
894,1
933,1
936,1
938,1
940,1
941,1
943,1
944,1
946,1
947,1
949,1
951,1
952,1
954,1
956,1
958,1
55,2
61,2
67,2
123,2
184,2
189,2
194,2
198,2
202,2
206,2
211,2
218,2
430,2
435,2
439,2
443,2
447,2
452,2
457,2
465,2
511,2
519,2
525,2
532,2
540,2
668,2
674,2
679,2
684,2
688,2
693,2
699,2
706,2
755,2
759,2
763,2
765,2
768,2
771,2
773,2
776,2
778,2
781,2
784,2
787,2
793,2
907,2
911,2
914,2
918,2
922,2
926,2
970,2
974,2
977,2
979,2
982,2
984,2
986,2
989,2
992,2
995,2
13,3
17,3
