timestep,index
132,0
181,0
202,0
233,0
454,0
477,0
515,0
526,0
537,0
646,0
660,0
669,0
923,0
1040,0
1061,0
1080,0
1105,0
54,1
74,1
89,1
96,1
105,1
114,1
145,1
153,1
170,1
327,1
383,1
430,1
784,1
100,2
119,2
233,2
367,2
487,2
710,2
944,2
1015,2
1023,2
1031,2
1039,2
1047,2
1055,2
1063,2
1071,2
1077,2
1086,2
1095,2
1103,2
1111,2
212,3
256,3
281,3
483,3
599,3
609,3
760,3
200,4
270,4
450,4
501,4
559,4
583,4
688,4
726,4
741,4
926,4
109,5
128,5
173,5
330,5
348,5
407,5
420,5
463,5
496,5
510,5
647,5
721,5
836,5
847,5
857,5
877,5
948,5
256,6
279,6
493,6
596,6
606,6
622,6
752,6
819,6
829,6
38,7
47,7
61,7
67,7
75,7
83,7
90,7
98,7
108,7
114,7
125,7
167,7
302,7
311,7
318,7
330,7
366,7
376,7
391,7
402,7
414,7
423,7
770,7
776,7
784,7
793,7
138,8
250,8
267,8
359,8
471,8
575,8
584,8
595,8
605,8
821,8
832,8
74,9
90,9
253,9
315,9
430,9
597,9
1057,9
1073,9
1096,9
53,10
66,10
76,10
88,10
96,10
111,10
144,10
176,10
288,10
302,10
311,10
399,10
411,10
420,10
530,10
545,10
643,10
658,10
673,10
771,10
783,10
1003,10
1031,10
1049,10
1065,10
1074,10
1085,10
1098,10
71,11
91,11
98,11
144,11
158,11
228,11
312,11
321,11
540,11
683,11
781,11
1012,11
1021,11
1031,11
1040,11
1048,11
1057,11
1065,11
1072,11
1079,11
1088,11
1096,11
1104,11
1114,11
227,12
247,12
351,12
457,12
468,12
572,12
590,12
697,12
713,12
744,12
828,12
839,12
850,12
863,12
874,12
884,12
58,13
72,13
80,13
92,13
100,13
113,13
125,13
148,13
231,13
308,13
315,13
344,13
411,13
690,13
717,13
1015,13
1023,13
1031,13
1038,13
1047,13
1054,13
1063,13
1069,13
1078,13
1087,13
1096,13
1105,13
1113,13
21,14
31,14
42,14
100,14
262,14
576,14
592,14
604,14
712,14
961,14
59,15
84,15
94,15
107,15
159,15
309,15
404,15
1011,15
1021,15
1029,15
1037,15
1045,15
1052,15
1061,15
1068,15
1075,15
1083,15
1092,15
1099,15
1107,15
198,16
258,16
272,16
281,16
431,16
469,16
478,16
494,16
563,16
580,16
596,16
612,16
724,16
743,16
926,16
975,16
253,17
271,17
473,17
589,17
597,17
604,17
613,17
815,17
38,18
48,18
57,18
76,18
86,18
96,18
108,18
124,18
133,18
156,18
173,18
299,18
312,18
342,18
376,18
384,18
396,18
441,18
456,18
534,18
662,18
780,18
795,18
1004,18
91,19
99,19
114,19
150,19
256,19
366,19
376,19
386,19
856,19
874,19
248,20
336,20
365,20
467,20
581,20
589,20
596,20
605,20
807,20
50,21
61,21
70,21
85,21
94,21
104,21
117,21
169,21
294,21
305,21
314,21
323,21
402,21
411,21
527,21
644,21
653,21
776,21
1013,21
1021,21
1030,21
1039,21
1046,21
1055,21
1062,21
1071,21
1078,21
1086,21
1093,21
1102,21
1111,21
32,22
42,22
62,22
82,22
90,22
100,22
117,22
149,22
159,22
171,22
310,22
318,22
329,22
394,22
403,22
413,22
484,22
495,22
501,22
509,22
636,22
706,22
754,22
826,22
948,22
955,22
969,22
100,23
113,23
411,23
442,23
713,23
848,23
1020,23
1033,23
1041,23
1054,23
1065,23
1074,23
1084,23
1095,23
1107,23
