timestep,index
121,0
202,0
212,0
222,0
230,0
242,0
326,0
340,0
349,0
440,0
451,0
555,0
562,0
568,0
575,0
587,0
679,0
688,0
706,0
796,0
805,0
813,0
819,0
969,0
977,0
682,1
691,1
731,1
739,1
748,1
816,1
826,1
883,1
227,2
256,2
269,2
445,2
458,2
474,2
483,2
586,2
597,2
607,2
685,2
736,2
748,2
823,2
941,2
28,3
37,3
46,3
52,3
60,3
69,3
81,3
89,3
96,3
104,3
113,3
129,3
137,3
153,3
169,3
181,3
190,3
200,3
295,3
304,3
310,3
319,3
384,3
392,3
404,3
413,3
422,3
523,3
531,3
538,3
648,3
657,3
769,3
776,3
783,3
792,3
980,3
989,3
998,3
1042,3
1051,3
1058,3
1067,3
1073,3
1082,3
1091,3
134,4
221,4
243,4
252,4
264,4
458,4
478,4
527,4
593,4
680,4
812,4
134,5
210,5
236,5
250,5
262,5
335,5
346,5
371,5
451,5
458,5
467,5
565,5
574,5
583,5
590,5
597,5
823,5
920,5
934,5
264,6
599,6
607,6
621,6
739,6
759,6
880,6
242,7
250,7
263,7
449,7
458,7
464,7
477,7
514,7
571,7
580,7
589,7
596,7
711,7
925,7
934,7
31,8
39,8
48,8
57,8
63,8
71,8
79,8
87,8
97,8
106,8
114,8
122,8
132,8
147,8
156,8
168,8
298,8
307,8
313,8
319,8
329,8
341,8
349,8
387,8
395,8
401,8
410,8
772,8
780,8
127,9
135,9
217,9
229,9
243,9
255,9
263,9
333,9
339,9
353,9
364,9
379,9
445,9
453,9
462,9
473,9
509,9
520,9
533,9
567,9
576,9
583,9
590,9
597,9
712,9
726,9
920,9
927,9
130,10
235,10
248,10
258,10
339,10
448,10
455,10
465,10
471,10
516,10
523,10
570,10
579,10
587,10
594,10
601,10
710,10
918,10
925,10
36,11
125,11
197,11
210,11
219,11
226,11
247,11
326,11
336,11
345,11
358,11
440,11
451,11
462,11
483,11
556,11
564,11
571,11
580,11
588,11
693,11
704,11
711,11
936,11
957,11
15,12
36,12
45,12
67,12
77,12
87,12
97,12
106,12
113,12
121,12
129,12
137,12
147,12
161,12
318,12
328,12
354,12
364,12
374,12
400,12
421,12
432,12
447,12
456,12
580,12
590,12
604,12
919,12
929,12
416,13
454,13
569,13
615,13
689,13
737,13
744,13
753,13
821,13
828,13
864,13
874,13
882,13
892,13
974,13
1111,13
111,14
273,14
293,14
407,14
415,14
443,14
494,14
564,14
616,14
681,14
734,14
746,14
754,14
821,14
849,14
874,14
967,14
130,15
202,15
232,15
246,15
259,15
336,15
384,15
445,15
454,15
463,15
474,15
512,15
523,15
585,15
650,15
707,15
721,15
915,15
921,15
930,15
