timestep,Normal,Epileptic
0,0.5,0.5
1,0.5,0.5
2,0.5,0.5
3,0.5,0.5
4,0.5,0.5
5,0.5,0.5
6,0.5,0.5
7,0.5,0.5
8,0.5,0.5
9,0.5,0.5
10,0.5,0.5
11,0.5,0.5
12,0.5,0.5
13,0.5,0.5
14,0.5,0.5
15,0.48146072,0.51853925
16,0.4823643,0.5176357
17,0.48322386,0.5167761
18,0.48404166,0.51595837
19,0.4848196,0.5151804
20,0.48555964,0.51444036
21,0.47616532,0.5238347
22,0.4773263,0.52267367
23,0.4784309,0.5215691
24,0.47948182,0.5205182
25,0.48048165,0.5195184
26,0.48143283,0.51856714
27,0.4823377,0.5176622
28,0.5073703,0.4926297
29,0.5070108,0.49298915
30,0.5066689,0.49333113
31,0.51614785,0.48385215
32,0.50893295,0.49106705
33,0.5084973,0.4915027
34,0.50808287,0.49191713
35,0.5076887,0.4923114
36,0.4904148,0.5095852
37,0.51505524,0.4849448
38,0.53024733,0.4697527
39,0.5485759,0.45142418
40,0.54622024,0.4537798
41,0.5439776,0.45602244
42,0.52537435,0.47462562
43,0.5241386,0.47586143
44,0.52296287,0.47703716
45,0.50331026,0.49668968
46,0.5273002,0.47269973
47,0.5449266,0.45507342
48,0.5593968,0.4406032
49,0.5565248,0.4434751
50,0.62103176,0.3789682
51,0.61534506,0.38465497
52,0.632657,0.36734298
53,0.6557259,0.3442741
54,0.6524454,0.3475546
55,0.6454468,0.3545532
56,0.63873124,0.3612688
57,0.6477984,0.35220158
58,0.66641116,0.3335888
59,0.66409314,0.33590686
60,0.6781003,0.32189965
61,0.7432373,0.2567627
62,0.7281568,0.27184317
63,0.73437214,0.26562792
64,0.724584,0.27541605
65,0.71506864,0.28493142
66,0.7315375,0.2684625
67,0.7222325,0.27776742
68,0.71278554,0.28721446
69,0.7233876,0.27661246
70,0.7671648,0.23283516
71,0.8127922,0.1872078
72,0.8189104,0.18108961
73,0.8077375,0.19226244
74,0.7959623,0.20403776
75,0.79755163,0.20244844
76,0.80518067,0.19481933
77,0.78169745,0.2183026
78,0.7708936,0.22910644
79,0.77449465,0.22550534
80,0.7834739,0.21652614
81,0.7891832,0.21081676
82,0.7738,0.22619997
83,0.77662677,0.22337328
84,0.7700648,0.2299352
85,0.80653566,0.19346432
86,0.79341537,0.2065846
87,0.78338397,0.216616
88,0.79412663,0.20587339
89,0.8018304,0.19816953
90,0.7956034,0.20439664
91,0.8313551,0.16864496
92,0.83614117,0.16385879
93,0.824956,0.17504403
94,0.8551964,0.14480363
95,0.8441351,0.15586486
96,0.8624008,0.13759919
97,0.85212255,0.1478775
98,0.880428,0.119571954
99,0.8751476,0.1248524
100,0.88336307,0.116637014
101,0.8727958,0.12720422
102,0.86199546,0.1380045
103,0.85101736,0.1489827
104,0.88414174,0.11585826
105,0.87545186,0.12454809
106,0.86534643,0.13465348
107,0.8572973,0.14270273
108,0.8543825,0.14561749
109,0.8530298,0.14697023
110,0.84194654,0.15805343
111,0.8251431,0.17485686
112,0.8139531,0.18604687
113,0.83291906,0.16708088
114,0.85183775,0.14816217
115,0.84074336,0.15925664
116,0.8295741,0.17042585
117,0.8529118,0.14708826
118,0.8418274,0.1581726
119,0.8387401,0.16125989
120,0.8275629,0.17243715
121,0.78697574,0.21302426
122,0.78963673,0.21036325
123,0.7787187,0.22128128
124,0.7657492,0.2342508
125,0.78948694,0.21051309
126,0.7785709,0.22142912
127,0.7398869,0.26011318
128,0.74457145,0.25542852
129,0.738889,0.26111105
130,0.6836062,0.31639382
131,0.6754227,0.32457727
132,0.6949593,0.30504075
133,0.6837079,0.31629214
134,0.62075883,0.3792412
135,0.5788585,0.42114154
136,0.5750714,0.42492867
137,0.5769675,0.42303252
138,0.5394194,0.46058056
139,0.53750396,0.462496
140,0.53568095,0.46431905
141,0.5339459,0.46605402
142,0.53229487,0.46770522
143,0.5307236,0.4692764
144,0.62212926,0.37787077
145,0.62039006,0.37960997
146,0.6147312,0.3852689
147,0.61062753,0.38937253
148,0.63189363,0.36810637
149,0.6196976,0.3803024
150,0.625417,0.37458298
151,0.6195411,0.38045892
152,0.613919,0.38608092
153,0.63525665,0.36474332
