clip,p_raw,label
0,0.22528854,0
1,0.8284769,0
2,0.26346195,0
3,0.088168345,0
4,0.12579861,0
5,0.16374369,0
6,0.8181208,0
7,0.1684669,0
8,0.86094457,0
9,0.09863765,0
10,0.84699756,0
11,0.32455224,0
12,0.0763504,0
13,0.59979874,0
14,0.8461674,0
15,0.14431077,0
16,0.08381423,0
17,0.839226,0
18,0.13341475,0
19,0.08721335,0
20,0.88148415,0
21,0.09267387,0
22,0.30517173,0
23,0.08934235,0
24,0.078555666,0
25,0.12577182,0
26,0.9095185,0
27,0.88311976,0
28,0.10261153,0
29,0.7223796,0
30,0.25882375,0
31,0.1215803,0
32,0.09934765,0
33,0.8836011,0
34,0.49330077,0
35,0.13039055,0
36,0.13122128,0
37,0.081553675,0
38,0.7239964,0
39,0.0852009,0
40,0.089382656,0
41,0.17747907,0
42,0.4690722,0
43,0.23524548,0
44,0.47393405,0
45,0.10857418,0
46,0.08720485,0
47,0.14999613,0
48,0.7184968,0
49,0.13444082,0
50,0.11281194,0
51,0.100714,0
52,0.081500374,0
53,0.08399844,0
54,0.81778485,0
55,0.18360615,0
56,0.10807412,0
57,0.07100045,0
58,0.07484045,0
59,0.36207953,0
60,0.13279302,0
61,0.049887486,0
62,0.24937977,0
63,0.12249889,0
64,0.09334953,0
65,0.69773793,0
66,0.08518247,0
67,0.086801216,0
68,0.09372619,0
69,0.08142611,0
70,0.088194646,0
71,0.1122913,0
72,0.066687,0
73,0.40096223,0
74,0.08514618,0
75,0.12362279,0
76,0.095160924,0
77,0.058772035,0
78,0.10416532,0
79,0.87729913,0
80,0.11084436,0
81,0.06945688,0
82,0.8273641,0
83,0.4052973,0
84,0.53296894,0
85,0.07408172,0
86,0.5077624,0
87,0.095125146,0
88,0.09037958,0
89,0.09293533,0
90,0.33389696,0
91,0.30624297,0
92,0.06915095,0
93,0.08165211,0
94,0.17728238,0
95,0.11072202,0
96,0.09519156,0
97,0.6895717,0
98,0.79039633,0
99,0.8668655,0
100,0.085266925,0
101,0.13067348,0
102,0.8927668,0
103,0.14500307,0
104,0.8253189,0
105,0.10606807,0
106,0.8002417,0
107,0.073983856,0
108,0.5192528,0
109,0.84415543,0
110,0.481137,0
111,0.87213993,0
112,0.36201245,0
113,0.8317695,0
114,0.079222985,0
115,0.17895621,0
116,0.6017108,0
117,0.29308516,0
118,0.0637408,0
119,0.16138218,0
120,0.74352616,0
121,0.8032136,0
122,0.15482754,0
123,0.8462628,0
124,0.49205765,0
125,0.27555585,0
126,0.8361602,0
127,0.2885401,0
128,0.9078297,0
129,0.50243145,0
130,0.09773388,0
131,0.10290433,0
132,0.15457816,0
133,0.11014128,0
134,0.7366936,0
135,0.12562767,0
136,0.88311094,0
137,0.10735113,0
138,0.15348293,0
139,0.1071678,0
140,0.20065488,0
141,0.1340899,0
142,0.62771297,0
143,0.08872569,0
144,0.14223184,0
145,0.88183564,0
146,0.09015009,0
147,0.80451465,0
148,0.1414227,0
149,0.55503476,0
150,0.13952886,0
151,0.77226734,0
152,0.06449915,0
153,0.08844525,0
154,0.656393,0
155,0.8485631,0
156,0.7918752,0
157,0.19852954,0
158,0.096524335,0
159,0.7037502,0
160,0.2007428,0
161,0.30762547,0
162,0.09758771,0
163,0.31235316,0
164,0.69238347,0
165,0.2566828,0
166,0.72540194,0
167,0.25073078,0
168,0.42453045,0
169,0.20168199,0
170,0.1165531,0
171,0.18057302,0
172,0.924265,0
173,0.09832302,0
174,0.5318871,0
175,0.3648341,0
176,0.08123466,0
177,0.73566943,0
178,0.10369481,0
179,0.11626991,0
180,0.14873128,0
181,0.059982594,0
182,0.7131358,0
183,0.7769306,0
184,0.47177368,0
185,0.08105739,0
186,0.112061925,0
187,0.90023184,0
188,0.088492885,0
189,0.08376726,0
190,0.90033,0
191,0.9136331,0
192,0.83450055,0
193,0.8739499,0
194,0.1016012,0
195,0.7883161,0
196,0.08105746,0
197,0.0913985,0
198,0.0666673,0
199,0.11022899,0
200,0.08804443,0
201,0.5111341,0
202,0.114339344,0
203,0.08441393,0
204,0.052517906,0
205,0.2637033,0
206,0.13925743,0
207,0.8443307,0
208,0.36132872,0
209,0.16340025,0
210,0.091243096,0
211,0.5190757,0
212,0.1003473,0
213,0.07511235,0
214,0.765862,0
215,0.7668663,0
216,0.11244493,0
217,0.07794989,0
218,0.06915328,0
219,0.67348695,0
220,0.90411973,0
221,0.14210027,0
222,0.19886246,0
223,0.8536544,0
224,0.69434255,0
225,0.86634606,0
226,0.2035805,0
227,0.09649954,0
228,0.31890914,0
229,0.113208406,0
230,0.66644466,0
231,0.08957205,0
232,0.07731588,0
233,0.16790496,0
234,0.7663221,0
235,0.08867102,0
236,0.49492505,0
237,0.6247941,0
238,0.07469675,0
239,0.09715803,0
240,0.89783585,0
241,0.48555046,0
242,0.09204131,0
243,0.7129599,0
244,0.120361395,0
245,0.8496259,0
246,0.61910754,0
247,0.3970048,0
248,0.45376202,0
249,0.21938032,0
250,0.059528694,0
251,0.21407461,0
252,0.15365802,0
253,0.09606503,0
254,0.09025345,0
255,0.14184278,0
256,0.08646797,0
257,0.5202233,0
258,0.8979642,0
259,0.7512539,0
260,0.3455194,0
261,0.0754612,0
262,0.89471984,0
263,0.82053995,0
264,0.6047225,0
265,0.8223616,0
266,0.05518376,0
267,0.07617804,0
268,0.10949637,0
269,0.096804544,0
270,0.18632658,0
271,0.114233695,0
272,0.81935,0
273,0.06677443,0
274,0.075573266,0
275,0.083107226,0
276,0.90345496,0
277,0.15395361,0
278,0.17673783,0
279,0.077924706,0
280,0.23633213,0
281,0.10463143,0
282,0.8528019,0
283,0.3799814,0
284,0.24624312,0
285,0.79235303,0
286,0.079102755,0
287,0.088486426,0
288,0.11132964,0
289,0.15362076,0
290,0.17577666,0
291,0.8704351,0
292,0.14018962,0
293,0.15098712,0
294,0.60097194,0
295,0.09631782,0
296,0.24211593,0
297,0.34655535,0
298,0.092256464,0
299,0.7300479,0
300,0.9159522,0
301,0.8758683,0
302,0.8176043,0
303,0.18851908,0
304,0.4441103,0
305,0.5674785,0
306,0.8473318,0
307,0.35625142,0
308,0.24444334,0
309,0.09786485,0
310,0.5323033,0
311,0.13677366,0
312,0.15973535,0
313,0.35056812,0
314,0.09347331,0
315,0.5990785,0
316,0.63086534,0
317,0.054706123,0
318,0.84595054,0
319,0.86732197,0
320,0.40221086,0
321,0.8043781,0
322,0.3761951,0
323,0.5795075,0
324,0.5599781,0
325,0.13681771,0
326,0.8504577,0
327,0.5196836,0
328,0.086191826,0
329,0.21720105,0
330,0.08945249,0
331,0.20293087,0
332,0.87807995,0
333,0.4202189,0
334,0.24884842,0
335,0.8567311,0
336,0.22631711,0
337,0.078298844,0
338,0.13134195,0
339,0.51735175,0
340,0.11919561,0
341,0.09345303,0
342,0.86904544,0
343,0.19421782,0
344,0.11093646,0
345,0.6473754,0
346,0.08962448,0
347,0.8761408,0
348,0.0684948,0
349,0.08358679,0
350,0.11799265,0
351,0.6873966,0
352,0.8221504,0
353,0.9339548,0
354,0.7082974,0
355,0.52361095,0
356,0.8216804,0
357,0.10025086,0
358,0.7929201,0
359,0.26218313,0
360,0.6222417,0
361,0.09217476,0
362,0.09742042,0
363,0.6755959,0
364,0.056610025,0
365,0.8110813,0
366,0.86089426,0
367,0.83612674,0
368,0.8015128,0
369,0.79568774,0
370,0.06608439,0
371,0.10432241,0
372,0.09432905,0
373,0.084409066,0
374,0.8629266,0
375,0.6676531,0
376,0.08289251,0
377,0.07641479,0
378,0.7563141,0
379,0.5268688,0
380,0.121945046,0
381,0.4225087,0
382,0.769812,0
383,0.43123835,0
384,0.8094252,0
385,0.110260285,0
386,0.88355005,0
387,0.1640593,0
388,0.46037173,0
389,0.16130072,0
390,0.08615003,0
391,0.8493306,0
392,0.086947136,0
393,0.084445626,0
394,0.15126933,0
395,0.09585844,0
396,0.7892515,0
397,0.32932457,0
398,0.19459996,0
399,0.8833318,0
400,0.10266072,0
401,0.36784244,0
402,0.114770085,0
403,0.59305036,0
404,0.08786887,0
405,0.7519384,0
406,0.86053705,0
407,0.072154514,0
408,0.56794953,0
409,0.12405346,0
410,0.7105823,0
411,0.80665386,0
412,0.115712516,0
413,0.10168785,0
414,0.88843775,0
415,0.8819278,0
416,0.8786573,0
417,0.09252426,0
418,0.07209015,0
419,0.08639779,0
420,0.78285563,0
421,0.11263065,0
422,0.075352065,0
423,0.15990064,0
424,0.107002206,0
425,0.08465835,0
426,0.8524518,0
427,0.31010553,0
428,0.10251111,0
