bin_center,count_FP,count_15level
-0.98342407,1,1
-0.9502723,0,0
-0.9171205,0,1
-0.8839687,1,0
-0.85081697,0,0
-0.8176651,0,0
-0.78451335,0,0
-0.7513616,0,0
-0.71820974,0,0
-0.685058,0,0
-0.6519062,0,0
-0.6187544,0,0
-0.58560264,1,0
-0.5524508,1,2
-0.51929903,3,2
-0.48614722,3,3
-0.45299542,5,7
-0.41984364,8,6
-0.38669187,5,6
-0.35354006,13,27
-0.32038826,28,14
-0.28723648,37,70
-0.25408468,71,0
-0.2209329,136,184
-0.1877811,143,171
-0.15462932,230,261
-0.12147752,303,194
-0.08832573,335,379
-0.05517394,311,341
-0.02202215,308,295
0.011129641,28023,28024
0.044281434,218,248
0.07743322,170,130
0.11058501,126,130
0.14373681,119,63
0.17688859,81,120
0.21004039,41,68
0.24319217,43,9
0.27634397,25,43
0.30949575,23,1
0.34264755,20,28
0.37579936,16,26
0.40895113,5,0
0.4421029,3,5
0.4752547,5,9
0.5084065,9,0
0.54155827,3,4
0.57471013,2,3
0.6078619,3,3
0.6410137,0,0
0.6741655,0,0
0.70731723,0,0
0.7404691,0,0
0.77362084,0,0
0.8067726,0,0
0.83992445,0,0
0.8730762,0,0
0.906228,0,0
0.9393798,1,1
0.97253156,1,1
