Vg_V,I_A,state,series
-3.5,1.4914540522431617e-09,erased,TCAD
-3.48000000000005,1.4892961804810586e-09,erased,TCAD
-3.46000000000011,1.488614149669854e-09,erased,TCAD
-3.44000000000016,1.4879264253965886e-09,erased,TCAD
-3.42000000000022,1.48723396264638e-09,erased,TCAD
-3.40000000000027,1.486538185934175e-09,erased,TCAD
-3.38000000000032,1.4858357995016737e-09,erased,TCAD
-3.36000000000038,1.4851281039697848e-09,erased,TCAD
-3.34000000000043,1.4844149462382363e-09,erased,TCAD
-3.32000000000048,1.4836961597317145e-09,erased,TCAD
-3.30000000000054,1.482971573790544e-09,erased,TCAD
-3.28000000000059,1.4822410190081813e-09,erased,TCAD
-3.26000000000065,1.4815043235408416e-09,erased,TCAD
-3.2400000000007,1.4807613341921409e-09,erased,TCAD
-3.22000000000075,1.4800119072239068e-09,erased,TCAD
-3.20000000000081,1.479255936311219e-09,erased,TCAD
-3.18000000000086,1.478493352116031e-09,erased,TCAD
-3.16000000000091,1.4777241400120431e-09,erased,TCAD
-3.14000000000097,1.4769483451406072e-09,erased,TCAD
-3.12000000000102,1.4761660669467874e-09,erased,TCAD
-3.10000000000108,1.475377444970523e-09,erased,TCAD
-3.08000000000113,1.4745826245765972e-09,erased,TCAD
-3.06000000000118,1.473781724868813e-09,erased,TCAD
-3.04000000000124,1.4729748019453863e-09,erased,TCAD
-3.02000000000129,1.4721618319325794e-09,erased,TCAD
-3.00000000000134,1.4713427119870697e-09,erased,TCAD
-2.9800000000014,1.4705172745603158e-09,erased,TCAD
-2.96000000000145,1.46968532144625e-09,erased,TCAD
-2.94000000000151,1.4688466125657155e-09,erased,TCAD
-2.92000000000156,1.468000922659052e-09,erased,TCAD
-2.90000000000161,1.4671480377011679e-09,erased,TCAD
-2.88000000000167,1.4662877863633213e-09,erased,TCAD
-2.86000000000172,1.4654199854064066e-09,erased,TCAD
-2.84000000000177,1.4645444882485986e-09,erased,TCAD
-2.82000000000183,1.463661122287021e-09,erased,TCAD
-2.80000000000188,1.462769751474152e-09,erased,TCAD
-2.78000000000194,1.4618702029810548e-09,erased,TCAD
-2.76000000000199,1.4609623517092668e-09,erased,TCAD
-2.74000000000204,1.4600460408364215e-09,erased,TCAD
-2.7200000000021,1.4591211831497612e-09,erased,TCAD
-2.70000000000215,1.4581877192090324e-09,erased,TCAD
-2.68000000000221,1.4572425676067408e-09,erased,TCAD
-2.66000000000226,1.4562869921869081e-09,erased,TCAD
-2.64000000000231,1.4553221814305269e-09,erased,TCAD
-2.62000000000237,1.4543477809007253e-09,erased,TCAD
-2.60000000000242,1.4533635492669198e-09,erased,TCAD
-2.58000000000247,1.4523691828750007e-09,erased,TCAD
-2.56000000000253,1.451364457421495e-09,erased,TCAD
-2.54000000000258,1.4503490572214033e-09,erased,TCAD
-2.52000000000264,1.4493227501139319e-09,erased,TCAD
-2.50000000000269,1.4482852000486828e-09,erased,TCAD
-2.48000000000274,1.4472361613883326e-09,erased,TCAD
-2.4600000000028,1.4461752696391955e-09,erased,TCAD
-2.44000000000285,1.4451022663058086e-09,erased,TCAD
-2.4200000000029,1.4440167594760338e-09,erased,TCAD
-2.40000000000296,1.4429184845886056e-09,erased,TCAD
-2.38000000000301,1.4418070185326215e-09,erased,TCAD
-2.36000000000307,1.4406820949552962e-09,erased,TCAD
-2.34000000000312,1.4395432602197197e-09,erased,TCAD
-2.32000000000317,1.4383902508347844e-09,erased,TCAD
-2.30000000000323,1.4372225883643908e-09,erased,TCAD
-2.28000000000328,1.4360400135258342e-09,erased,TCAD
-2.26000000000333,1.4348420254684895e-09,erased,TCAD
-2.24000000000339,1.4336283748792571e-09,erased,TCAD
