branch,Vg_V,I_measured_A,I_tcad_A,residual_decades
erased,0.07253465473419052,1.5109021872908704e-09,5.773413384671096e-11,-1.417803695195765
erased,0.34364965790241975,4.6774902025980766e-08,6.956389127065641e-09,-0.8276290188956663
erased,0.6756801013833433,5.067315846315342e-07,6.473278276966543e-07,0.1063463023634732
erased,0.8828609467666269,1.5398839260128256e-06,1.7248525767367295e-06,0.04926399617068267
erased,1.1101191111870552,2.5568057219440167e-06,2.7158648152147615e-06,0.026210419166369014
erased,1.3990046775881595,3.290011637058094e-06,3.4798792936561177e-06,0.024366745773600762
erased,1.7087364816278319,5.459116888239848e-06,3.9606468251149235e-06,-0.13935627567791542
erased,1.9767758103903696,5.447495035899126e-06,4.239928483499093e-06,-0.10883831191914961
erased,2.450828367400701,4.484220844979461e-06,4.564727562715661e-06,0.007727869412162747
erased,2.7602184298397408,5.080041686667609e-06,4.707948187277539e-06,-0.033035601480608356
erased,3.131349808126332,5.065073421307017e-06,4.839023040044889e-06,-0.01982805518321662
erased,3.440682913631932,5.38445702804113e-06,4.925284375088649e-06,-0.038710604553398476
programmed,-0.9115,1.5811388300841896e-08,1.7774265057222177e-08,0.05082164792419874
programmed,-0.7175,9.18531436587775e-08,4.877131172038426e-07,0.7250704116872111
programmed,-0.5305,5.62465998972383e-07,1.4068937001645673e-06,0.3981650104350676
programmed,-0.333,2.5900000000000006e-06,2.2414701161939994e-06,-0.06276681095687131
programmed,0.028000000000000004,3.90249919923118e-06,3.3717526565366346e-06,-0.06348711427135889
programmed,0.575,4.550000000000001e-06,4.186426363732324e-06,-0.036167939977238106
programmed,0.884,4.539999999999999e-06,4.440255565735985e-06,-0.00964788553646656
programmed,1.317,4.82e-06,4.678213956407397e-06,-0.01296695801192449
