Vg_V,P_uC_cm2,E_MV_cm,E_over_Fc,branch
-4.0,-2.06647,-0.772935,-0.552097,forward
-3.975,-2.05889,-0.765725,-0.546947,forward
-3.95,-2.05119,-0.758542,-0.541816,forward
-3.925,-2.04338,-0.751386,-0.536704,forward
-3.9,-2.03544,-0.744258,-0.531613,forward
-3.875,-2.02738,-0.737157,-0.52654,forward
-3.85,-2.0192,-0.730083,-0.521488,forward
-3.825,-2.0109,-0.723038,-0.516456,forward
-3.8,-2.00247,-0.71602,-0.511443,forward
-3.775,-1.99392,-0.709031,-0.506451,forward
-3.75,-1.98525,-0.702071,-0.501479,forward
-3.725,-1.97645,-0.695139,-0.496528,forward
-3.7,-1.96752,-0.688235,-0.491597,forward
-3.675,-1.95847,-0.681361,-0.486686,forward
-3.65,-1.94929,-0.674516,-0.481797,forward
-3.625,-1.93998,-0.6677,-0.476928,forward
-3.6,-1.93055,-0.660913,-0.472081,forward
-3.575,-1.92098,-0.654156,-0.467254,forward
-3.55,-1.91129,-0.647429,-0.462449,forward
-3.525,-1.90146,-0.640731,-0.457665,forward
-3.5,-1.89151,-0.634063,-0.452902,forward
-3.475,-1.88142,-0.627426,-0.448161,forward
-3.45,-1.8712,-0.620818,-0.443442,forward
-3.425,-1.86085,-0.614241,-0.438743,forward
-3.4,-1.85037,-0.607694,-0.434067,forward
-3.375,-1.83976,-0.601177,-0.429412,forward
-3.35,-1.82901,-0.594691,-0.424779,forward
-3.325,-1.81813,-0.588236,-0.420168,forward
-3.3,-1.80712,-0.581811,-0.415579,forward
-3.275,-1.79598,-0.575417,-0.411012,forward
-3.25,-1.7847,-0.569053,-0.406467,forward
-3.225,-1.77329,-0.562721,-0.401943,forward
-3.2,-1.76174,-0.556419,-0.397442,forward
-3.175,-1.75006,-0.550148,-0.392963,forward
-3.15,-1.73824,-0.543909,-0.388506,forward
-3.125,-1.7263,-0.5377,-0.384072,forward
-3.1,-1.71421,-0.531523,-0.379659,forward
-3.075,-1.702,-0.525376,-0.375269,forward
-3.05,-1.68965,-0.519261,-0.370901,forward
-3.025,-1.67716,-0.513177,-0.366555,forward
-3.0,-1.66455,-0.507123,-0.362231,forward
-2.975,-1.65179,-0.501101,-0.35793,forward
-2.95,-1.63891,-0.495111,-0.35365,forward
-2.925,-1.62589,-0.489151,-0.349393,forward
-2.9,-1.61274,-0.483222,-0.345159,forward
-2.875,-1.59946,-0.477325,-0.340946,forward
-2.85,-1.58604,-0.471458,-0.336756,forward
-2.825,-1.57249,-0.465623,-0.332588,forward
-2.8,-1.55881,-0.459819,-0.328442,forward
-2.775,-1.545,-0.454046,-0.324318,forward
-2.75,-1.53105,-0.448303,-0.320217,forward
-2.725,-1.51698,-0.442592,-0.316137,forward
-2.7,-1.50278,-0.436911,-0.31208,forward
-2.675,-1.48844,-0.431262,-0.308044,forward
-2.65,-1.47398,-0.425643,-0.304031,forward
-2.625,-1.45938,-0.420055,-0.300039,forward
-2.6,-1.44466,-0.414497,-0.296069,forward
-2.575,-1.42981,-0.40897,-0.292122,forward
-2.55,-1.41483,-0.403474,-0.288196,forward
-2.525,-1.39973,-0.398008,-0.284292,forward
-2.5,-1.3845,-0.392573,-0.280409,forward
-2.475,-1.36915,-0.387168,-0.276548,forward
-2.45,-1.35367,-0.381793,-0.272709,forward
-2.425,-1.33806,-0.376449,-0.268892,forward
-2.4,-1.32233,-0.371135,-0.265096,forward
-2.375,-1.30649,-0.36585,-0.261322,forward
-2.35,-1.29051,-0.360596,-0.257569,forward
-2.325,-1.27442,-0.355372,-0.253837,forward
-2.3,-1.25821,-0.350177,-0.250127,forward
-2.275,-1.24188,-0.345012,-0.246437,forward
-2.25,-1.22543,-0.339877,-0.242769,forward
-2.225,-1.20886,-0.334771,-0.239122,forward
-2.2,-1.19218,-0.329695,-0.235497,forward
-2.175,-1.17538,-0.324648,-0.231892,forward
-2.15,-1.15846,-0.319631,-0.228308,forward
-2.125,-1.14143,-0.314642,-0.224744,forward
-2.1,-1.12429,-0.309683,-0.221202,forward
-2.075,-1.10704,-0.304752,-0.21768,forward
-2.05,-1.08968,-0.299851,-0.214179,forward
-2.025,-1.07221,-0.294978,-0.210699,forward
