pulse,V_pgm_V,energy_fJ,energy_aJ,cumulative_fJ
1,0.2,-5.44898948209793e-05,-0.0544898948209793,-5.44898948209793e-05
2,0.2,0.00015980251838463287,0.15980251838463286,0.00010531262356365356
3,0.2,0.0004547294246597346,0.4547294246597346,0.0005600420482233881
4,0.2,0.0007104500180116504,0.7104500180116504,0.0012704920662350385
5,0.2,0.0008981345677341566,0.8981345677341567,0.002168626633969195
6,0.2,0.0010187303969784898,1.0187303969784898,0.003187357030947685
7,0.2,0.0010822205288362821,1.082220528836282,0.0042695775597839675
8,0.2,0.001102189849647843,1.1021898496478428,0.005371767409431811
9,0.2,0.0010920124397233518,1.0920124397233517,0.006463779849155162
10,0.2,0.0010633146256305624,1.0633146256305623,0.007527094474785724
11,0.2,0.0010298316217235053,1.0298316217235053,0.00855692609650923
12,0.2,0.0009935338408358415,0.9935338408358415,0.009550459937345072
13,0.2,0.0009569964646408365,0.9569964646408365,0.010507456401985908
14,0.2,0.0009207791994741995,0.9207791994741995,0.011428235601460108
15,0.2,0.0008851112902218121,0.8851112902218121,0.01231334689168192
