level,median_uA_um,sigma_log10,range_log10,spacing_log10,separable_from_prev,band_lo_uA_um,band_hi_uA_um
1,0.006955288,0.239143,0.6242434,,False,0.0013331717970432304,0.0362864195524047
2,0.07737492,0.192731,0.491761,1.046285,True,0.020436532629110837,0.2929498048254226
3,0.8286386,0.1216336,0.3502981,1.029765,True,0.35765504865980335,1.9198440843570603
4,4.761326,0.054787,0.183268,0.7593628,True,3.2611210362220167,6.951666321633766
5,12.04258,0.03759432,0.1642851,0.4029916,True,9.288307398911751,15.613580260424138
6,19.15951,0.03044644,0.1193742,0.2016648,True,15.525481494339205,23.64415065477645
7,24.86733,0.02523839,0.09027426,0.1132449,True,20.888823852265855,29.60358638199836
8,29.29644,0.02147141,0.07204296,0.07118569,True,25.2580965851586,33.980446380029974
9,32.75131,0.01873247,0.06300285,0.04841376,False,28.77605572066542,37.27572385626781
10,35.45705,0.01672676,0.05620655,0.03447393,False,31.588013852301348,39.799982378787846
11,37.59843,0.01527251,0.05133128,0.02546707,False,33.83390927682252,41.7818090986399
12,39.31932,0.01425385,0.04788699,0.01943635,False,35.63234859074148,43.38779189155403
13,40.66905,0.01359223,0.04553986,0.01465799,False,37.02434104290121,44.6725473381415
14,41.73025,0.01322737,0.04408581,0.01118701,False,38.0863081169171,45.722829309596484
15,42.55963,0.01311689,0.0433777,0.008546812,False,38.87292081634827,46.59598681288534
