pulse_n,Id_uA_per_um,G_normalized,fit,residual
1,0.0006384404,0.0,0.0002945341191405793,-0.0002945341191405793
2,0.0007056238,8.078611265667194e-06,0.0007878910591382992,-0.000779812447872632
3,0.0009690726,3.9757574277460335e-05,0.0016142845206297326,-0.0015745269463522723
4,0.001704614,0.00012820431916391473,0.0029985280527039947,-0.00287032373354008
5,0.00370809,0.0003691165651070175,0.005317193731194836,-0.004948077166087818
6,0.00913491,0.0010216761138757318,0.009201055496873625,-0.008179379382997894
7,0.02361752,0.0027631684513023044,0.015706686021719107,-0.012943517570416802
8,0.06112643,0.0072735073577717135,0.026603888620381728,-0.019330381262610014
9,0.1509697,0.018076903035370344,0.044857157695959896,-0.02678025466058955
10,0.3502692,0.04204209660910789,0.07543214507724878,-0.03339004846814089
11,0.7759136,0.09322461557968921,0.1266465247861812,-0.033421909206492004
12,1.63507,0.19653570986801153,0.21243274789271513,-0.015897038024703602
13,3.166956,0.3807406101457268,0.3561282513179081,0.024612358827818703
14,5.455601,0.6559436108886617,0.596824215738411,0.059119395150250664
15,8.316845,1.0,1.0,0.0
