cycle,cumulative_pulse,phase,G_uA_um
1,1.0,LTP,0.001713481
1,2.0,LTP,0.02548982
1,3.0,LTP,0.4614129
1,4.0,LTP,4.764186
1,5.0,LTP,14.98773
1,6.0,LTP,23.81949
1,7.0,LTP,30.05035
1,8.0,LTP,34.51067
1,9.0,LTP,37.81501
1,10.0,LTP,40.33388
1,11.0,LTP,42.29617
1,12.0,LTP,43.85023
1,13.0,LTP,45.09668
1,14.0,LTP,46.10631
1,15.0,LTP,46.93053
1,16.0,LTD,44.3372
1,17.0,LTD,36.54582
1,18.0,LTD,26.66276
1,19.0,LTD,15.99876
1,20.0,LTD,6.349634
1,21.0,LTD,1.694418
1,22.0,LTD,0.5003247
1,23.0,LTD,0.1900329
1,24.0,LTD,0.08371379
1,25.0,LTD,0.04022094
1,26.0,LTD,0.02098342
1,27.0,LTD,0.0120613
1,28.0,LTD,0.007659304
1,29.0,LTD,0.005343711
1,30.0,LTD,0.004028292
2,1.0,LTP,0.001843576
2,2.0,LTP,0.0257212
2,3.0,LTP,0.3737532
2,4.0,LTP,3.128427
2,5.0,LTP,10.26717
2,6.0,LTP,18.09498
2,7.0,LTP,24.41042
2,8.0,LTP,29.24942
2,9.0,LTP,32.98753
2,10.0,LTP,35.92459
2,11.0,LTP,38.26559
2,12.0,LTP,40.15104
2,13.0,LTP,41.68232
2,14.0,LTP,42.93439
2,15.0,LTP,43.9631
2,16.0,LTD,41.04049
2,17.0,LTD,33.08505
2,18.0,LTD,23.43609
2,19.0,LTD,13.53896
2,20.0,LTD,5.456167
2,21.0,LTD,1.694911
2,22.0,LTD,0.5891403
2,23.0,LTD,0.2514263
2,24.0,LTD,0.1240892
2,25.0,LTD,0.06786705
2,26.0,LTD,0.0403616
2,27.0,LTD,0.02598325
2,28.0,LTD,0.01801717
2,29.0,LTD,0.01337193
2,30.0,LTD,0.0105048
3,1.0,LTP,0.005376542
3,2.0,LTP,0.0619493
3,3.0,LTP,0.6985864
3,4.0,LTP,4.350671
3,5.0,LTP,11.61218
3,6.0,LTP,18.89341
3,7.0,LTP,24.75721
3,8.0,LTP,29.31049
3,9.0,LTP,32.86604
3,10.0,LTP,35.67819
3,11.0,LTP,37.92894
3,12.0,LTP,39.74662
3,13.0,LTP,41.22548
3,14.0,LTP,42.43516
3,15.0,LTP,43.42978
3,16.0,LTD,40.41824
3,17.0,LTD,32.40613
3,18.0,LTD,22.81601
3,19.0,LTD,13.08064
3,20.0,LTD,5.284072
3,21.0,LTD,1.684921
3,22.0,LTD,0.6019843
3,23.0,LTD,0.2619344
3,24.0,LTD,0.1314505
3,25.0,LTD,0.07317166
3,26.0,LTD,0.04434973
3,27.0,LTD,0.02909143
3,28.0,LTD,0.02043746
3,29.0,LTD,0.01533149
3,30.0,LTD,0.01214217
