pulse_n,G_250K_uA_um,G_300K_uA_um,G_350K_uA_um,ratio_250_over_300,ratio_350_over_300
1,6.588109e-05,0.0006384404,0.0003283544,0.10319066587891366,0.5143070519973361
2,7.872825e-05,0.0007056238,0.0003196682,0.11157255466723202,0.45302922038627386
3,0.0001314965,0.0009690726,0.0003134332,0.1356931358909539,0.32343624203181476
4,0.0003153372,0.001704614,0.0003196739,0.18499038491998776,0.18753447994677974
5,0.0009419072,0.00370809,0.0003608907,0.25401411508350663,0.09732522673397896
6,0.003074901,0.00913491,0.0005109914,0.3366098844980411,0.0559383070002879
7,0.009956474,0.02361752,0.001006434,0.4215715282552952,0.0426138730908241
8,0.02989417,0.06112643,0.002525813,0.4890547345886223,0.04132112737485241
9,0.08256549,0.1509697,0.006773728,0.5469010669028288,0.04486812916764092
10,0.2204362,0.3502692,0.01814011,0.6293336667911423,0.051789052534450646
11,0.5806081,0.7759136,0.04855842,0.7482896291545863,0.06258225142593196
12,1.439557,1.63507,0.1256082,0.8804253028922309,0.07682129817072052
13,3.13682,3.166956,0.3032371,0.9904842378612144,0.09575033565354239
14,5.800822,5.455601,0.6799678,1.0632782712665387,0.12463664406542928
15,9.183591,8.316845,1.413462,1.1042157212260177,0.16995170644637478
