V_pgm_V,pulse,abs_dPy_uC_cm2,pulses_to_threshold,pulses_available
1.5,1,0.0005031690558309765,7.0,9
1.5,2,0.0029534947719669913,7.0,9
1.5,3,0.007155346433743992,7.0,9
1.5,4,0.013314064541958992,7.0,9
1.5,5,0.023892242670817965,7.0,9
1.5,6,0.038814690959297016,7.0,9
1.5,7,0.057237432481098,7.0,9
1.5,8,0.07839347157222798,7.0,9
1.5,9,0.10159886229507298,7.0,9
2.0,1,0.0007063382266520035,6.0,9
2.0,2,0.004117100410417018,6.0,9
2.0,3,0.011016296021659988,6.0,9
2.0,4,0.02582651334074998,6.0,9
2.0,5,0.04825195562789697,6.0,9
2.0,6,0.07699923370163198,6.0,9
2.0,7,0.11081789781595,6.0,9
2.0,8,0.148540361881612,6.0,9
2.0,9,0.189106140290894,6.0,9
2.5,1,0.0009165515796080714,5.0,9
2.5,2,0.0056255919343320415,5.0,9
2.5,3,0.018808430643238006,5.0,9
2.5,4,0.043977344086113035,5.0,9
2.5,5,0.07953797774414606,5.0,9
2.5,6,0.12377659924362605,5.0,9
2.5,7,0.17497043710412505,5.0,9
2.5,8,0.23146888384290903,5.0,9
2.5,9,0.2917472205706487,5.0,9
3.0,1,0.0011334275929830162,4.0,9
3.0,2,0.008018788966606016,4.0,9
3.0,3,0.028996970073278006,4.0,9
3.0,4,0.06548778394066201,4.0,9
3.0,5,0.11559814463703103,4.0,9
3.0,6,0.1771506517545,4.0,9
3.0,7,0.24786902832588792,4.0,9
3.0,8,0.3255199818545275,4.0,9
3.0,9,0.408011901829227,4.0,9
3.5,1,0.0013568605282880397,4.0,9
3.5,2,0.010995562820297011,4.0,9
3.5,3,0.04034812975747504,4.0,9
3.5,4,0.089207992173898,4.0,9
3.5,5,0.155391398105933,4.0,9
3.5,6,0.2362005243558705,4.0,9
3.5,7,0.3287103650133749,4.0,9
3.5,8,0.429993931506802,4.0,9
3.5,9,0.5372795354775359,4.0,9
