t_us,G_uA_um,phase
2.5,1.864405,settling
5.0,3.504509,settling
7.5,4.269924,settling
10.0,4.605442,settling
12.5,4.747197,settling
15.0,4.797452,settling
17.5,4.80308,settling
20.0,4.789134,settling
22.5,4.768541,settling
25.0,4.747533,settling
27.5,4.728784,settling
30.0,4.713158,settling
32.5,4.700653,plateau
35.0,4.69091,plateau
37.5,4.683458,plateau
40.0,4.677832,plateau
42.5,4.673626,plateau
45.0,4.670506,plateau
47.5,4.668204,plateau
50.0,4.666513,plateau
52.5,4.665276,plateau
55.0,4.664373,plateau
57.5,4.663715,plateau
60.0,4.663236,plateau
62.5,4.662889,plateau
65.0,4.662637,plateau
67.5,4.662455,plateau
70.0,4.662323,plateau
72.5,4.662227,plateau
75.0,4.662158,plateau
77.5,4.662108,plateau
80.0,4.662072,plateau
82.5,4.662046,plateau
85.0,4.662027,plateau
87.5,4.662013,plateau
90.0,4.662003,plateau
92.5,4.661996,plateau
95.0,4.661991,plateau
97.5,4.661987,plateau
100.0,4.661985,plateau
