node,T_K,state,t_rel_s,G_uA_um,G_over_plateau,phase,plateau_uA_um,plateau_spread_pct
t12_ret,300,programmed,5e-09,14.84973,5.979818049150568,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5e-09,14.84973,5.979818049150568,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-08,14.90426,6.001776662419644,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-08,14.90426,6.001776662419644,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.5e-08,14.95667,6.022881575704665,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.5e-08,14.95667,6.022881575704665,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2e-08,15.0087,6.043833467294431,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2e-08,15.0087,6.043833467294431,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.5e-08,15.06051,6.064696767376419,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.5e-08,15.06051,6.064696767376419,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3e-08,15.11213,6.085483556610779,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3e-08,15.11213,6.085483556610779,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.5e-08,15.16357,6.106197861884229,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.5e-08,15.16357,6.106197861884229,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4e-08,15.21483,6.126839683196768,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4e-08,15.21483,6.126839683196768,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.5e-08,15.2659,6.14740499366168,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.5e-08,15.2659,6.14740499366168,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5e-08,15.31679,6.167897820165682,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5e-08,15.31679,6.167897820165682,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.5e-08,15.36749,6.188314135822057,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,5.5e-08,15.36749,6.188314135822057,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6e-08,15.41801,6.208657967517521,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6e-08,15.41801,6.208657967517521,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6.5e-08,15.46834,6.228925288365358,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,6.5e-08,15.46834,6.228925288365358,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7e-08,15.51848,6.249116098365567,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7e-08,15.51848,6.249116098365567,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.5e-08,15.56844,6.269234424404867,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,7.5e-08,15.56844,6.269234424404867,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8e-08,15.61821,6.289276239596537,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8e-08,15.61821,6.289276239596537,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.5e-08,15.66779,6.3092415439405825,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,8.5e-08,15.66779,6.3092415439405825,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9e-08,15.71718,6.329130337436999,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9e-08,15.71718,6.329130337436999,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.5e-08,15.76638,6.348942620085788,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,9.5e-08,15.76638,6.348942620085788,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-07,15.81539,6.3686783918869505,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-07,15.81539,6.3686783918869505,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-07,15.81539,6.3686783918869505,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1e-07,15.81539,6.3686783918869505,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.45e-07,16.24702,6.542490903262905,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.45e-07,16.24702,6.542490903262905,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.9e-07,16.66103,6.709208040243095,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,1.9e-07,16.66103,6.709208040243095,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.35e-07,17.05673,6.86855194764403,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.35e-07,17.05673,6.86855194764403,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.8e-07,17.43643,7.0214528362973905,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,2.8e-07,17.43643,7.0214528362973905,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.25e-07,17.80014,7.167914733089894,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.25e-07,17.80014,7.167914733089894,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.7e-07,18.14792,7.307961799341845,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,3.7e-07,18.14792,7.307961799341845,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.15e-07,18.47988,7.441638330807133,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.15e-07,18.47988,7.441638330807133,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.6e-07,18.79619,7.569012784559949,settling,2.483308,0.6215499648050137
t12_ret,300,programmed,4.6e-07,18.79619,7.569012784559949,settling,2.483308,0.6215499648050137
