equivalent_reads,G_uA_um,phase
0.05,16.02743,settling
0.1,16.07594,settling
0.15,16.12426,settling
0.2,16.17239,settling
0.25,16.22032,settling
0.3,16.26806,settling
0.35,16.3156,settling
0.4,16.36296,settling
0.45,16.41011,settling
0.5,16.45707,settling
0.55,16.50384,settling
0.6,16.55041,settling
0.65,16.59678,settling
0.7,16.64296,settling
0.75,16.68894,settling
0.8,16.73473,settling
0.85,16.78032,settling
0.9,16.82571,settling
0.95,16.87091,settling
1.0,16.91591,settling
1.0,16.91591,settling
1.45,17.31115,settling
1.9,17.68839,settling
2.35,18.04715,settling
2.8,18.38997,settling
3.25,18.71698,settling
3.7,19.02838,settling
4.15,19.32437,settling
4.6,19.60521,settling
5.05,19.87117,settling
5.5,20.12256,settling
5.95,20.35969,settling
6.4,20.58289,settling
6.85,20.79251,settling
7.3,20.9889,settling
7.75,21.17242,settling
8.2,21.34343,settling
8.65,21.5023,settling
9.1,21.64939,settling
9.55,21.78507,settling
10.0,21.9097,settling
10.0,21.9097,settling
14.5,22.56178,settling
19.0,22.38685,settling
23.5,21.70275,settling
28.0,20.7837,settling
32.5,19.74106,settling
37.0,18.65125,settling
41.5,17.56368,settling
46.0,16.50557,settling
50.5,15.49076,settling
55.0,14.52388,settling
59.5,13.60795,settling
64.0,12.74477,settling
68.5,11.93516,settling
73.0,11.17907,settling
77.5,10.47571,settling
82.0,9.823713,settling
86.5,9.221191,settling
91.0,8.665891,settling
95.5,8.155289,settling
100.0,7.686685,settling
100.0,7.686685,settling
145.0,4.764204,settling
190.0,3.568674,settling
235.0,3.030111,settling
280.0,2.759673,settling
325.0,2.618333,settling
370.0,2.542665,settling
415.0,2.501585,settling
460.0,2.479105,settling
505.0,2.466747,plateau
550.0,2.459936,plateau
595.0,2.456176,plateau
640.0,2.454099,plateau
685.0,2.452951,plateau
730.0,2.452316,plateau
775.0,2.451964,plateau
820.0,2.45177,plateau
865.0,2.451662,plateau
910.0,2.451603,plateau
955.0,2.45157,plateau
1000.0,2.451551,plateau
1000.0,2.451551,plateau
1450.0,2.451529,plateau
1900.0,2.451529,plateau
2350.0,2.451529,plateau
2800.0,2.451529,plateau
3250.0,2.451529,plateau
3700.0,2.451529,plateau
4150.0,2.451529,plateau
4600.0,2.451529,plateau
5050.0,2.451529,plateau
5500.0,2.451529,plateau
5950.0,2.451529,plateau
6400.0,2.451529,plateau
6850.0,2.451529,plateau
7300.0,2.451529,plateau
7750.0,2.451529,plateau
8200.0,2.451529,plateau
8650.0,2.451529,plateau
9100.0,2.451529,plateau
9550.0,2.451529,plateau
10000.0,2.451529,plateau
10000.0,2.451529,plateau
14500.0,2.451529,plateau
19000.0,2.451529,plateau
23500.0,2.451529,plateau
28000.0,2.451529,plateau
32500.0,2.451529,plateau
37000.0,2.451529,plateau
41500.0,2.451529,plateau
46000.0,2.451529,plateau
50500.0,2.451529,plateau
55000.0,2.451529,plateau
59500.0,2.451529,plateau
64000.0,2.451529,plateau
68500.0,2.451529,plateau
73000.0,2.451529,plateau
77500.0,2.451529,plateau
82000.0,2.451529,plateau
86500.0,2.451529,plateau
91000.0,2.451529,plateau
95500.0,2.451529,plateau
100000.0,2.451529,plateau
100000.0,2.451529,plateau
145000.0,2.451529,plateau
190000.0,2.451529,plateau
235000.0,2.451529,plateau
280000.0,2.451529,plateau
325000.0,2.451529,plateau
370000.0,2.451529,plateau
415000.0,2.451529,plateau
460000.0,2.451529,plateau
505000.0,2.451529,plateau
550000.0,2.451529,plateau
595000.0,2.451529,plateau
640000.0,2.451529,plateau
685000.0,2.451529,plateau
730000.0,2.451529,plateau
775000.0,2.451529,plateau
820000.0,2.451529,plateau
865000.0,2.451529,plateau
910000.0,2.451529,plateau
955000.0,2.451529,plateau
1000000.0,2.451529,plateau
