n_levels,draw,level_indices,accuracy,macro_f1
4,0,0|9|11|14,0.44047619047619047,0.2902275472982935
4,1,0|6|7|14,0.5625,0.28572275282801596
4,2,0|4|11|14,0.2976190476190476,0.1414236479321315
4,3,0|2|10|14,0.5059523809523809,0.480801508122557
5,0,0|7|8|10|14,0.40476190476190477,0.3878201927334751
5,1,0|6|7|10|14,0.49404761904761907,0.45951749670104103
5,2,0|2|4|10|14,0.49107142857142855,0.4504830850072421
5,3,0|2|3|9|14,0.3392857142857143,0.22867132867132867
6,0,0|4|7|8|9|14,0.2261904761904762,0.1443872817744792
6,1,0|5|6|10|13|14,0.7767857142857143,0.6839183864095333
6,2,0|2|3|4|9|14,0.3333333333333333,0.2229489932978878
6,3,0|1|3|4|9|14,0.3333333333333333,0.2229489932978878
8,0,0|1|3|4|6|7|10|14,0.49107142857142855,0.44757347873817777
8,1,0|1|2|4|5|8|11|14,0.37797619047619047,0.2100007452120128
8,2,0|2|3|4|5|7|11|14,0.33630952380952384,0.1855287569573284
8,3,0|1|2|3|7|11|12|14,0.46130952380952384,0.41408533391670266
10,0,0|1|3|4|5|6|8|12|13|14,0.7886904761904762,0.688584397365583
10,1,0|1|2|3|4|7|9|10|13|14,0.8095238095238095,0.7272832185854069
10,2,0|1|2|3|5|6|9|12|13|14,0.8095238095238095,0.7382137529009503
10,3,0|1|2|3|5|8|9|10|11|14,0.7142857142857143,0.6457098278103474
12,0,0|1|2|3|4|5|6|10|11|12|13|14,0.8511904761904762,0.7775106837606838
12,1,0|1|2|3|5|7|9|10|11|12|13|14,0.8214285714285714,0.7229802914123867
12,2,0|1|2|3|4|5|8|9|11|12|13|14,0.8035714285714286,0.7022546303942332
12,3,0|1|2|4|7|8|9|10|11|12|13|14,0.8422619047619048,0.7612058664630175
