Gate Voltage,Drain Current
-0.06,7.35729543482416e-06
-0.18,4.93607210041999e-07
-0.42,8.00310908719289e-11
-0.57,2.11382318954388e-12
-0.87,1.88786654088327e-12
-1.17,3.26690883136073e-12
-1.32,3.97818479030899e-12
-1.62,6.90271357518966e-12
-1.92,9.53864102886254e-12
-2.22,1.19159891267349e-11
-2.52,1.38248396907494e-11
-2.82,1.58312819476068e-11
-3.12,1.76204765952974e-11
-3.42,1.97315387731246e-11
-3.72,2.10889990215876e-11
-4.02,2.23168705015639e-11
-4.32,2.27313157508682e-11
-4.62,2.35369511763778e-11
-4.92,2.39645407139416e-11
-5.22,2.47391767172432e-11
-5.52,2.50262979755675e-11
-5.82,2.53959634321018e-11
-6.0,2.56360666758607e-11
-5.88,2.5515493266697e-11
-5.64,2.52658699079786e-11
-5.16,2.48972258072777e-11
-4.56,2.38881042906921e-11
-3.96,2.27900034375573e-11
-3.36,2.1320928296455e-11
-2.76,1.85690620533811e-11
-2.16,1.50084173784481e-11
-1.56,1.09048554265444e-11
-1.48499999999999,1.02869328381735e-11
-1.335,9.14242740283923e-12
-1.035,6.67816849728085e-12
-0.734999999999998,3.81953476082664e-12
-0.134999999999997,6.73929654277074e-12
0.465000000000003,1.32595272726308e-05
0.765000000000002,8.54860934775077e-05
1.365,0.000326296312560996
1.965,0.000469126991949075
2.265,0.000503284085998603
2.865,0.000543026340054529
3.465,0.000565265805331434
4.065,0.000579560364468369
4.665,0.000589618068521183
5.265,0.00059715228928237
5.86500000000001,0.000603060135011015
6.0,0.000604232220837716
5.88,0.000603426301391829
5.64,0.000601724182197716
5.16,0.000597897286058448
4.56,0.000592079398736233
3.96000000000001,0.00058459802734616
3.36000000000001,0.000574512106573957
2.76000000000001,0.000560013831829352
2.16000000000001,0.000537153409668476
1.56000000000001,0.000495582337589569
0.960000000000017,0.000401351224902088
0.360000000000019,0.00018160554021222
-0.239999999999979,7.34794772228405e-06
-0.839999999999977,4.00004474183109e-12
-0.914999999999978,2.71542055515486e-12
-1.06499999999998,2.68366913807018e-12
-1.36499999999998,3.73524967932876e-12
-1.96499999999998,9.30157073057144e-12
-2.56499999999997,1.37676559131494e-11
-3.16499999999997,1.77328648511955e-11
-3.46499999999997,1.99529893393087e-11
-4.06499999999997,2.24758373442181e-11
-4.66499999999997,2.36896231570024e-11
-4.96499999999997,2.41938877757071e-11
-5.56499999999996,2.50839153558946e-11
-6.0,2.56311318801981e-11
