Leg,Vg,Id,Pol
Fwd,-5.8800,2.5515e-11,2.8732e-06
Fwd,-5.6400,2.5266e-11,2.8393e-06
Fwd,-5.1600,2.4897e-11,2.7545e-06
Fwd,-4.5600,2.3888e-11,2.6191e-06
Fwd,-3.9600,2.2790e-11,2.4442e-06
Fwd,-3.3600,2.1321e-11,2.2226e-06
Fwd,-2.7600,1.8569e-11,1.9564e-06
Fwd,-2.1600,1.5008e-11,1.6545e-06
Fwd,-1.5600,1.0905e-11,1.3132e-06
Fwd,-1.4850,1.0287e-11,1.2726e-06
Fwd,-1.3350,9.1424e-12,1.1822e-06
Fwd,-1.0350,6.6782e-12,1.0039e-06
Fwd,-0.7350,3.8195e-12,8.9745e-07
Fwd,-0.1350,6.7393e-12,6.7780e-07
Fwd,0.4650,1.3260e-05,5.5507e-07
Fwd,0.7650,8.5486e-05,4.3807e-07
Fwd,1.3650,3.2630e-04,1.4685e-07
Fwd,1.9650,4.6913e-04,-2.8869e-07
Fwd,2.2650,5.0328e-04,-5.4061e-07
Fwd,2.8650,5.4303e-04,-1.0764e-06
Fwd,3.4650,5.6527e-04,-1.6429e-06
Fwd,4.0650,5.7956e-04,-2.2337e-06
Fwd,4.6650,5.8962e-04,-2.8446e-06
Fwd,5.2650,5.9715e-04,-3.4724e-06
Fwd,5.8650,6.0306e-04,-4.1143e-06
Fwd,6.0000,6.0423e-04,-4.2604e-06
Rev,5.8800,6.0343e-04,-4.2370e-06
Rev,5.6400,6.0172e-04,-4.1862e-06
Rev,5.1600,5.9790e-04,-4.0666e-06
Rev,4.5600,5.9208e-04,-3.8803e-06
Rev,3.9600,5.8460e-04,-3.6499e-06
Rev,3.3600,5.7451e-04,-3.3743e-06
Rev,2.7600,5.6001e-04,-3.0550e-06
Rev,2.1600,5.3715e-04,-2.6958e-06
Rev,1.5600,4.9558e-04,-2.3046e-06
Rev,0.9600,4.0135e-04,-1.9040e-06
Rev,0.3600,1.8161e-04,-1.5852e-06
Rev,-0.2400,7.3479e-06,-1.3385e-06
Rev,-0.8400,4.0000e-12,-1.2001e-06
Rev,-0.9150,2.7154e-12,-1.1603e-06
Rev,-1.0650,2.6837e-12,-1.0641e-06
Rev,-1.3650,3.7352e-12,-9.7919e-07
Rev,-1.9650,9.3016e-12,-6.5537e-07
Rev,-2.5650,1.3768e-11,-1.7245e-07
Rev,-3.1650,1.7733e-11,3.1981e-07
Rev,-3.4650,1.9953e-11,5.6431e-07
Rev,-4.0650,2.2476e-11,1.1018e-06
Rev,-4.6650,2.3690e-11,1.6526e-06
Rev,-4.9650,2.4194e-11,1.9339e-06
Rev,-5.5650,2.5084e-11,2.4957e-06
Rev,-6.0000,2.5631e-11,2.8888e-06
