cycle,phase,pulse,segment,E_gate_J,E_drain_J,E_total_J,n_samples
1,fire,1,rise,2.800549e-16,7.581508e-16,1.038206e-15,30
1,fire,1,write,3.636830e-15,1.304797e-13,1.341165e-13,11
1,fire,1,fall,-2.814611e-16,7.712788e-16,4.898177e-16,30
1,fire,1,read,7.587431e-17,3.785034e-18,7.965934e-17,21
1,fire,2,rise,2.800617e-16,7.582878e-16,1.038350e-15,30
1,fire,2,write,3.636888e-15,1.304842e-13,1.341211e-13,11
1,fire,2,fall,-2.814654e-16,7.715006e-16,4.900352e-16,30
1,fire,2,read,7.587524e-17,3.785069e-18,7.966031e-17,21
1,fire,3,rise,2.800763e-16,7.585873e-16,1.038664e-15,30
1,fire,3,write,3.636952e-15,1.304928e-13,1.341298e-13,11
1,fire,3,fall,-2.814727e-16,7.718742e-16,4.904014e-16,30
1,fire,3,read,7.587841e-17,3.785207e-18,7.966362e-17,21
1,fire,4,rise,2.800976e-16,7.590267e-16,1.039124e-15,30
1,fire,4,write,3.637028e-15,1.305048e-13,1.341419e-13,11
1,fire,4,fall,-2.814827e-16,7.723923e-16,4.909097e-16,30
1,fire,4,read,7.588321e-17,3.785421e-18,7.966863e-17,21
1,fire,5,rise,2.801271e-16,7.596493e-16,1.039776e-15,30
1,fire,5,write,3.637134e-15,1.305218e-13,1.341589e-13,11
1,fire,5,fall,-2.814958e-16,7.731254e-16,4.916295e-16,30
1,fire,5,read,7.588956e-17,3.785704e-18,7.967527e-17,21
1,fire,6,rise,2.801661e-16,7.604884e-16,1.040655e-15,30
1,fire,6,write,3.637256e-15,1.305441e-13,1.341814e-13,11
1,fire,6,fall,-2.815120e-16,7.740705e-16,4.925585e-16,30
1,fire,6,read,7.589834e-17,3.786091e-18,7.968443e-17,21
1,fire,7,rise,2.802132e-16,7.615204e-16,1.041734e-15,30
1,fire,7,write,3.637384e-15,1.305711e-13,1.342085e-13,11
1,fire,7,fall,-2.815303e-16,7.751934e-16,4.936631e-16,30
1,fire,7,read,7.591011e-17,3.786612e-18,7.969672e-17,21
1,fire,8,rise,2.802665e-16,7.627082e-16,1.042975e-15,30
1,fire,8,write,3.637514e-15,1.306018e-13,1.342393e-13,11
1,fire,8,fall,-2.815502e-16,7.764573e-16,4.949071e-16,30
1,fire,8,read,7.592444e-17,3.787253e-18,7.971169e-17,21
1,fire,9,rise,2.803244e-16,7.640185e-16,1.044343e-15,30
1,fire,9,write,3.637644e-15,1.306354e-13,1.342730e-13,11
1,fire,9,fall,-2.815707e-16,7.778287e-16,4.962580e-16,30
1,fire,9,read,7.594089e-17,3.787992e-18,7.972888e-17,21
1,erase,0,rise,3.647158e-16,2.915499e-18,3.676313e-16,30
1,erase,0,hold,1.148943e-14,4.806394e-17,1.153750e-14,41
1,erase,0,fall,-1.596166e-15,4.181918e-19,-1.595748e-15,32
1,relax,0,hold,-1.981229e-14,2.663934e-16,-1.954590e-14,71
2,fire,1,rise,2.639676e-16,5.229915e-16,7.869592e-16,30
2,fire,1,write,3.608189e-15,1.222154e-13,1.258235e-13,11
2,fire,1,fall,-2.622469e-16,5.265788e-16,2.643319e-16,30
2,fire,1,read,7.391419e-17,3.690846e-18,7.760503e-17,21
2,fire,2,rise,2.541962e-16,5.162296e-16,7.704258e-16,30
2,fire,2,write,3.608250e-15,1.222220e-13,1.258303e-13,11
2,fire,2,fall,-2.622713e-16,5.267675e-16,2.644963e-16,30
2,fire,2,read,7.391390e-17,3.690831e-18,7.760473e-17,21
2,fire,3,rise,2.542367e-16,5.164790e-16,7.707157e-16,30
2,fire,3,write,3.608325e-15,1.222344e-13,1.258427e-13,11
2,fire,3,fall,-2.623119e-16,5.270821e-16,2.647702e-16,30
2,fire,3,read,7.391475e-17,3.690872e-18,7.760562e-17,21
2,fire,4,rise,2.542954e-16,5.168418e-16,7.711373e-16,30
2,fire,4,write,3.608416e-15,1.222515e-13,1.258600e-13,11
2,fire,4,fall,-2.623666e-16,5.275070e-16,2.651404e-16,30
2,fire,4,read,7.391574e-17,3.690921e-18,7.760666e-17,21
2,fire,5,rise,2.543745e-16,5.173335e-16,7.717080e-16,30
2,fire,5,write,3.608558e-15,1.222749e-13,1.258834e-13,11
2,fire,5,fall,-2.624428e-16,5.281122e-16,2.656694e-16,30
2,fire,5,read,7.391661e-17,3.690964e-18,7.760757e-17,21
2,fire,6,rise,2.544898e-16,5.180629e-16,7.725527e-16,30
2,fire,6,write,3.608744e-15,1.223084e-13,1.259172e-13,11
