v_node,cycle,E_fire_fJ,E_burst_read_fJ,E_erase_fJ,E_relax_fJ,E_total_fJ,ID_burst_read_A,burst_read_present,fire_complete
2.000,1,1201.108,0.080,10.301,-19.541,1191.948,-2.586263e-13,True,True
2.000,2,1124.416,0.078,10.231,-19.660,1115.064,-4.111646e-13,True,True
2.000,3,992.224,-0.000,2.673,-0.055,994.841,-3.066269e-13,True,True
2.000,4,830.754,-0.000,2.683,-0.056,833.381,-3.167851e-13,True,True
2.000,5,646.064,-0.000,2.694,-0.056,648.702,-3.194717e-13,True,True
2.000,6,464.966,0.078,2.719,-0.056,467.706,-3.218688e-13,True,True
2.000,7,282.880,-0.000,2.729,-0.056,285.552,-3.190196e-13,True,True
2.000,8,104.433,0.000,2.740,-0.057,107.116,nan,True,True
2.000,9,42.900,0.000,2.750,-0.057,45.593,nan,False,False
2.000,10,42.895,0.000,2.746,-0.057,45.585,nan,False,False
2.000,11,42.897,0.000,2.771,-0.057,45.611,nan,False,False
2.000,12,47.774,0.000,2.781,-0.057,50.498,nan,False,False
2.000,13,31.831,0.000,2.792,-0.057,34.566,nan,False,False
2.000,14,20.759,0.000,2.846,-0.057,23.547,nan,False,False
2.000,15,20.761,0.000,2.836,-0.058,23.539,nan,False,False
2.000,16,20.765,0.000,2.871,-0.058,23.579,nan,False,False
2.000,17,20.757,0.000,2.682,-0.058,23.381,nan,False,False
2.000,18,142.396,0.000,2.662,-0.057,145.001,nan,False,False
2.000,19,20.745,0.000,2.707,-0.057,23.395,nan,False,False
2.000,20,20.751,0.000,2.642,-0.058,23.335,nan,False,False
