file,pulse,segment,t_start,t_end,E_gate_J,E_drain_J,E_total_J,n_samples
p01_fall_n2_des.plt,1,fall,2.010000e-07,2.020000e-07,-2.512179e-15,1.332169e-15,-1.180010e-15,21
p01_read_n2_des.plt,1,read,2.020000e-07,3.020000e-07,-1.481678e-16,4.332887e-14,4.318071e-14,51
p01_rise_n2_des.plt,1,rise,1.000000e-07,1.010000e-07,2.632985e-15,1.290907e-15,3.923892e-15,21
p01_write_n2_des.plt,1,write,1.010000e-07,2.010000e-07,2.572413e-15,1.500136e-13,1.525860e-13,101
p02_fall_n2_des.plt,2,fall,4.030000e-07,4.040000e-07,-2.512218e-15,1.332678e-15,-1.179540e-15,21
p02_read_n2_des.plt,2,read,4.040000e-07,5.040000e-07,-1.483073e-16,4.387736e-14,4.372906e-14,51
p02_rise_n2_des.plt,2,rise,3.020000e-07,3.030000e-07,2.633019e-15,1.291168e-15,3.924187e-15,21
p02_write_n2_des.plt,2,write,3.030000e-07,4.030000e-07,2.573596e-15,1.500174e-13,1.525910e-13,101
p03_fall_n2_des.plt,3,fall,6.050000e-07,6.060000e-07,-2.512307e-15,1.333733e-15,-1.178574e-15,21
p03_read_n2_des.plt,3,read,6.060000e-07,7.060000e-07,-1.486255e-16,4.487512e-14,4.472649e-14,51
p03_rise_n2_des.plt,3,rise,5.040000e-07,5.050000e-07,2.633114e-15,1.291954e-15,3.925068e-15,21
p03_write_n2_des.plt,3,write,5.050000e-07,6.050000e-07,2.574907e-15,1.500267e-13,1.526016e-13,101
p04_fall_n2_des.plt,4,fall,8.070000e-07,8.080000e-07,-2.512442e-15,1.335289e-15,-1.177153e-15,21
p04_read_n2_des.plt,4,read,8.080000e-07,9.080000e-07,-1.490984e-16,4.627275e-14,4.612366e-14,51
p04_rise_n2_des.plt,4,rise,7.060000e-07,7.070000e-07,2.633266e-15,1.293266e-15,3.926532e-15,21
p04_write_n2_des.plt,4,write,7.070000e-07,8.070000e-07,2.576147e-15,1.500414e-13,1.526176e-13,101
p05_fall_n2_des.plt,5,fall,1.009000e-06,1.010000e-06,-2.512617e-15,1.337274e-15,-1.175342e-15,21
p05_read_n2_des.plt,5,read,1.010000e-06,1.110000e-06,-1.496904e-16,4.799858e-14,4.784889e-14,51
p05_rise_n2_des.plt,5,rise,9.080000e-07,9.090000e-07,2.633468e-15,1.295042e-15,3.928510e-15,21
p05_write_n2_des.plt,5,write,9.090000e-07,1.009000e-06,2.577267e-15,1.500610e-13,1.526382e-13,101
p06_fall_n2_des.plt,6,fall,1.211000e-06,1.212000e-06,-2.512822e-15,1.339600e-15,-1.173222e-15,21
p06_read_n2_des.plt,6,read,1.212000e-06,1.312000e-06,-1.503623e-16,4.997122e-14,4.982085e-14,51
p06_rise_n2_des.plt,6,rise,1.110000e-06,1.111000e-06,2.633711e-15,1.297200e-15,3.930911e-15,21
p06_write_n2_des.plt,6,write,1.111000e-06,1.211000e-06,2.578240e-15,1.500846e-13,1.526629e-13,101
p07_fall_n2_des.plt,7,fall,1.413000e-06,1.414000e-06,-2.513051e-15,1.342176e-15,-1.170875e-15,21
p07_read_n2_des.plt,7,read,1.414000e-06,1.514000e-06,-1.510778e-16,5.211001e-14,5.195894e-14,51
p07_rise_n2_des.plt,7,rise,1.312000e-06,1.313000e-06,2.633985e-15,1.299651e-15,3.933636e-15,21
p07_write_n2_des.plt,7,write,1.313000e-06,1.413000e-06,2.579052e-15,1.501116e-13,1.526907e-13,101
p08_rise_n2_des.plt,8,rise,1.514000e-06,1.515000e-06,2.634279e-15,1.302307e-15,3.936586e-15,21
