V_G_V,I_D_uA_per_um
-1.996999999999989894e+00,3.657705139079033690e-03
-1.993400000000000061e+00,3.674035284638799918e-03
-1.989079999999979975e+00,3.675608701305889143e-03
-1.983895999999979898e+00,3.677490893807377776e-03
-1.977675199999979982e+00,3.679743065993999838e-03
-1.970210239999989899e+00,3.682436383242566891e-03
-1.961252287999980082e+00,3.685655012880677782e-03
-1.950502745599959953e+00,3.689498198919689571e-03
-1.937603294719949965e+00,3.694082533477822256e-03
-1.922123953663930074e+00,3.699544374156433623e-03
-1.903548744396730052e+00,3.706042317770399941e-03
-1.881258493276060095e+00,3.713759651925978116e-03
-1.854510191931310059e+00,3.722906949566066621e-03
-1.822412230317600024e+00,3.733725385953589205e-03
-1.783894676381150068e+00,3.746490384211766458e-03
-1.737673611657410078e+00,3.761512623214466854e-03
-1.682208333988910010e+00,3.779133757495578474e-03
-1.622208333988929940e+00,3.798394023653622106e-03
-1.562208333988950093e+00,3.817808289089888972e-03
-1.502208333988980016e+00,3.836954720399155753e-03
-1.442208333988999946e+00,3.855955684650766956e-03
-1.382208333989020099e+00,3.874861915753366644e-03
-1.322208333989040030e+00,3.893755173192122148e-03
-1.262208333989059961e+00,3.912848616201244564e-03
-1.202208333989079891e+00,3.932396738290444733e-03
-1.142208333989100044e+00,3.952559182624578241e-03
-1.082208333989119975e+00,3.973393149013767014e-03
-1.022208333989149898e+00,3.994987497054322372e-03
-9.622083339891680520e-01,4.017520877088477486e-03
-9.022083339891889819e-01,4.041435811863666912e-03
-8.422083339892100229e-01,4.066865960046310915e-03
-7.822083339892319520e-01,4.092160615638044951e-03
-7.222083339892529930e-01,4.119065325996111061e-03
-6.622083339892740339e-01,4.151415255444633641e-03
-6.022083339892959630e-01,4.190015745777133684e-03
-5.422083339893170040e-01,4.225461853989622742e-03
-4.822083339893379894e-01,4.267488136964688560e-03
-4.222083339893599740e-01,4.310452058906334011e-03
-3.622083339893810150e-01,4.347957320512378307e-03
-3.022083339894020004e-01,4.304235247255656059e-03
-2.422083339894240128e-01,3.640154094357377426e-03
-1.822083339894449983e-01,1.997497022256955761e-04
-1.222083339894659976e-01,1.133462552653277666e-02
-6.220833398948769771e-02,3.083216697516622321e-02
-2.208333989509149789e-03,6.638552176767589796e-02
5.779166601046940160e-02,1.441716672123822263e-01
1.177916660104480068e-01,3.636405593935900793e-01
1.777916660104270075e-01,1.020667363524633275e+00
2.377916660104059943e-01,2.944961288970755930e+00
2.977916660103839819e-01,7.943154479534412005e+00
3.577916660103629964e-01,1.828648199044766898e+01
4.177916660103410118e-01,3.398400831998255711e+01
4.777916660103200264e-01,5.185234777499201186e+01
5.377916660102990409e-01,6.996167864980489526e+01
5.977916660102780000e-01,8.812089615535666098e+01
6.577916660102559598e-01,1.070684051548797839e+02
7.177916660102350299e-01,1.256877938185277799e+02
7.777916660102129898e-01,1.420574526912833448e+02
8.377916660101919488e-01,1.563162944551511089e+02
8.977916660101710189e-01,1.692061259285955543e+02
9.577916660101499780e-01,1.808475816350522507e+02
1.000000000000000000e+00,1.882364577246766544e+02
