V_G_V,I_D_uA_per_um
-1.996999999999989894e+00,3.946240669500366768e-03
-1.993399999999940109e+00,3.962075840398934269e-03
-1.989079999999930015e+00,3.962781621684400429e-03
-1.983895999999929938e+00,3.963628318922989002e-03
-1.977675199999930022e+00,3.964645597125311151e-03
-1.970210239999879986e+00,3.965868287674177879e-03
-1.961252287999879940e+00,3.967338654299845148e-03
-1.950502745599860033e+00,3.969108188394777914e-03
-1.937603294719850044e+00,3.971240036556322218e-03
-1.922123953663829932e+00,3.973812375790099737e-03
-1.903548744396680092e+00,3.976923370189355995e-03
-1.881258493276070087e+00,3.980698940388000505e-03
-1.854510191931310059e+00,3.985305798735244362e-03
-1.822412230317550064e+00,3.990975031863600204e-03
-1.783894676381049926e+00,3.998048114731955413e-03
-1.737673611657319928e+00,4.007071706471544530e-03
-1.682208333988820081e+00,4.018980307071433507e-03
-1.622208333988790052e+00,4.034396747160255529e-03
-1.562208333988760023e+00,4.053336552788289367e-03
-1.502208333988729994e+00,4.060645247735255800e-03
-1.442208333988699964e+00,3.903414454527311204e-03
-1.382208333988669935e+00,2.087045324169733203e-03
-1.322208333988639906e+00,1.547120536187077816e-02
-1.262208333988620090e+00,1.758867152845077775e-01
-1.202208333988590061e+00,1.437635820764288974e+00
-1.142208333988560032e+00,7.390504957906511407e+00
-1.082208333988530002e+00,2.000732463425544339e+01
-1.022208333988499973e+00,3.563452249693978047e+01
-9.622083339884740516e-01,5.164620328557043649e+01
-9.022083339884450215e-01,6.725730889979132598e+01
-8.422083339884169906e-01,8.235621828204799044e+01
-7.822083339883879605e-01,9.707556686245523281e+01
-7.222083339883600406e-01,1.116986342398333250e+02
-6.622083339883320097e-01,1.267385682238511180e+02
-6.022083339883029796e-01,1.427424675275599952e+02
-5.422083339882749486e-01,1.574497865058155526e+02
-4.822083339882459740e-01,1.701723537671644237e+02
-4.222083339882179986e-01,1.814242575288922126e+02
-3.622083339881890240e-01,1.918449963520122310e+02
-3.022083339881609931e-01,2.013623583025644166e+02
-2.422083339881319908e-01,2.099428929499277956e+02
-1.822083339881039876e-01,2.175141946172633141e+02
-1.222083339880749991e-01,2.244425599795022208e+02
-6.220833398804680170e-02,2.307877964486211226e+02
-2.208333988018340143e-03,2.366071641501322063e+02
5.779166601200989850e-02,2.419547156945000097e+02
1.177916660120379988e-01,2.468794081662700250e+02
1.777916660120670012e-01,2.514244257108922227e+02
2.377916660120950043e-01,2.556269559660666744e+02
2.977916660121239789e-01,2.595220364063188754e+02
3.577916660121520098e-01,2.631403420517889344e+02
4.177916660121809844e-01,2.665085316989111561e+02
4.777916660122090153e-01,2.696502311541166819e+02
5.377916660122380454e-01,2.725863366504144096e+02
5.977916660122659653e-01,2.753354209559755645e+02
6.577916660122949954e-01,2.779140242758788872e+02
7.177916660123230264e-01,2.803369168774322588e+02
7.777916660123519454e-01,2.826172968634355698e+02
8.377916660123799764e-01,2.847670005538088844e+02
8.977916660124090065e-01,2.867965112844833584e+02
9.577916660124370374e-01,2.887154640262644989e+02
1.000000000000000000e+00,2.900038655661733742e+02
