n_fires,cycle,E_fire_fJ,E_erase_fJ,E_relax_fJ,E_total_fJ,ID_last_read_A,baseline_ID_A,fire_ratio
5,1,678.713,10.305,-19.546,669.473,6.338270e-14,2.392048e-14,2.650
5,2,635.112,10.252,-19.676,625.687,9.936358e-14,2.392048e-14,4.154
5,3,639.813,10.252,-19.667,630.398,6.702646e-14,2.392048e-14,2.802
5,4,639.283,10.252,-19.669,629.866,6.697592e-14,2.392048e-14,2.800
5,5,639.331,10.252,-19.668,629.915,6.701239e-14,2.392048e-14,2.801
6,1,814.508,10.306,-19.546,805.268,8.333448e-14,2.392048e-14,3.484
6,2,762.100,10.250,-19.674,752.676,1.279970e-13,2.392048e-14,5.351
6,3,767.669,10.253,-19.668,758.254,7.454796e-14,2.392048e-14,3.116
6,4,767.144,10.253,-19.669,757.728,7.467288e-14,2.392048e-14,3.122
6,5,767.191,10.253,-19.669,757.775,7.465462e-14,2.392048e-14,3.121
7,1,950.331,10.307,-19.546,941.092,9.872147e-14,2.392048e-14,4.127
7,2,889.113,10.248,-19.672,879.690,1.509481e-13,2.392048e-14,6.310
7,3,895.598,10.267,-19.668,886.197,8.231619e-14,2.392048e-14,3.441
7,4,895.057,10.253,-19.668,885.642,8.300102e-14,2.392048e-14,3.470
7,5,895.103,10.253,-19.668,885.687,8.295356e-14,2.392048e-14,3.468
8,1,1086.188,10.301,-19.541,1076.948,1.094212e-13,2.392048e-14,4.574
8,2,1016.161,10.247,-19.670,1006.737,1.696757e-13,2.392048e-14,7.093
8,3,1023.454,10.253,-19.668,1014.040,9.244381e-14,2.392048e-14,3.865
8,4,1022.982,10.253,-19.668,1013.567,9.366690e-14,2.392048e-14,3.916
8,5,1023.019,10.267,-19.668,1013.617,9.364261e-14,2.392048e-14,3.915
9,1,1222.082,10.309,-19.546,1212.845,1.159278e-13,2.392048e-14,4.846
9,2,1143.254,10.246,-19.669,1133.831,1.855351e-13,2.392048e-14,7.756
9,3,1151.269,10.266,-19.667,1141.869,1.050437e-13,2.392048e-14,4.391
9,4,1150.901,10.266,-19.667,1141.500,1.065806e-13,2.392048e-14,4.456
9,5,1150.927,10.252,-19.667,1141.512,1.065686e-13,2.392048e-14,4.455
