cycle,mu_fire,sigma_fire,sigma_over_mu
1,4.7915,0.1882,0.0393
2,5.2198,0.2294,0.0440
3,3.0469,0.1898,0.0623
4,3.0649,0.1883,0.0614
5,3.0659,0.1884,0.0615
6,3.1088,0.1853,0.0596
7,3.0995,0.1874,0.0605
8,3.1033,0.1881,0.0606
9,3.1078,0.1855,0.0597
10,3.1060,0.1882,0.0606
11,3.1061,0.1856,0.0597
12,3.1066,0.1865,0.0600
13,3.1059,0.1876,0.0604
14,3.1063,0.1887,0.0607
15,3.1088,0.1872,0.0602
16,3.1079,0.1864,0.0600
17,3.1074,0.1876,0.0604
18,3.1070,0.1864,0.0600
19,3.1104,0.1883,0.0605
20,3.1071,0.1878,0.0605
