v_pgm_V,cycle,ID_baseline,ID_p1,ID_p2,ID_p3,ID_p4,ID_p5,ID_p6,ID_p7,ID_p8,ID_p9,ID_p9,ID_relax,fire_ratio
1.9500,1,2.657837e-07,5.113370e-08,1.381354e-07,2.976209e-07,4.534681e-07,6.432031e-07,8.498930e-07,1.015631e-06,1.131474e-06,1.202853e-06,1.202853e-06,3.930593e-07,4.5257
1.9500,2,2.657837e-07,1.887410e-07,3.549649e-07,4.956734e-07,6.754278e-07,1.034759e-06,1.338138e-06,1.579645e-06,1.768195e-06,1.925791e-06,1.925791e-06,3.804183e-07,4.8995
1.9500,3,2.657837e-07,1.927815e-07,3.601707e-07,5.020191e-07,6.196881e-07,7.153345e-07,7.947001e-07,8.716819e-07,9.609442e-07,1.059088e-06,1.059088e-06,3.835333e-07,2.7840
1.9500,4,2.657837e-07,1.923016e-07,3.596039e-07,5.014821e-07,6.192943e-07,7.151526e-07,7.959148e-07,8.759420e-07,9.715653e-07,1.074898e-06,1.074898e-06,3.833680e-07,2.8026
1.9500,5,2.657837e-07,1.923572e-07,3.597012e-07,5.016476e-07,6.195505e-07,7.155050e-07,7.963014e-07,8.762132e-07,9.715962e-07,1.074774e-06,1.074774e-06,3.833804e-07,2.8035
1.9500,6,2.657837e-07,1.908556e-07,3.514963e-07,4.852381e-07,5.954943e-07,6.851783e-07,7.669055e-07,8.631040e-07,9.803911e-07,1.093119e-06,1.093119e-06,3.833897e-07,2.8513
1.9500,7,2.657837e-07,1.922372e-07,3.591278e-07,5.012038e-07,6.201772e-07,7.179521e-07,8.008641e-07,8.826526e-07,9.799866e-07,1.088127e-06,1.088127e-06,3.833930e-07,2.8382
1.9500,8,2.657837e-07,1.919249e-07,3.574473e-07,4.977122e-07,6.147976e-07,7.108218e-07,7.923394e-07,8.760216e-07,9.781377e-07,1.090140e-06,1.090140e-06,3.833960e-07,2.8434
1.9500,9,2.657837e-07,1.909701e-07,3.523477e-07,4.871334e-07,5.985394e-07,6.893370e-07,7.717415e-07,8.696980e-07,9.840214e-07,1.091291e-06,1.091291e-06,3.833893e-07,2.8464
1.9500,10,2.657837e-07,1.911363e-07,3.530459e-07,4.885160e-07,6.006214e-07,6.920542e-07,7.749479e-07,8.689973e-07,9.819267e-07,1.089752e-06,1.089752e-06,3.833862e-07,2.8424
1.9500,11,2.657837e-07,1.910984e-07,3.527216e-07,4.878010e-07,5.994875e-07,6.905201e-07,7.711991e-07,8.647857e-07,9.781675e-07,1.092055e-06,1.092055e-06,3.833913e-07,2.8484
1.9500,12,2.657837e-07,1.911113e-07,3.527715e-07,4.878991e-07,5.996419e-07,6.907323e-07,7.718697e-07,8.696289e-07,9.763098e-07,1.092189e-06,1.092189e-06,3.833932e-07,2.8488
1.9500,13,2.657837e-07,1.910785e-07,3.527270e-07,4.878509e-07,5.995914e-07,6.906805e-07,7.713944e-07,8.688661e-07,9.790666e-07,1.090937e-06,1.090937e-06,3.833896e-07,2.8455
1.9500,14,2.657837e-07,1.913994e-07,3.543609e-07,4.912323e-07,6.048124e-07,6.976223e-07,7.816752e-07,8.771205e-07,9.760505e-07,1.089094e-06,1.089094e-06,3.833883e-07,2.8407
1.9500,15,2.657837e-07,1.911604e-07,3.530111e-07,4.883917e-07,6.003984e-07,6.917341e-07,7.739455e-07,8.691370e-07,9.762342e-07,1.091374e-06,1.091374e-06,3.833929e-07,2.8467
1.9500,16,2.657837e-07,1.912015e-07,3.533547e-07,4.891406e-07,6.015639e-07,6.932782e-07,7.737394e-07,8.652605e-07,9.771132e-07,1.092839e-06,1.092839e-06,3.833918e-07,2.8504
1.9500,17,2.657837e-07,1.912225e-07,3.533024e-07,4.889769e-07,6.012785e-07,6.928755e-07,7.748421e-07,8.653773e-07,9.736618e-07,1.090468e-06,1.090468e-06,3.833905e-07,2.8443
1.9500,18,2.657837e-07,1.910817e-07,3.525998e-07,4.875519e-07,5.991237e-07,6.900594e-07,7.699623e-07,8.647487e-07,9.736706e-07,1.091174e-06,1.091174e-06,3.833889e-07,2.8461
1.9500,19,2.657837e-07,1.911670e-07,3.530717e-07,4.885170e-07,6.005758e-07,6.919402e-07,7.722786e-07,8.573544e-07,9.752004e-07,1.091578e-06,1.091578e-06,3.833927e-07,2.8472
1.9500,20,2.657837e-07,1.911195e-07,3.528503e-07,4.880731e-07,5.999110e-07,6.910838e-07,7.738360e-07,8.635244e-07,9.758974e-07,1.090474e-06,1.090474e-06,3.833871e-07,2.8443
1.9750,1,2.657837e-07,4.828443e-08,1.437113e-07,3.056526e-07,4.685167e-07,6.680987e-07,8.822277e-07,1.049948e-06,1.166767e-06,1.238116e-06,1.238116e-06,3.932245e-07,4.6584
1.9750,2,2.657837e-07,1.913265e-07,3.599737e-07,5.029721e-07,7.020820e-07,1.074971e-06,1.382891e-06,1.628299e-06,1.823110e-06,1.988089e-06,1.988089e-06,3.804855e-07,5.0559
1.9750,3,2.657837e-07,1.953802e-07,3.652168e-07,5.092549e-07,6.288174e-07,7.260533e-07,8.082600e-07,8.912405e-07,9.921508e-07,1.106746e-06,1.106746e-06,3.836883e-07,2.9088
1.9750,4,2.657837e-07,1.949034e-07,3.646498e-07,5.087185e-07,6.284245e-07,7.258704e-07,8.094658e-07,8.966152e-07,1.002693e-06,1.123838e-06,1.123838e-06,3.835129e-07,2.9290
1.9750,5,2.657837e-07,1.949582e-07,3.647497e-07,5.088863e-07,6.286836e-07,7.262265e-07,8.098511e-07,8.968626e-07,1.002726e-06,1.123721e-06,1.123721e-06,3.835265e-07,2.9301
1.9750,6,2.657837e-07,1.936688e-07,3.575318e-07,4.945002e-07,6.077416e-07,7.001310e-07,7.854588e-07,8.938321e-07,1.016642e-06,1.140785e-06,1.140785e-06,3.835375e-07,2.9745
1.9750,7,2.657837e-07,1.948947e-07,3.645693e-07,5.093172e-07,6.307035e-07,7.305432e-07,8.176623e-07,9.068986e-07,1.014129e-06,1.136984e-06,1.136984e-06,3.835419e-07,2.9645
1.9750,8,2.657837e-07,1.944000e-07,3.614319e-07,5.026421e-07,6.203356e-07,7.167397e-07,8.003835e-07,8.883114e-07,1.001096e-06,1.137306e-06,1.137306e-06,3.835345e-07,2.9653
1.9750,9,2.657837e-07,1.935058e-07,3.570880e-07,4.937662e-07,6.067632e-07,6.988501e-07,7.818569e-07,8.883936e-07,1.017292e-06,1.141701e-06,1.141701e-06,3.835378e-07,2.9768
1.9750,10,2.657837e-07,1.944431e-07,3.614968e-07,5.027126e-07,6.204015e-07,7.168061e-07,8.013837e-07,8.971039e-07,1.011429e-06,1.139489e-06,1.139489e-06,3.835402e-07,2.9710
1.9750,11,2.657837e-07,1.946766e-07,3.624455e-07,5.045961e-07,6.232566e-07,7.205559e-07,8.054878e-07,8.931439e-07,1.006872e-06,1.139088e-06,1.139088e-06,3.835393e-07,2.9699
1.9750,12,2.657837e-07,1.940521e-07,3.595375e-07,4.986898e-07,6.142417e-07,7.087907e-07,7.960354e-07,8.928647e-07,1.008558e-06,1.137926e-06,1.137926e-06,3.835369e-07,2.9669
1.9750,13,2.657837e-07,1.941983e-07,3.604727e-07,5.006835e-07,6.173405e-07,7.128025e-07,7.976770e-07,8.979060e-07,1.013626e-06,1.139852e-06,1.139852e-06,3.835411e-07,2.9719
1.9750,14,2.657837e-07,1.937651e-07,3.581032e-07,4.957645e-07,6.097878e-07,7.028252e-07,7.856531e-07,8.922049e-07,1.010698e-06,1.140905e-06,1.140905e-06,3.835381e-07,2.9747
1.9750,15,2.657837e-07,1.939522e-07,3.591632e-07,4.979715e-07,6.131787e-07,7.073093e-07,7.932931e-07,8.984707e-07,1.012095e-06,1.139795e-06,1.139795e-06,3.835402e-07,2.9718
1.9750,16,2.657837e-07,1.935557e-07,3.569342e-07,4.933045e-07,6.059671e-07,6.978492e-07,7.831959e-07,8.891916e-07,1.011509e-06,1.138657e-06,1.138657e-06,3.835321e-07,2.9688
1.9750,17,2.657837e-07,1.936968e-07,3.577924e-07,4.951466e-07,6.088639e-07,7.017472e-07,7.890976e-07,8.970324e-07,1.014762e-06,1.141298e-06,1.141298e-06,3.835425e-07,2.9758
