cycle,E_fire_J,E_erase_J,E_relax_J,E_total_J,E_fire_fJ,E_erase_fJ,E_relax_fJ,E_total_fJ
1,1.222082e-12,1.030938e-14,-1.954590e-14,1.212845e-12,1222.082,10.309,-19.546,1212.845
2,1.143254e-12,1.024562e-14,-1.966854e-14,1.133831e-12,1143.254,10.246,-19.669,1133.831
3,1.151269e-12,1.026649e-14,-1.966683e-14,1.141869e-12,1151.269,10.266,-19.667,1141.869
4,1.150901e-12,1.026614e-14,-1.966698e-14,1.141500e-12,1150.901,10.266,-19.667,1141.500
5,1.150927e-12,1.025218e-14,-1.966697e-14,1.141512e-12,1150.927,10.252,-19.667,1141.512
6,1.150912e-12,1.025217e-14,-1.966700e-14,1.141497e-12,1150.912,10.252,-19.667,1141.497
7,1.150929e-12,1.025220e-14,-1.966697e-14,1.141514e-12,1150.929,10.252,-19.667,1141.514
8,1.150923e-12,1.026615e-14,-1.966698e-14,1.141522e-12,1150.923,10.266,-19.667,1141.522
9,1.150920e-12,1.025216e-14,-1.966698e-14,1.141505e-12,1150.920,10.252,-19.667,1141.505
10,1.150920e-12,1.026614e-14,-1.966698e-14,1.141519e-12,1150.920,10.266,-19.667,1141.519
11,1.150914e-12,1.026616e-14,-1.966699e-14,1.141514e-12,1150.914,10.266,-19.667,1141.514
12,1.150914e-12,1.025216e-14,-1.966700e-14,1.141499e-12,1150.914,10.252,-19.667,1141.499
13,1.150917e-12,1.026614e-14,-1.966699e-14,1.141516e-12,1150.917,10.266,-19.667,1141.516
14,1.150915e-12,1.025218e-14,-1.966699e-14,1.141501e-12,1150.915,10.252,-19.667,1141.501
15,1.150913e-12,1.026613e-14,-1.966700e-14,1.141512e-12,1150.913,10.266,-19.667,1141.512
16,1.150912e-12,1.025216e-14,-1.966700e-14,1.141497e-12,1150.912,10.252,-19.667,1141.497
17,1.150913e-12,1.026612e-14,-1.966700e-14,1.141512e-12,1150.913,10.266,-19.667,1141.512
18,1.150915e-12,1.026615e-14,-1.966700e-14,1.141515e-12,1150.915,10.266,-19.667,1141.515
19,1.150913e-12,1.025218e-14,-1.966700e-14,1.141499e-12,1150.913,10.252,-19.667,1141.499
20,1.150911e-12,1.026613e-14,-1.966701e-14,1.141511e-12,1150.911,10.266,-19.667,1141.511
