v_node,cycle,E_fire_fJ,E_burst_read_fJ,E_erase_fJ,E_relax_fJ,E_total_fJ,ID_burst_read_A,burst_read_present,fire_complete
1.950,1,1194.739,0.078,10.308,-19.546,1185.580,-2.468527e-13,True,True
1.950,2,1114.153,0.076,10.247,-19.662,1104.814,-3.839598e-13,True,True
1.950,3,983.708,-0.000,2.689,-0.055,986.342,-2.802640e-13,True,True
1.950,4,823.608,-0.000,2.699,-0.056,826.252,-2.901747e-13,True,True
1.950,5,640.502,-0.000,2.710,-0.056,643.156,-2.927489e-13,True,True
1.950,6,460.824,0.076,2.706,-0.056,463.551,-2.950527e-13,True,True
1.950,7,280.349,-0.000,2.731,-0.057,283.023,-2.922748e-13,True,True
1.950,8,103.522,0.000,2.728,-0.057,106.193,nan,True,True
1.950,9,42.510,0.000,2.752,-0.057,45.205,nan,False,False
1.950,10,42.509,0.000,2.762,-0.057,45.214,nan,False,False
1.950,11,42.510,0.000,2.759,-0.057,45.212,nan,False,False
1.950,12,47.261,0.000,2.783,-0.057,49.986,nan,False,False
1.950,13,31.538,0.000,2.794,-0.057,34.275,nan,False,False
1.950,14,20.562,0.000,2.833,-0.058,23.338,nan,False,False
1.950,15,20.563,0.000,2.838,-0.058,23.343,nan,False,False
1.950,16,20.568,0.000,2.859,-0.058,23.369,nan,False,False
1.950,17,20.559,0.000,2.669,-0.058,23.170,nan,False,False
1.950,18,141.148,0.000,2.693,-0.057,143.784,nan,False,False
1.950,19,20.548,0.000,2.694,-0.058,23.185,nan,False,False
1.950,20,20.554,0.000,2.644,-0.058,23.139,nan,False,False
1.975,1,1197.957,0.079,10.308,-19.546,1188.799,-2.527216e-13,True,True
1.975,2,1119.353,0.077,10.232,-19.661,1110.001,-3.975293e-13,True,True
1.975,3,988.024,-0.000,2.674,-0.055,990.643,-2.934077e-13,True,True
1.975,4,827.229,-0.000,2.684,-0.056,829.858,-3.034418e-13,True,True
1.975,5,643.321,-0.000,2.695,-0.056,645.960,-3.060723e-13,True,True
1.975,6,462.922,0.077,2.705,-0.056,465.648,-3.084225e-13,True,True
1.975,7,281.631,-0.000,2.730,-0.057,284.305,-3.055919e-13,True,True
1.975,8,103.985,0.000,2.741,-0.057,106.669,nan,True,True
1.975,9,42.707,0.000,2.737,-0.057,45.387,nan,False,False
1.975,10,42.705,0.000,2.747,-0.057,45.395,nan,False,False
1.975,11,42.706,0.000,2.758,-0.057,45.407,nan,False,False
1.975,12,47.521,0.000,2.782,-0.057,50.245,nan,False,False
1.975,13,31.686,0.000,2.779,-0.057,34.408,nan,False,False
1.975,14,20.662,0.000,2.847,-0.057,23.451,nan,False,False
1.975,15,20.663,0.000,2.837,-0.058,23.442,nan,False,False
1.975,16,20.668,0.000,2.872,-0.058,23.482,nan,False,False
1.975,17,20.659,0.000,2.683,-0.058,23.284,nan,False,False
1.975,18,141.780,0.000,2.692,-0.057,144.415,nan,False,False
1.975,19,20.648,0.000,2.708,-0.058,23.298,nan,False,False
1.975,20,20.653,0.000,2.643,-0.058,23.238,nan,False,False
2.000,1,1201.108,0.080,10.301,-19.541,1191.948,-2.586263e-13,True,True
2.000,2,1124.416,0.078,10.231,-19.660,1115.064,-4.111646e-13,True,True
2.000,3,992.224,-0.000,2.673,-0.055,994.841,-3.066269e-13,True,True
2.000,4,830.754,-0.000,2.683,-0.056,833.381,-3.167851e-13,True,True
2.000,5,646.064,-0.000,2.694,-0.056,648.702,-3.194717e-13,True,True
2.000,6,464.966,0.078,2.719,-0.056,467.706,-3.218688e-13,True,True
2.000,7,282.880,-0.000,2.729,-0.056,285.552,-3.190196e-13,True,True
2.000,8,104.433,0.000,2.740,-0.057,107.116,nan,True,True
