v_node,cycle,phase,pulse,segment,E_gate_J,E_drain_J,E_total_J,last_drain_ID_A,n_samples
1.950,1,fire,1,rise,2.657293e-16,7.473618e-16,1.013091e-15,2.579155e-05,30
1.950,1,fire,1,write,3.472989e-15,1.298056e-13,1.332785e-13,2.597020e-05,11
1.950,1,fire,1,fall,4.932409e-22,1.297211e-15,1.297212e-15,2.597020e-05,30
1.950,1,fire,2,rise,4.981621e-22,1.297212e-15,1.297212e-15,2.597021e-05,30
1.950,1,fire,2,write,7.459703e-20,1.298527e-13,1.298527e-13,2.597094e-05,11
1.950,1,fire,2,fall,9.899731e-22,1.297249e-15,1.297250e-15,2.597095e-05,30
1.950,1,fire,3,rise,9.947785e-22,1.297249e-15,1.297250e-15,2.597096e-05,30
1.950,1,fire,3,write,1.239792e-19,1.298576e-13,1.298578e-13,2.597218e-05,11
1.950,1,fire,3,fall,1.517043e-21,1.297311e-15,1.297312e-15,2.597219e-05,30
1.950,1,fire,4,rise,1.525040e-21,1.297311e-15,1.297313e-15,2.597220e-05,30
1.950,1,fire,4,write,1.986490e-19,1.298655e-13,1.298657e-13,2.597415e-05,11
1.950,1,fire,4,fall,2.476938e-21,1.297409e-15,1.297412e-15,2.597418e-05,30
1.950,1,fire,5,rise,2.487233e-21,1.297411e-15,1.297413e-15,2.597420e-05,30
1.950,1,fire,5,write,3.013370e-19,1.298779e-13,1.298782e-13,2.597712e-05,11
1.950,1,fire,5,fall,3.526031e-21,1.297558e-15,1.297562e-15,2.597716e-05,30
1.950,1,fire,6,rise,3.536076e-21,1.297560e-15,1.297563e-15,2.597719e-05,30
1.950,1,fire,6,write,4.037896e-19,1.298953e-13,1.298957e-13,2.598108e-05,11
1.950,1,fire,6,fall,4.519746e-21,1.297756e-15,1.297760e-15,2.598112e-05,30
1.950,1,fire,7,rise,4.529178e-21,1.297758e-15,1.297763e-15,2.598116e-05,30
1.950,1,fire,7,write,5.000453e-19,1.299174e-13,1.299179e-13,2.598594e-05,11
1.950,1,fire,7,fall,5.448801e-21,1.297999e-15,1.298005e-15,2.598599e-05,30
1.950,1,fire,8,rise,5.457581e-21,1.298002e-15,1.298007e-15,2.598605e-05,30
1.950,1,fire,8,write,5.896545e-19,1.299439e-13,1.299445e-13,2.599165e-05,11
1.950,1,fire,8,fall,6.310052e-21,1.298285e-15,1.298291e-15,2.599171e-05,30
1.950,1,fire,9,rise,6.318157e-21,1.298288e-15,1.298294e-15,2.599177e-05,30
1.950,1,fire,9,write,6.723812e-19,1.299745e-13,1.299752e-13,2.599814e-05,11
1.950,1,fire,9,fall,-2.671922e-16,7.655905e-16,4.983983e-16,2.969731e-08,30
1.950,1,burst_read,0,burst_read,7.439410e-17,3.710915e-18,7.810501e-17,-2.468527e-13,21
1.950,1,erase,0,rise,3.646950e-16,2.915333e-18,3.676104e-16,5.039863e-09,30
1.950,1,erase,0,hold,1.148591e-14,4.804861e-17,1.153396e-14,1.464067e-11,41
1.950,1,erase,0,fall,-1.593631e-15,4.135417e-19,-1.593217e-15,1.073197e-08,32
1.950,1,relax,0,hold,-1.981237e-14,2.664474e-16,-1.954592e-14,-3.577860e-14,71
1.950,2,fire,1,rise,2.496590e-16,5.073546e-16,7.570136e-16,2.404084e-05,30
1.950,2,fire,1,write,3.443526e-15,1.210459e-13,1.244894e-13,2.421826e-05,11
1.950,2,fire,1,fall,4.225523e-22,1.209702e-15,1.209703e-15,2.421827e-05,30
1.950,2,fire,2,rise,4.264860e-22,1.209703e-15,1.209703e-15,2.421828e-05,30
1.950,2,fire,2,write,6.227623e-20,1.210936e-13,1.210937e-13,2.421928e-05,11
1.950,2,fire,2,fall,8.143633e-22,1.209753e-15,1.209754e-15,2.421929e-05,30
1.950,2,fire,3,rise,8.181074e-22,1.209754e-15,1.209755e-15,2.421931e-05,30
1.950,2,fire,3,write,1.005239e-19,1.211003e-13,1.211004e-13,2.422091e-05,11
1.950,2,fire,3,fall,1.189418e-21,1.209835e-15,1.209836e-15,2.422093e-05,30
1.950,2,fire,4,rise,1.193333e-21,1.209836e-15,1.209837e-15,2.422095e-05,30
1.950,2,fire,4,write,1.534062e-19,1.211102e-13,1.211103e-13,2.422333e-05,11
1.950,2,fire,4,fall,2.078712e-21,1.209956e-15,1.209958e-15,2.422336e-05,30
1.950,2,fire,5,rise,2.091225e-21,1.209958e-15,1.209960e-15,2.422339e-05,30
1.950,2,fire,5,write,2.712612e-19,1.211263e-13,1.211265e-13,2.422738e-05,11
1.950,2,fire,5,fall,3.314280e-21,1.210159e-15,1.210162e-15,2.422742e-05,30
1.950,2,fire,6,rise,3.326001e-21,1.210161e-15,1.210164e-15,2.422747e-05,30
1.950,2,fire,6,write,3.908590e-19,1.211507e-13,1.211511e-13,2.423305e-05,11
1.950,2,fire,6,fall,4.468126e-21,1.210442e-15,1.210447e-15,2.423311e-05,30
1.950,2,fire,7,rise,4.479020e-21,1.210445e-15,1.210450e-15,2.423317e-05,30
