V_G_V,E_MVcm,P_uCcm2
4.000000000000000000e+00,-5.447029403067569220e-01,-2.922215707201920143e+00
3.975000000000000089e+00,-5.369578904279989073e-01,-2.917011775988089806e+00
3.950000000000000178e+00,-5.292264145507949991e-01,-2.911748792269039932e+00
3.924999999999999822e+00,-5.215086034615450394e-01,-2.906426369295250112e+00
3.899999999999999911e+00,-5.138045472887419196e-01,-2.901044123711679745e+00
3.875000000000000000e+00,-5.061143354802259964e-01,-2.895601675682089926e+00
3.850000000000000089e+00,-4.984380567770289594e-01,-2.890098649010690135e+00
3.825000000000000178e+00,-4.907757991885869919e-01,-2.884534671264140204e+00
3.799999999999999822e+00,-4.831276499680479675e-01,-2.878909373893059787e+00
3.774999999999999911e+00,-4.754936955876859495e-01,-2.873222392352949850e+00
3.750000000000000000e+00,-4.678740217145530011e-01,-2.867473366224489784e+00
3.725000000000000089e+00,-4.602687131863199554e-01,-2.861661939333040028e+00
3.700000000000000178e+00,-4.526778539873619889e-01,-2.855787759867490117e+00
3.674999999999999822e+00,-4.451015272251139798e-01,-2.849850480498099969e+00
3.649999999999999911e+00,-4.375398151066799413e-01,-2.843849758493500079e+00
3.625000000000000000e+00,-4.299927989157519836e-01,-2.837785255836600129e+00
3.600000000000000089e+00,-4.224605589898379754e-01,-2.831656639339489967e+00
3.575000000000000178e+00,-4.149431746978209934e-01,-2.825463580757050064e+00
3.549999999999999822e+00,-4.074407244178759879e-01,-2.819205756899469950e+00
3.524999999999999911e+00,-3.999532855157529876e-01,-2.812882849743340241e+00
3.500000000000000000e+00,-3.924809343234469949e-01,-2.806494546541419943e+00
3.475000000000000089e+00,-3.850237461182819954e-01,-2.800040539930940042e+00
3.450000000000000178e+00,-3.775817951024229568e-01,-2.793520528040430051e+00
3.424999999999999822e+00,-3.701551543828199842e-01,-2.786934214594899650e+00
3.399999999999999911e+00,-3.627438959516319783e-01,-2.780281309019429603e+00
3.375000000000000000e+00,-3.553480906671139805e-01,-2.773561526541060029e+00
3.350000000000000089e+00,-3.479678082350179946e-01,-2.766774588288900105e+00
3.325000000000000178e+00,-3.406031171904989607e-01,-2.759920221392380135e+00
3.299999999999999822e+00,-3.332540848805529698e-01,-2.752998159077729934e+00
3.274999999999999911e+00,-3.259207774470109786e-01,-2.746008140762429939e+00
3.250000000000000000e+00,-3.186032598101139479e-01,-2.738949912147799814e+00
3.225000000000000089e+00,-3.113015956538889850e-01,-2.731823225310630043e+00
3.200000000000000178e+00,-3.040158474091169682e-01,-2.724627838790029788e+00
3.174999999999999822e+00,-2.967460762384629969e-01,-2.717363517673399897e+00
3.149999999999999911e+00,-2.894923420231749756e-01,-2.710030033681389838e+00
3.125000000000000000e+00,-2.822547033496999869e-01,-2.702627165249809948e+00
3.100000000000000089e+00,-2.750332174969770116e-01,-2.695154697609470240e+00
3.075000000000000178e+00,-2.678279404245240136e-01,-2.687612422863820072e+00
3.049999999999999822e+00,-2.606389267607839844e-01,-2.680000140063929948e+00
3.024999999999999911e+00,-2.534662297925299734e-01,-2.672317655281560178e+00
3.000000000000000000e+00,-2.463099014549649801e-01,-2.664564781679770178e+00
2.975000000000000089e+00,-2.391699923224929747e-01,-2.656741339581359718e+00
2.950000000000000178e+00,-2.320465516002239714e-01,-2.648847156534739788e+00
2.924999999999999822e+00,-2.249396271162329708e-01,-2.640882067377679832e+00
2.899999999999999911e+00,-2.178492653145809865e-01,-2.632845914298480139e+00
2.875000000000000000e+00,-2.107755112491119798e-01,-2.624738546894989977e+00
2.850000000000000089e+00,-2.037184085780359977e-01,-2.616559822231180110e+00
2.825000000000000178e+00,-1.966779995593029851e-01,-2.608309604891379863e+00
2.799999999999999822e+00,-1.896543250468019914e-01,-2.599987767032200026e+00
2.774999999999999911e+00,-1.826474244873640129e-01,-2.591594188432190027e+00
2.750000000000000000e+00,-1.756573359186049954e-01,-2.583128756539139648e+00
2.725000000000000089e+00,-1.686840959676089990e-01,-2.574591366515179836e+00
2.700000000000000178e+00,-1.617277398504709807e-01,-2.565981921279650191e+00
2.674999999999999822e+00,-1.547883013727559820e-01,-2.557300331549820172e+00
2.649999999999999911e+00,-1.478658129309719793e-01,-2.548546515879629659e+00
2.625000000000000000e+00,-1.409603055141849803e-01,-2.539720400695490099e+00
2.600000000000000089e+00,-1.340718087073299869e-01,-2.530821920330889707e+00
2.575000000000000178e+00,-1.272003559499750025e-01,-2.521851023955339777e+00
2.549999999999999822e+00,-1.203459963291169943e-01,-2.512807691603339943e+00
2.524999999999999911e+00,-1.135087574731609844e-01,-2.503691885656489813e+00
2.500000000000000000e+00,-1.066886630883349951e-01,-2.494503573220520298e+00
2.475000000000000089e+00,-9.988573552479099171e-02,-2.485242729473640111e+00
2.450000000000000178e+00,-9.309999578543649845e-02,-2.475909337691029943e+00
2.424999999999999822e+00,-8.633146353574820686e-02,-2.466503389267869828e+00
2.399999999999999911e+00,-7.958015711458309160e-02,-2.457024883740909882e+00
2.375000000000000000e+00,-7.284609354601540021e-02,-2.447473828808790053e+00
2.350000000000000089e+00,-6.612928855219669944e-02,-2.437850240351119968e+00
2.325000000000000178e+00,-5.942975656727329803e-02,-2.428154142446569796e+00
2.299999999999999822e+00,-5.274751075236890074e-02,-2.418385567390000102e+00
2.274999999999999911e+00,-4.608256301166119978e-02,-2.408544555708739932e+00
2.250000000000000000e+00,-3.943492400956689903e-02,-2.398631156178289814e+00
2.225000000000000089e+00,-3.280460318906490425e-02,-2.388645425837490066e+00
2.200000000000000178e+00,-2.619160879118009877e-02,-2.378587430003349823e+00
2.174999999999999822e+00,-1.959594787565489826e-02,-2.368457242285740172e+00
2.149999999999999911e+00,-1.301762634284450021e-02,-2.358254944602069969e+00
2.125000000000000000e+00,-6.456648957161129597e-03,-2.347980627192709946e+00
2.100000000000000089e+00,8.698062547392918485e-05,-2.337634388641140148e+00
2.075000000000000178e+00,6.613259837568620167e-03,-2.327216335881070020e+00
2.049999999999999822e+00,1.312218717156049888e-02,-2.316726584215369922e+00
2.024999999999999911e+00,1.961376215023339850e-02,-2.306165257335689667e+00
2.000000000000000000e+00,2.608798529669619642e-02,-2.295532487341899852e+00
1.975000000000000089e+00,3.254485810284699771e-02,-2.284828414763219850e+00
1.949999999999999956e+00,3.898438299624369663e-02,-2.274053188581270035e+00
1.925000000000000044e+00,4.540656330533329732e-02,-2.263206966255570052e+00
1.899999999999999911e+00,5.181140322295079564e-02,-2.252289913751519990e+00
1.875000000000000000e+00,5.819890776802109228e-02,-2.241302205571559902e+00
1.850000000000000089e+00,6.456908274536840575e-02,-2.230244024789629798e+00
1.824999999999999956e+00,7.092193470354239693e-02,-2.219115563089550047e+00
1.800000000000000044e+00,7.725747089055189087e-02,-2.207917020807669939e+00
1.774999999999999911e+00,8.357569920739689462e-02,-2.196648606980270202e+00
1.750000000000000000e+00,8.987662815926518445e-02,-2.185310539396310148e+00
1.725000000000000089e+00,9.616026680409139882e-02,-2.173903044656349870e+00
1.699999999999999956e+00,1.024266246989520013e-01,-2.162426358237150126e+00
1.675000000000000044e+00,1.086757118433739899e-01,-2.150880724563859925e+00
1.649999999999999911e+00,1.149075386195930054e-01,-2.139266397090319849e+00
1.625000000000000000e+00,1.211221157297339840e-01,-2.127583638387749776e+00
1.600000000000000089e+00,1.273194541295950000e-01,-2.115832720242909915e+00
1.574999999999999956e+00,1.334995649587890076e-01,-2.104013923766699712e+00
1.550000000000000044e+00,1.396624594669129693e-01,-2.092127539514200052e+00
1.524999999999999911e+00,1.458081489353119931e-01,-2.080173867617579830e+00
1.500000000000000000e+00,1.519366384908090173e-01,-2.068153229954440064e+00
1.475000000000000089e+00,1.580478952612079935e-01,-2.056066033882829824e+00
1.450000000000009948e+00,1.641419226475149817e-01,-2.043912626619159845e+00
1.425000000000010036e+00,1.702187325858919853e-01,-2.031693348241189856e+00
1.400000000000009903e+00,1.762783364464709790e-01,-2.019408549484979609e+00
1.375000000000009992e+00,1.823207449245279888e-01,-2.007058591985630081e+00
1.350000000000010081e+00,1.883459679244199880e-01,-1.994643848541260089e+00
1.325000000000009948e+00,1.943540144356689925e-01,-1.982164703402190087e+00
1.300000000000010036e+00,2.003448924004859744e-01,-1.969621552587929703e+00
1.275000000000009903e+00,2.063186085719830032e-01,-1.957014804234479932e+00
1.250000000000009992e+00,2.122751683621979801e-01,-1.944344878975020174e+00
1.225000000000010081e+00,2.182145756789899693e-01,-1.931612210357070092e+00
1.200000000000009948e+00,2.241368327507349822e-01,-1.918817245299939911e+00
1.175000000000010036e+00,2.300419399376279761e-01,-1.905960444596400016e+00
1.150000000000009903e+00,2.359298955282639887e-01,-1.893042283463090003e+00
1.125000000000009992e+00,2.418006955199849817e-01,-1.880063252144720032e+00
1.100000000000010081e+00,2.476543333813239767e-01,-1.867023856577709973e+00
1.075000000000009948e+00,2.534907997946169722e-01,-1.853924619119659889e+00
1.050000000000010036e+00,2.593100823767500174e-01,-1.840766079351529916e+00
1.025000000000009903e+00,2.651121653754559548e-01,-1.827548794960980105e+00
1.000000000000009992e+00,2.708970293384999617e-01,-1.814273342715760018e+00
9.750000000000069722e-01,2.766646507526069887e-01,-1.800940319537530199e+00
9.500000000000069500e-01,2.824150016485579839e-01,-1.787550343687909882e+00
9.250000000000070388e-01,2.881480491683569567e-01,-1.774104056080219927e+00
9.000000000000070166e-01,2.938637550897549855e-01,-1.760602121732320002e+00
8.750000000000069944e-01,2.995620753027160021e-01,-1.747045231378369978e+00
8.500000000000069722e-01,3.052429592315179518e-01,-1.733434103259849923e+00
8.250000000000069500e-01,3.109063491951780112e-01,-1.719769485119879926e+00
8.000000000000070388e-01,3.165521796976610291e-01,-1.706052156428290001e+00
