t_erase_s,ID_uA_per_um_Verase_-10.0V,ID_uA_per_um_Verase_-8.0V,ID_uA_per_um_Verase_-6.0V,ID_uA_per_um_Verase_-4.0V
0.000000e+00,8.436278e-02,7.094021e-02,5.600143e-02,3.916936e-02
2.500000e-07,9.893279e-04,8.638535e-04,7.013398e-04,3.723366e-04
5.000000e-07,9.758617e-04,8.492948e-04,6.859257e-04,3.639155e-04
7.500000e-07,9.621685e-04,8.348070e-04,6.689760e-04,3.554425e-04
1.000000e-06,9.463405e-04,8.184782e-04,6.480807e-04,3.462236e-04
1.250000e-06,9.326129e-04,8.034912e-04,6.247729e-04,3.366132e-04
1.500000e-06,9.148209e-04,7.865923e-04,5.997626e-04,3.268222e-04
1.750000e-06,9.008546e-04,7.722619e-04,5.763370e-04,3.164068e-04
2.000000e-06,8.836584e-04,7.537630e-04,5.492076e-04,3.061828e-04
2.250000e-06,8.647393e-04,7.365022e-04,5.193161e-04,2.961121e-04
2.500000e-06,8.496714e-04,7.215449e-04,4.888879e-04,2.855732e-04
2.750000e-06,8.349486e-04,7.058755e-04,4.624833e-04,2.749383e-04
3.000000e-06,8.164978e-04,6.868705e-04,4.410441e-04,2.645632e-04
3.250000e-06,7.965046e-04,6.672119e-04,4.243613e-04,2.544181e-04
3.500000e-06,7.783506e-04,6.489846e-04,4.110705e-04,2.442174e-04
3.750000e-06,7.624969e-04,6.331663e-04,3.997751e-04,2.336441e-04
4.000000e-06,7.481995e-04,6.189219e-04,3.891623e-04,2.228086e-04
4.250000e-06,7.341142e-04,6.039215e-04,3.784520e-04,2.120368e-04
4.500000e-06,7.199297e-04,5.849717e-04,3.671685e-04,2.015266e-04
4.750000e-06,7.058558e-04,5.599018e-04,3.551318e-04,1.915230e-04
5.000000e-06,6.909179e-04,5.331111e-04,3.424133e-04,1.822158e-04
5.250000e-06,6.761574e-04,5.099029e-04,3.295767e-04,1.736554e-04
5.500000e-06,6.623371e-04,4.898257e-04,3.172887e-04,1.657888e-04
5.750000e-06,6.491083e-04,4.688931e-04,3.061201e-04,1.585256e-04
6.000000e-06,6.360672e-04,4.445632e-04,2.961973e-04,1.517855e-04
6.250000e-06,6.231548e-04,4.181931e-04,2.870198e-04,1.454991e-04
6.500000e-06,6.099206e-04,3.951702e-04,2.780110e-04,1.396080e-04
6.750000e-06,5.956403e-04,3.783605e-04,2.688600e-04,1.340687e-04
7.000000e-06,5.805898e-04,3.663198e-04,2.595594e-04,1.288394e-04
7.250000e-06,5.652389e-04,3.569253e-04,2.501986e-04,1.238832e-04
7.500000e-06,5.477263e-04,3.489655e-04,2.408119e-04,1.191782e-04
7.750000e-06,5.250413e-04,3.418113e-04,2.313850e-04,1.147295e-04
8.000000e-06,4.995081e-04,3.351385e-04,2.219678e-04,1.105440e-04
8.250000e-06,4.786549e-04,3.287235e-04,2.127238e-04,1.066112e-04
8.500000e-06,4.618418e-04,3.222595e-04,2.038361e-04,1.029118e-04
8.750000e-06,4.440131e-04,3.153641e-04,1.954395e-04,9.943022e-05
9.000000e-06,4.215829e-04,3.076052e-04,1.876237e-04,9.615582e-05
9.250000e-06,3.946521e-04,2.986299e-04,1.804004e-04,9.307464e-05
9.500000e-06,3.690959e-04,2.885180e-04,1.737268e-04,9.016691e-05
9.750000e-06,3.506663e-04,2.781222e-04,1.675229e-04,8.741117e-05
1.000000e-05,3.386468e-04,2.686382e-04,1.616952e-04,8.478949e-05
