t_relax_s,ID_uA_per_um_Verase_-10.0V,ID_uA_per_um_Verase_-8.0V,ID_uA_per_um_Verase_-6.0V,ID_uA_per_um_Verase_-4.0V
0.000000e+00,1.354483e-01,1.235990e-01,1.192272e-01,1.073193e-01
1.250025e-06,2.955407e-05,3.116002e-05,1.363713e-04,8.851787e-07
2.500050e-06,7.423904e-05,5.421243e-05,2.872167e-05,7.808138e-06
3.750075e-06,8.392862e-05,4.749375e-05,2.034144e-05,9.642068e-06
5.000100e-06,7.169163e-05,4.007545e-05,1.682944e-05,9.998514e-06
6.250125e-06,6.268398e-05,3.482620e-05,1.406725e-05,9.955947e-06
7.500150e-06,7.026991e-05,3.288278e-05,1.197289e-05,9.775378e-06
8.750175e-06,4.808465e-05,3.330371e-05,1.036620e-05,9.485130e-06
1.000020e-05,3.519656e-05,3.190529e-05,9.098541e-06,9.068716e-06
1.125022e-05,2.266570e-05,2.488320e-05,8.059800e-06,8.499082e-06
1.250025e-05,1.080081e-05,1.883894e-05,7.177458e-06,7.791065e-06
1.375027e-05,4.472340e-07,1.488497e-05,6.407211e-06,7.027081e-06
1.500030e-05,7.507867e-06,1.236317e-05,5.723277e-06,6.316605e-06
1.625032e-05,9.985023e-06,1.052327e-05,5.111131e-06,5.726121e-06
1.750035e-05,1.022403e-05,8.950686e-06,4.562162e-06,5.264956e-06
1.875037e-05,9.644020e-06,7.573716e-06,4.070625e-06,4.910957e-06
2.000040e-05,8.816276e-06,6.408486e-06,3.631953e-06,4.633385e-06
2.125043e-05,7.952966e-06,5.448375e-06,3.241981e-06,4.404907e-06
2.250045e-05,7.132336e-06,4.664119e-06,2.896667e-06,4.203683e-06
2.375047e-05,6.381832e-06,4.031664e-06,2.592030e-06,4.012322e-06
2.500050e-05,5.708505e-06,3.523738e-06,2.324174e-06,3.816539e-06
2.625053e-05,5.110796e-06,3.118671e-06,2.089342e-06,3.604265e-06
2.750055e-05,4.583455e-06,2.797606e-06,1.883932e-06,3.366252e-06
2.875057e-05,4.119820e-06,2.544674e-06,1.704687e-06,3.099333e-06
3.000060e-05,3.712907e-06,2.346439e-06,1.548404e-06,2.810605e-06
3.125062e-05,3.355947e-06,2.191672e-06,1.412289e-06,2.516906e-06
3.250065e-05,3.042679e-06,2.071088e-06,1.293741e-06,2.236903e-06
3.375067e-05,2.767441e-06,1.977104e-06,1.190455e-06,1.983128e-06
3.500070e-05,2.525215e-06,1.903599e-06,1.100375e-06,1.760320e-06
3.625073e-05,2.311607e-06,1.845689e-06,1.021693e-06,1.567925e-06
3.750075e-05,2.122787e-06,1.799505e-06,9.528334e-07,1.402952e-06
3.875077e-05,1.955456e-06,1.762007e-06,8.924308e-07,1.261716e-06
