V_G_V,E_MVcm,P_uCcm2
0.000000000000000000e+00,1.544192587094749824e-01,1.265705362421599978e-01
5.000000000000000278e-02,1.451089386354189881e-01,1.197517514207870060e-01
1.000000000000000056e-01,1.342370887474009788e-01,1.116642279792919995e-01
1.499999999999999944e-01,1.224200444280280076e-01,1.027188033870160000e-01
2.000000000000000111e-01,1.099850047060669939e-01,9.312900488000869226e-02
2.500000000000000000e-01,9.712174790544539360e-02,8.301561756045940099e-02
2.999999999999999889e-01,8.395071516338359352e-02,7.245340018231739843e-02
3.499999999999999778e-01,7.055364647374869069e-02,6.149188413668890685e-02
4.000000000000000222e-01,5.698869284939469398e-02,5.016548497584359667e-02
4.500000000000000111e-01,4.329864228253509778e-02,3.849892070029899832e-02
5.000000000000000000e-01,2.951578617666269708e-02,2.651037181294520206e-02
5.500000000000000444e-01,1.566498895424829965e-02,1.421345197869309900e-02
5.999999999999999778e-01,1.765718733910129823e-03,1.618500925255290067e-03
6.500000000000000222e-01,-8.023479492684769745e-03,-2.955546044603779912e-02
6.999999999999999556e-01,-1.721383830000140086e-02,-6.383732886238359383e-02
7.500000000000000000e-01,-2.639713675096429582e-02,-9.855359440514580016e-02
8.000000000000000444e-01,-3.556632352897939886e-02,-1.336803407271650035e-01
8.499999999999999778e-01,-4.471576444053849964e-02,-1.691977098217199993e-01
9.000000000000000222e-01,-5.384092688436520335e-02,-2.050889896617690000e-01
9.499999999999999556e-01,-6.293814411264779529e-02,-2.413399333730819885e-01
1.000000000000000000e+00,-7.200443705981619813e-02,-2.779382455015310116e-01
1.050000000000000044e+00,-8.103737819981370050e-02,-3.148731902996110277e-01
1.100000000000000089e+00,-9.003498643130769530e-02,-3.521352901011760017e-01
1.149999999999999911e+00,-9.899564511452189908e-02,-3.897160909068619894e-01
1.199999999999999956e+00,-1.079180375591149849e-01,-4.276079786124670212e-01
1.250000000000000000e+00,-1.168010957944389944e-01,-4.658040337589629543e-01
1.300000000000000044e+00,-1.256439595434259981e-01,-5.042979158488449798e-01
1.350000000000000089e+00,-1.344459431046529929e-01,-5.430837705507189916e-01
1.399999999999999911e+00,-1.432065084154600099e-01,-5.821561547673430592e-01
1.449999999999999956e+00,-1.519252429853329978e-01,-6.215099757541260317e-01
1.500000000000000000e+00,-1.606018416963019835e-01,-6.611404413708309447e-01
1.550000000000000044e+00,-1.692360916964609774e-01,-7.010430192172110164e-01
1.600000000000000089e+00,-1.778278597849780041e-01,-7.412134029054979756e-01
1.649999999999999911e+00,-1.863770818176279931e-01,-7.816474841034100063e-01
1.699999999999999956e+00,-1.948837537613130055e-01,-8.223413292711420075e-01
1.750000000000000000e+00,-2.033479241029290119e-01,-8.632911602400979989e-01
1.800000000000000044e+00,-2.117696873771519883e-01,-9.044933379538649953e-01
1.850000000000000089e+00,-2.201491786240499793e-01,-9.459443488269549949e-01
